participant,quarter,stimulusSet,item,rank,truthRank,session
578,W2023,Q11 0 GROUP,Kazakhstan,10,,1
578,W2023,Q12 0 GROUP,Amazon,1,,1
578,W2023,Q12 0 GROUP,Nile,2,,1
578,W2023,Q12 0 GROUP,Mississippi,3,,1
578,W2023,Q12 0 GROUP,Parana,4,,1
578,W2023,Q12 1 GROUP,Congo,1,,1
578,W2023,Q12 1 GROUP,Yangtze,2,,1
578,W2023,Q12 1 GROUP,Yellow River,3,,1
578,W2023,Q12 1 GROUP,Ob-Irtysh,4,,1
578,W2023,Q12 1 GROUP,Yenisey-Angara,5,,1
578,W2023,Q12 1 GROUP,Mekong,6,,1
578,W2023,Q13 0 GROUP,Finger nail,1,,1
578,W2023,Q13 0 GROUP,Graphite,2,,1
578,W2023,Q13 0 GROUP,Window glass,3,,1
578,W2023,Q13 0 GROUP,Topaz,4,,1
578,W2023,Q13 0 GROUP,Quartz,5,,1
578,W2023,Q13 0 GROUP,Copper,6,,1
578,W2023,Q13 0 GROUP,Steel,7,,1
578,W2023,Q13 0 GROUP,Platinum,8,,1
578,W2023,Q13 0 GROUP,Titanium,9,,1
578,W2023,Q13 0 GROUP,Diamond,10,,1
578,W2023,Q14 0 GROUP,Freedom of speech and religion,1,,1
578,W2023,Q14 0 GROUP,Right to bear arms,2,,1
578,W2023,Q14 0 GROUP,No quartering of soldiers,3,,1
578,W2023,Q14 0 GROUP,No cruel punishment,4,,1
578,W2023,Q14 0 GROUP,Trial by jury,5,,1
578,W2023,Q14 0 GROUP,Civil trial by jury,6,,1
578,W2023,Q14 0 GROUP,Due process,7,,1
578,W2023,Q14 0 GROUP,Power for the states and people,8,,1
578,W2023,Q14 1 GROUP,Right to non-specified rights,1,,1
578,W2023,Q14 1 GROUP,No unreasonable searches,2,,1
578,W2023,Q6 0 GROUP,George Washington,1,,1
578,W2023,Q6 0 GROUP,Thomas Jefferson,2,,1
578,W2023,Q6 0 GROUP,Andrew Jackson,3,,1
578,W2023,Q6 0 GROUP,Abraham Lincoln,4,,1
578,W2023,Q6 0 GROUP,Richard Nixon,5,,1
578,W2023,Q6 0 GROUP,Theodore Roosevelt,6,,1
578,W2023,Q6 0 GROUP,Franklin D. Roosevelt,7,,1
578,W2023,Q6 0 GROUP,Harry S. Truman,8,,1
578,W2023,Q6 0 GROUP,Dwight Eisenhower,9,,1
578,W2023,Q6 0 GROUP,Ronald Reagan,10,,1
578,W2023,Q6 0 GROUP,John F. Kennedy,11,,1
578,W2023,Q6 0 GROUP,George H.W. Bush,12,,1
578,W2023,Q6 0 GROUP,William Clinton,13,,1
578,W2023,Q6 0 GROUP,George W. Bush,14,,1
578,W2023,Q6 0 GROUP,Barack Obama,15,,1
578,W2023,Q6 1 GROUP,James Madison,1,,1
578,W2023,Q6 1 GROUP,James Knox Polk,2,,1
578,W2023,Q6 1 GROUP,Franklin Pierce,3,,1
578,W2023,Q6 1 GROUP,Gerald Ford,4,,1
578,W2023,Q6 1 GROUP,Ulysses S. Grant,5,,1
578,W2023,Q6 1 GROUP,Lyndon B. Johnson,6,,1
578,W2023,Q6 1 GROUP,Grover Cleveland 2,7,,1
578,W2023,Q6 1 GROUP,Zachary Taylor,8,,1
578,W2023,Q6 1 GROUP,Calvin Coolidge,9,,1
578,W2023,Q6 1 GROUP,Grover Cleveland 1,10,,1
578,W2023,Q6 1 GROUP,Herbert Hoover,11,,1
578,W2023,Q6 1 GROUP,John Tyler,12,,1
578,W2023,Q6 1 GROUP,John Quincy Adams,13,,1
578,W2023,Q6 1 GROUP,John Adams,14,,1
578,W2023,Q6 1 GROUP,Warren Harding,15,,1
578,W2023,Q6 1 GROUP,William Henry Harrison,16,,1
578,W2023,Q6 1 GROUP,James Buchanan,17,,1
578,W2023,Q6 1 GROUP,James Monroe,18,,1
578,W2023,Q6 1 GROUP,Andrew Johnson,19,,1
578,W2023,Q6 1 GROUP,Chester Arthur,20,,1
578,W2023,Q6 1 GROUP,Martin Van Buren,21,,1
578,W2023,Q6 1 GROUP,Woodrow Wilson,22,,1
578,W2023,Q6 1 GROUP,Rutherford B. Hayes,23,,1
578,W2023,Q6 1 GROUP,William Howard Taft,24,,1
578,W2023,Q6 1 GROUP,James Garfield,25,,1
578,W2023,Q6 1 GROUP,Benjamin Harrison,26,,1
578,W2023,Q6 1 GROUP,Millard Fillmore,27,,1
578,W2023,Q6 1 GROUP,James Carter,28,,1
578,W2023,Q6 1 GROUP,William McKinley,29,,1
348,W2023,Q1 0 GROUP,Delhi,1,,1
348,W2023,Q1 0 GROUP,Tokyo,2,,1
348,W2023,Q1 0 GROUP,Mumbai,3,,1
348,W2023,Q1 0 GROUP,Shanghai,4,,1
348,W2023,Q1 0 GROUP,Sao Paulo,5,,1
348,W2023,Q1 0 GROUP,New York,6,,1
348,W2023,Q1 0 GROUP,Mexico City,7,,1
348,W2023,Q1 1 GROUP,Dhaka,1,,1
348,W2023,Q1 1 GROUP,Kolkata,2,,1
348,W2023,Q1 1 GROUP,Buenos Aires,3,,1
348,W2023,Q9 0 GROUP,India,1,,1
348,W2023,Q9 0 GROUP,China,2,,1
348,W2023,Q9 0 GROUP,Japan,3,,1
348,W2023,Q9 0 GROUP,Indonesia,4,,1
348,W2023,Q9 0 GROUP,United States,5,,1
348,W2023,Q9 0 GROUP,Russia,6,,1
348,W2023,Q9 0 GROUP,Nigeria,7,,1
348,W2023,Q9 0 GROUP,Brazil,8,,1
348,W2023,Q9 0 GROUP,Pakistan,9,,1
348,W2023,Q7 0 GROUP,New York,1,,1
348,W2023,Q7 0 GROUP,Los Angeles,2,,1
348,W2023,Q7 0 GROUP,Chicago,3,,1
348,W2023,Q7 0 GROUP,Houston,4,,1
348,W2023,Q7 0 GROUP,Dallas,5,,1
348,W2023,Q7 0 GROUP,Philadelphia,6,,1
348,W2023,Q7 0 GROUP,Phoenix,7,,1
348,W2023,Q7 1 GROUP,San Antonio,1,,1
348,W2023,Q7 1 GROUP,San Jose,2,,1
348,W2023,Q7 1 GROUP,San Diego,3,,1
348,W2023,Q8 0 GROUP,Madrid,1,,1
348,W2023,Q8 0 GROUP,Vienna,2,,1
348,W2023,Q8 0 GROUP,Paris,3,,1
348,W2023,Q8 0 GROUP,London,4,,1
348,W2023,Q8 0 GROUP,Berlin,5,,1
348,W2023,Q8 0 GROUP,Rome,6,,1
348,W2023,Q8 0 GROUP,Budapest,7,,1
348,W2023,Q8 1 GROUP,Bucharest,1,,1
348,W2023,Q8 1 GROUP,Hamburg,2,,1
348,W2023,Q8 1 GROUP,Warsaw,3,,1
348,W2023,Q10 0 GROUP,Oregon,1,,1
348,W2023,Q10 0 GROUP,Nebraska,2,,1
348,W2023,Q10 0 GROUP,Utah,3,,1
348,W2023,Q10 0 GROUP,Ohio,4,,1
348,W2023,Q10 0 GROUP,Iowa,5,,1
348,W2023,Q10 0 GROUP,Alabama,6,,1
348,W2023,Q10 0 GROUP,Virginia,7,,1
348,W2023,Q10 0 GROUP,Connecticut,8,,1
348,W2023,Q10 0 GROUP,Delaware,9,,1
348,W2023,Q10 0 GROUP,Maine,10,,1
348,W2023,Q11 0 GROUP,Russia,1,,1
348,W2023,Q11 0 GROUP,United States,2,,1
348,W2023,Q11 0 GROUP,Canada,3,,1
348,W2023,Q11 0 GROUP,China,4,,1
348,W2023,Q11 0 GROUP,India,5,,1
348,W2023,Q11 0 GROUP,Australia,6,,1
348,W2023,Q11 0 GROUP,Sudan,7,,1
348,W2023,Q11 0 GROUP,Brazil,8,,1
348,W2023,Q11 1 GROUP,Kazakhstan,1,,1
348,W2023,Q11 1 GROUP,Argentina,2,,1
348,W2023,Q12 0 GROUP,Amazon,1,,1
348,W2023,Q12 0 GROUP,Congo,2,,1
348,W2023,Q12 0 GROUP,Nile,3,,1
348,W2023,Q12 0 GROUP,Yellow River,4,,1
348,W2023,Q12 0 GROUP,Mississippi,5,,1
348,W2023,Q12 1 GROUP,Mekong,1,,1
348,W2023,Q12 1 GROUP,Parana,2,,1
348,W2023,Q12 1 GROUP,Yangtze,3,,1
348,W2023,Q12 1 GROUP,Yenisey-Angara,4,,1
348,W2023,Q12 1 GROUP,Ob-Irtysh,5,,1
348,W2023,Q13 0 GROUP,Finger nail,1,,1
348,W2023,Q13 0 GROUP,Window glass,2,,1
348,W2023,Q13 0 GROUP,Quartz,3,,1
348,W2023,Q13 0 GROUP,Topaz,4,,1
348,W2023,Q13 0 GROUP,Graphite,5,,1
348,W2023,Q13 0 GROUP,Steel,6,,1
348,W2023,Q13 0 GROUP,Copper,7,,1
348,W2023,Q13 0 GROUP,Platinum,8,,1
348,W2023,Q13 0 GROUP,Titanium,9,,1
348,W2023,Q13 0 GROUP,Diamond,10,,1
348,W2023,Q14 0 GROUP,Freedom of speech and religion,1,,1
348,W2023,Q14 0 GROUP,Right to bear arms,2,,1
348,W2023,Q14 0 GROUP,No quartering of soldiers,3,,1
348,W2023,Q14 0 GROUP,No cruel punishment,4,,1
348,W2023,Q14 0 GROUP,No unreasonable searches,5,,1
348,W2023,Q14 0 GROUP,Due process,6,,1
348,W2023,Q14 0 GROUP,Trial by jury,7,,1
348,W2023,Q14 0 GROUP,Right to non-specified rights,8,,1
348,W2023,Q14 1 GROUP,Power for the states and people,1,,1
348,W2023,Q14 1 GROUP,Civil trial by jury,2,,1
348,W2023,Q6 0 GROUP,Barack Obama,1,,1
348,W2023,Q6 0 GROUP,George W. Bush,2,,1
348,W2023,Q6 0 GROUP,William Clinton,3,,1
348,W2023,Q6 0 GROUP,Ronald Reagan,4,,1
348,W2023,Q6 0 GROUP,George H.W. Bush,5,,1
348,W2023,Q6 0 GROUP,Franklin D. Roosevelt,6,,1
348,W2023,Q6 0 GROUP,Lyndon B. Johnson,7,,1
348,W2023,Q6 0 GROUP,John F. Kennedy,8,,1
348,W2023,Q6 0 GROUP,Richard Nixon,9,,1
348,W2023,Q6 0 GROUP,Theodore Roosevelt,10,,1
348,W2023,Q6 0 GROUP,Abraham Lincoln,11,,1
348,W2023,Q6 0 GROUP,James Madison,12,,1
348,W2023,Q6 0 GROUP,John Quincy Adams,13,,1
348,W2023,Q6 0 GROUP,John Adams,14,,1
348,W2023,Q6 0 GROUP,Andrew Jackson,15,,1
348,W2023,Q6 0 GROUP,Thomas Jefferson,16,,1
348,W2023,Q6 0 GROUP,George Washington,17,,1
348,W2023,Q6 1 GROUP,Harry S. Truman,1,,1
348,W2023,Q6 1 GROUP,Dwight Eisenhower,2,,1
348,W2023,Q6 1 GROUP,Andrew Johnson,3,,1
348,W2023,Q6 1 GROUP,Woodrow Wilson,4,,1
348,W2023,Q6 1 GROUP,Ulysses S. Grant,5,,1
348,W2023,Q6 1 GROUP,James Garfield,6,,1
348,W2023,Q6 1 GROUP,Herbert Hoover,7,,1
348,W2023,Q6 1 GROUP,John Tyler,8,,1
348,W2023,Q6 1 GROUP,Calvin Coolidge,9,,1
348,W2023,Q6 1 GROUP,James Monroe,10,,1
348,W2023,Q6 1 GROUP,Warren Harding,11,,1
348,W2023,Q6 1 GROUP,Millard Fillmore,12,,1
348,W2023,Q6 1 GROUP,Gerald Ford,13,,1
348,W2023,Q6 1 GROUP,William Howard Taft,14,,1
348,W2023,Q6 1 GROUP,James Carter,15,,1
348,W2023,Q6 1 GROUP,William Henry Harrison,16,,1
348,W2023,Q6 1 GROUP,Benjamin Harrison,17,,1
348,W2023,Q6 1 GROUP,Zachary Taylor,18,,1
348,W2023,Q6 1 GROUP,James Knox Polk,19,,1
348,W2023,Q6 1 GROUP,Rutherford B. Hayes,20,,1
348,W2023,Q6 1 GROUP,William McKinley,21,,1
348,W2023,Q6 1 GROUP,Franklin Pierce,22,,1
348,W2023,Q6 1 GROUP,Martin Van Buren,23,,1
348,W2023,Q6 1 GROUP,James Buchanan,24,,1
348,W2023,Q6 1 GROUP,Grover Cleveland 1,25,,1
348,W2023,Q6 1 GROUP,Grover Cleveland 2,26,,1
348,W2023,Q6 1 GROUP,Chester Arthur,27,,1
84,W2023,Q1 0 GROUP,Shanghai,1,,1
84,W2023,Q1 0 GROUP,Tokyo,2,,1
84,W2023,Q1 0 GROUP,Buenos Aires,3,,1
84,W2023,Q1 0 GROUP,Mexico City,4,,1
84,W2023,Q1 0 GROUP,New York,5,,1
84,W2023,Q1 1 GROUP,Delhi,1,,1
84,W2023,Q1 1 GROUP,Kolkata,2,,1
84,W2023,Q1 1 GROUP,Mumbai,3,,1
84,W2023,Q1 1 GROUP,Dhaka,4,,1
84,W2023,Q1 1 GROUP,Sao Paulo,5,,1
84,W2023,Q9 0 GROUP,China,1,,1
84,W2023,Q9 0 GROUP,Japan,2,,1
84,W2023,Q9 0 GROUP,India,3,,1
84,W2023,Q9 0 GROUP,Russia,4,,1
84,W2023,Q9 0 GROUP,United States,5,,1
84,W2023,Q9 1 GROUP,Pakistan,1,,1
84,W2023,Q9 1 GROUP,Brazil,2,,1
84,W2023,Q9 1 GROUP,Indonesia,3,,1
84,W2023,Q9 1 GROUP,Nigeria,4,,1
84,W2023,Q9 1 GROUP,Bangladesh,5,,1
84,W2023,Q7 0 GROUP,Los Angeles,1,,1
84,W2023,Q7 0 GROUP,New York,2,,1
84,W2023,Q7 0 GROUP,Dallas,3,,1
84,W2023,Q7 0 GROUP,Houston,4,,1
84,W2023,Q7 0 GROUP,San Diego,5,,1
84,W2023,Q7 0 GROUP,San Jose,6,,1
84,W2023,Q7 0 GROUP,Phoenix,7,,1
84,W2023,Q7 1 GROUP,San Antonio,1,,1
84,W2023,Q7 1 GROUP,Philadelphia,2,,1
84,W2023,Q7 1 GROUP,Chicago,3,,1
84,W2023,Q8 0 GROUP,Madrid,1,,1
84,W2023,Q8 0 GROUP,Berlin,2,,1
84,W2023,Q8 0 GROUP,Paris,3,,1
84,W2023,Q8 0 GROUP,Rome,4,,1
84,W2023,Q8 0 GROUP,London,5,,1
84,W2023,Q8 1 GROUP,Vienna,1,,1
84,W2023,Q8 1 GROUP,Warsaw,2,,1
84,W2023,Q8 1 GROUP,Budapest,3,,1
84,W2023,Q8 1 GROUP,Hamburg,4,,1
84,W2023,Q8 1 GROUP,Bucharest,5,,1
84,W2023,Q10 0 GROUP,Oregon,1,,1
84,W2023,Q10 0 GROUP,Utah,2,,1
84,W2023,Q10 0 GROUP,Ohio,3,,1
84,W2023,Q10 0 GROUP,Delaware,4,,1
84,W2023,Q10 0 GROUP,Maine,5,,1
84,W2023,Q10 0 GROUP,Connecticut,6,,1
84,W2023,Q10 1 GROUP,Iowa,1,,1
84,W2023,Q10 1 GROUP,Alabama,2,,1
84,W2023,Q10 1 GROUP,Virginia,3,,1
84,W2023,Q10 1 GROUP,Nebraska,4,,1
84,W2023,Q11 0 GROUP,China,1,,1
84,W2023,Q11 0 GROUP,Canada,2,,1
84,W2023,Q11 0 GROUP,Russia,3,,1
84,W2023,Q11 0 GROUP,India,4,,1
84,W2023,Q11 0 GROUP,United States,5,,1
84,W2023,Q11 0 GROUP,Australia,6,,1
84,W2023,Q11 1 GROUP,Brazil,1,,1
84,W2023,Q11 1 GROUP,Sudan,2,,1
84,W2023,Q11 1 GROUP,Argentina,3,,1
84,W2023,Q11 1 GROUP,Kazakhstan,4,,1
84,W2023,Q12 0 GROUP,Amazon,1,,1
84,W2023,Q12 0 GROUP,Congo,2,,1
84,W2023,Q12 0 GROUP,Mississippi,3,,1
84,W2023,Q12 0 GROUP,Nile,4,,1
84,W2023,Q12 1 GROUP,Yellow River,1,,1
84,W2023,Q12 1 GROUP,Parana,2,,1
84,W2023,Q12 1 GROUP,Mekong,3,,1
84,W2023,Q12 1 GROUP,Yenisey-Angara,4,,1
84,W2023,Q12 1 GROUP,Ob-Irtysh,5,,1
84,W2023,Q12 1 GROUP,Yangtze,6,,1
84,W2023,Q13 0 GROUP,Graphite,1,,1
84,W2023,Q13 0 GROUP,Finger nail,2,,1
84,W2023,Q13 0 GROUP,Window glass,3,,1
84,W2023,Q13 0 GROUP,Copper,4,,1
84,W2023,Q13 0 GROUP,Steel,5,,1
84,W2023,Q13 0 GROUP,Titanium,6,,1
84,W2023,Q13 0 GROUP,Platinum,7,,1
84,W2023,Q13 0 GROUP,Topaz,8,,1
84,W2023,Q13 0 GROUP,Quartz,9,,1
84,W2023,Q13 0 GROUP,Diamond,10,,1
84,W2023,Q14 0 GROUP,Freedom of speech and religion,1,,1
84,W2023,Q14 0 GROUP,Right to bear arms,2,,1
84,W2023,Q14 0 GROUP,No quartering of soldiers,3,,1
84,W2023,Q14 0 GROUP,No unreasonable searches,4,,1
84,W2023,Q14 0 GROUP,Due process,5,,1
84,W2023,Q14 0 GROUP,Trial by jury,6,,1
84,W2023,Q14 0 GROUP,Civil trial by jury,7,,1
84,W2023,Q14 0 GROUP,No cruel punishment,8,,1
84,W2023,Q14 0 GROUP,Power for the states and people,9,,1
84,W2023,Q14 0 GROUP,Right to non-specified rights,10,,1
84,W2023,Q6 0 GROUP,George Washington,1,,1
84,W2023,Q6 0 GROUP,Thomas Jefferson,2,,1
84,W2023,Q6 0 GROUP,John Adams,3,,1
84,W2023,Q6 0 GROUP,John Quincy Adams,4,,1
84,W2023,Q6 0 GROUP,James Madison,5,,1
84,W2023,Q6 0 GROUP,Abraham Lincoln,6,,1
84,W2023,Q6 0 GROUP,Andrew Jackson,7,,1
84,W2023,Q6 0 GROUP,John F. Kennedy,8,,1
84,W2023,Q6 0 GROUP,Theodore Roosevelt,9,,1
84,W2023,Q6 0 GROUP,Richard Nixon,10,,1
84,W2023,Q6 0 GROUP,George W. Bush,11,,1
84,W2023,Q6 0 GROUP,William Clinton,12,,1
84,W2023,Q6 0 GROUP,George H.W. Bush,13,,1
84,W2023,Q6 0 GROUP,Barack Obama,14,,1
84,W2023,Q6 1 GROUP,James Monroe,1,,1
84,W2023,Q6 1 GROUP,Ulysses S. Grant,2,,1
84,W2023,Q6 1 GROUP,William Henry Harrison,3,,1
84,W2023,Q6 1 GROUP,Dwight Eisenhower,4,,1
84,W2023,Q6 1 GROUP,William McKinley,5,,1
84,W2023,Q6 1 GROUP,James Carter,6,,1
84,W2023,Q6 1 GROUP,Warren Harding,7,,1
84,W2023,Q6 1 GROUP,James Knox Polk,8,,1
84,W2023,Q6 1 GROUP,Woodrow Wilson,9,,1
84,W2023,Q6 1 GROUP,Gerald Ford,10,,1
84,W2023,Q6 1 GROUP,Lyndon B. Johnson,11,,1
84,W2023,Q6 1 GROUP,Herbert Hoover,12,,1
84,W2023,Q6 1 GROUP,James Buchanan,13,,1
84,W2023,Q6 1 GROUP,Zachary Taylor,14,,1
84,W2023,Q6 1 GROUP,Millard Fillmore,15,,1
84,W2023,Q6 1 GROUP,Chester Arthur,16,,1
84,W2023,Q6 1 GROUP,Benjamin Harrison,17,,1
84,W2023,Q6 1 GROUP,James Garfield,18,,1
84,W2023,Q6 1 GROUP,Grover Cleveland 2,19,,1
84,W2023,Q6 1 GROUP,Andrew Johnson,20,,1
84,W2023,Q6 1 GROUP,Ronald Reagan,21,,1
84,W2023,Q6 1 GROUP,William Howard Taft,22,,1
84,W2023,Q6 1 GROUP,Grover Cleveland 1,23,,1
84,W2023,Q6 1 GROUP,Calvin Coolidge,24,,1
84,W2023,Q6 1 GROUP,Franklin Pierce,25,,1
84,W2023,Q6 1 GROUP,Martin Van Buren,26,,1
84,W2023,Q6 1 GROUP,Rutherford B. Hayes,27,,1
84,W2023,Q6 1 GROUP,Franklin D. Roosevelt,28,,1
84,W2023,Q6 1 GROUP,John Tyler,29,,1
84,W2023,Q6 1 GROUP,Harry S. Truman,30,,1
267,W2023,Q1 0 GROUP,Mumbai,1,,1
267,W2023,Q1 0 GROUP,Tokyo,2,,1
267,W2023,Q1 0 GROUP,Sao Paulo,3,,1
267,W2023,Q1 0 GROUP,Buenos Aires,4,,1
267,W2023,Q1 0 GROUP,Kolkata,5,,1
267,W2023,Q1 1 GROUP,Delhi,1,,1
267,W2023,Q1 1 GROUP,Dhaka,2,,1
267,W2023,Q1 1 GROUP,New York,3,,1
267,W2023,Q1 1 GROUP,Mexico City,4,,1
267,W2023,Q1 1 GROUP,Shanghai,5,,1
267,W2023,Q9 0 GROUP,China,1,,1
267,W2023,Q9 0 GROUP,India,2,,1
267,W2023,Q9 0 GROUP,United States,3,,1
267,W2023,Q9 0 GROUP,Pakistan,4,,1
267,W2023,Q9 0 GROUP,Brazil,5,,1
267,W2023,Q9 0 GROUP,Japan,6,,1
267,W2023,Q9 0 GROUP,Indonesia,7,,1
267,W2023,Q9 1 GROUP,Nigeria,1,,1
267,W2023,Q9 1 GROUP,Russia,2,,1
267,W2023,Q9 1 GROUP,Bangladesh,3,,1
267,W2023,Q7 0 GROUP,Los Angeles,1,,1
267,W2023,Q7 0 GROUP,Chicago,2,,1
267,W2023,Q7 0 GROUP,Dallas,3,,1
267,W2023,Q7 0 GROUP,San Antonio,4,,1
267,W2023,Q7 1 GROUP,Philadelphia,1,,1
267,W2023,Q7 1 GROUP,Houston,2,,1
267,W2023,Q7 1 GROUP,San Jose,3,,1
267,W2023,Q7 1 GROUP,Phoenix,4,,1
267,W2023,Q7 1 GROUP,New York,5,,1
267,W2023,Q7 1 GROUP,San Diego,6,,1
267,W2023,Q8 0 GROUP,Madrid,1,,1
267,W2023,Q8 0 GROUP,Vienna,2,,1
267,W2023,Q8 0 GROUP,Budapest,3,,1
267,W2023,Q8 0 GROUP,Hamburg,4,,1
267,W2023,Q8 0 GROUP,Bucharest,5,,1
267,W2023,Q8 1 GROUP,London,1,,1
267,W2023,Q8 1 GROUP,Paris,2,,1
267,W2023,Q8 1 GROUP,Rome,3,,1
267,W2023,Q8 1 GROUP,Berlin,4,,1
267,W2023,Q8 1 GROUP,Warsaw,5,,1
267,W2023,Q10 0 GROUP,Oregon,1,,1
267,W2023,Q10 0 GROUP,Utah,2,,1
267,W2023,Q10 0 GROUP,Iowa,3,,1
267,W2023,Q10 0 GROUP,Nebraska,4,,1
267,W2023,Q10 0 GROUP,Ohio,5,,1
267,W2023,Q10 0 GROUP,Virginia,6,,1
267,W2023,Q10 0 GROUP,Delaware,7,,1
267,W2023,Q10 0 GROUP,Maine,8,,1
267,W2023,Q10 1 GROUP,Connecticut,1,,1
267,W2023,Q10 1 GROUP,Alabama,2,,1
267,W2023,Q11 0 GROUP,China,1,,1
267,W2023,Q11 0 GROUP,United States,2,,1
267,W2023,Q11 0 GROUP,Canada,3,,1
267,W2023,Q11 0 GROUP,Brazil,4,,1
267,W2023,Q11 0 GROUP,Argentina,5,,1
267,W2023,Q11 0 GROUP,India,6,,1
267,W2023,Q11 0 GROUP,Sudan,7,,1
267,W2023,Q11 0 GROUP,Kazakhstan,8,,1
267,W2023,Q11 1 GROUP,Australia,1,,1
267,W2023,Q11 1 GROUP,Russia,2,,1
267,W2023,Q12 0 GROUP,Nile,1,,1
267,W2023,Q12 0 GROUP,Amazon,2,,1
267,W2023,Q12 0 GROUP,Mississippi,3,,1
267,W2023,Q12 0 GROUP,Yenisey-Angara,4,,1
267,W2023,Q12 1 GROUP,Yellow River,1,,1
267,W2023,Q12 1 GROUP,Parana,2,,1
267,W2023,Q12 1 GROUP,Mekong,3,,1
267,W2023,Q12 1 GROUP,Congo,4,,1
267,W2023,Q12 1 GROUP,Yangtze,5,,1
267,W2023,Q12 1 GROUP,Ob-Irtysh,6,,1
267,W2023,Q13 0 GROUP,Titanium,1,,1
267,W2023,Q13 0 GROUP,Graphite,2,,1
267,W2023,Q13 0 GROUP,Copper,3,,1
267,W2023,Q13 0 GROUP,Quartz,4,,1
267,W2023,Q13 0 GROUP,Finger nail,5,,1
267,W2023,Q13 1 GROUP,Diamond,1,,1
267,W2023,Q13 1 GROUP,Topaz,2,,1
267,W2023,Q13 1 GROUP,Platinum,3,,1
267,W2023,Q13 1 GROUP,Steel,4,,1
267,W2023,Q13 1 GROUP,Window glass,5,,1
267,W2023,Q14 0 GROUP,Freedom of speech and religion,1,,1
267,W2023,Q14 0 GROUP,Right to bear arms,2,,1
267,W2023,Q14 0 GROUP,No cruel punishment,3,,1
267,W2023,Q14 0 GROUP,No quartering of soldiers,4,,1
267,W2023,Q14 1 GROUP,Civil trial by jury,1,,1
267,W2023,Q14 1 GROUP,Trial by jury,2,,1
267,W2023,Q14 1 GROUP,Power for the states and people,3,,1
267,W2023,Q14 1 GROUP,Due process,4,,1
267,W2023,Q14 1 GROUP,Right to non-specified rights,5,,1
267,W2023,Q14 1 GROUP,No unreasonable searches,6,,1
267,W2023,Q6 0 GROUP,George Washington,1,,1
267,W2023,Q6 0 GROUP,John Adams,2,,1
267,W2023,Q6 0 GROUP,Thomas Jefferson,3,,1
267,W2023,Q6 0 GROUP,James Madison,4,,1
