problemSize,problem,point,x,y
30,7,2,0.054,0.8049
30,7,3,0.3768,0.3753
30,7,4,0.6745,0.5806
30,7,5,0.3888,0.5721
30,7,6,0.6361,0.2897
30,7,7,0.7294,0.3962
30,7,8,0.876,0.6836
30,7,9,0.4573,0.7341
30,7,10,0.5471,0.8659
30,7,11,0.5736,0.6452
30,7,12,0.2836,0.4962
30,7,13,0.4123,0.1899
30,7,14,0.7171,0.2429
30,7,15,0.2416,0.486
30,7,16,0.3519,0.1452
30,7,17,0.0296,0.2707
30,7,18,0.8015,0.6344
30,7,19,0.2023,0.321
30,7,20,0.821,0.4402
30,7,21,0.1627,0.442
30,7,22,0.7014,0.3187
30,7,23,0.9706,0.6125
30,7,24,0.9072,0.0494
30,7,25,0.4813,0.7974
30,7,26,0.4514,0.37
30,7,27,0.9093,0.5937
30,7,28,0.0716,0.7326
30,7,29,0.4031,0.6184
30,7,30,0.7291,0.815
30,8,1,0.5176,0.5948
30,8,2,0.2158,0.9822
30,8,3,0.2324,0.5207
30,8,4,0.4765,0.3351
30,8,5,0.0187,0.877
30,8,6,0.5123,0.1634
30,8,7,0.9765,0.9257
30,8,8,0.8497,0.9502
30,8,9,0.4687,0.1408
30,8,10,0.3794,0.0861
30,8,11,0.1364,0.1614
30,8,12,0.4968,0.4469
30,8,13,0.1648,0.9944
30,8,14,0.4932,0.2217
30,8,15,0.7986,0.4683
30,8,16,0.1076,0.936
30,8,17,0.8582,0.0569
30,8,18,0.0026,0.2279
30,8,19,0.3022,0.0162
30,8,20,0.5007,0.855
30,8,21,0.3069,0.5941
30,8,22,0.2411,0.4621
30,8,23,0.2504,0.7188
30,8,24,0.9999,0.8514
30,8,25,0.9599,0.3335
30,8,26,0.0526,0.5627
30,8,27,0.0579,0.6454
30,8,28,0.7991,0.7768
30,8,29,0.9645,0.7266
30,8,30,0.4022,0.6767
30,9,1,0.4095,0.3488
30,9,2,0.7895,0.3794
30,9,3,0.811,0.0995
30,9,4,0.9212,0.0821
30,9,5,0.6592,0.9361
30,9,6,0.518,0.2215
30,9,7,0.7011,0.6797
30,9,8,0.9292,0.3126
30,9,9,0.7045,0.0898
30,9,10,0.6883,0.3166
30,9,11,0.098,0.9427
30,9,12,0.2795,0.3442
30,9,13,0.8623,0.3591
30,9,14,0.1524,0.6085
30,9,15,0.6701,0.383
30,9,16,0.9883,0.6284
30,9,17,0.2776,0.809
30,9,18,0.2154,0.6816
30,9,19,0.1641,0.261
30,9,20,0.7748,0.5076
30,9,21,0.4236,0.52
30,9,22,0.5614,0.7148
30,9,23,0.6015,0.0883
30,9,24,0.6247,0.7127
30,9,25,0.2945,0.1989
30,9,26,0.9735,0.8733
30,9,27,0.4407,0.1257
30,9,28,0.3468,0.5427
30,9,29,0.3147,0.1076
30,9,30,0.8399,0.9975
40,1,1,0.638,0.197
40,1,2,0.756,0.8678
40,1,3,1.0,0.0729
40,1,4,0.9301,0.2481
40,1,5,0.8464,0.1477
40,1,6,0.1331,0.8265
40,1,7,0.2968,0.17
40,1,8,0.2554,0.6182
40,1,9,0.6058,0.386
40,1,10,0.2832,0.5449
40,1,11,0.4913,0.6647
40,1,12,0.0,0.8907
40,1,13,0.5812,0.7387
40,1,14,0.7315,0.1728
40,1,15,0.2228,0.2442
40,1,16,0.1663,0.5525
40,1,17,0.0717,0.3812
40,1,18,0.3262,0.2865
40,1,19,0.2256,0.0902
40,1,20,0.3072,0.7437
40,1,21,0.6766,0.326
40,1,22,0.4408,0.2682
40,1,23,0.3182,0.0207
40,1,24,0.3172,0.3533
40,1,25,0.3804,0.7782
40,1,26,0.6432,0.9017
40,1,27,0.3933,0.4875
40,1,28,0.0595,0.1328
40,1,29,0.1693,0.9964
40,1,30,0.8608,0.2229
40,1,31,0.8349,0.3228
40,1,32,0.188,0.7941
40,1,33,0.4612,0.2102
40,1,34,0.8935,0.5555
40,1,35,0.1285,0.936
40,1,36,0.8388,0.1071
40,1,37,0.358,0.3626
40,1,38,0.8532,0.0036
40,1,39,0.9356,0.9489
40,1,40,0.896,0.7979
40,2,1,0.714,0.3299
40,2,2,0.3562,0.1573
40,2,3,0.4345,0.4174
40,2,4,0.7764,0.4739
40,2,5,0.2704,0.3642
40,2,6,0.8977,0.2838
40,2,7,0.8909,0.8247
40,2,8,0.6278,0.4474
40,2,9,0.9425,0.7279
40,2,10,0.3358,0.9593
40,2,11,0.7071,0.7911
40,2,12,0.951,0.2755
40,2,13,0.7776,0.3016
40,2,14,0.3367,0.2069
40,2,15,0.1531,0.9854
40,2,16,0.4855,0.2006
40,2,17,0.8926,0.1486
40,2,18,0.9566,0.9775
40,2,19,0.7634,0.2308
40,2,20,0.9922,0.3676
40,2,21,0.8743,0.688
40,2,22,0.6493,0.9253
40,2,23,0.8997,0.426
40,2,24,0.6388,0.5939
40,2,25,0.1093,0.6228
40,2,26,0.1844,0.3253
40,2,27,0.7093,0.1245
40,2,28,0.5387,0.5678
40,2,29,0.4744,0.9499
40,2,30,0.6104,0.1932
40,2,31,0.7061,0.0146
40,2,32,0.7335,0.724
40,2,33,0.2284,0.9524
40,2,34,0.1923,0.5384
40,2,35,1.0,0.1222
40,2,36,0.0,0.4357
40,2,37,0.4645,0.1462
40,2,38,0.6983,0.9458
40,2,39,0.3537,0.6066
40,2,40,0.6764,0.5165
40,3,1,0.0589,0.3914
40,3,2,0.1812,0.7915
40,3,3,0.1129,0.748
40,3,4,0.17,0.0
40,3,5,0.8357,0.7643
40,3,6,0.2524,0.9103
40,3,7,0.9425,1.0
40,3,8,0.8309,0.8385
40,3,9,0.2892,0.6904
40,3,10,0.6856,0.7612
40,3,11,0.7882,0.4779
40,3,12,0.2222,0.0364
40,3,13,0.4068,0.1234
40,3,14,0.471,0.6472
40,3,15,0.1063,0.5345
40,3,16,0.0955,0.6326
40,3,17,0.033,0.2131
40,3,18,0.1202,0.8003
40,3,19,0.855,0.718
40,3,20,0.6802,0.966
40,3,21,0.9695,0.5579
40,3,22,0.2772,0.1436
40,3,23,0.2034,0.4691
40,3,24,0.3561,0.8457
40,3,25,0.2625,0.6329
40,3,26,0.5338,0.6404
40,3,27,0.3178,0.9424
40,3,28,0.8682,0.0821
40,3,29,0.9809,0.6532
40,3,30,0.0191,0.9698
40,3,31,0.3657,0.7971
40,3,32,0.723,0.9664
40,3,33,0.7798,0.8486
40,3,34,0.7919,0.2217
40,3,35,0.802,0.5946
40,3,36,0.1535,0.168
40,3,37,0.0787,0.2768
40,3,38,0.5711,0.9512
40,3,39,0.3626,0.3011
40,3,40,0.1256,0.2676
40,4,1,0.5938,0.3559
40,4,2,0.7573,0.3483
40,4,3,0.3982,0.5465
40,4,4,0.8058,0.1681
40,4,5,0.9958,0.3826
40,4,6,0.2008,0.918
40,4,7,0.163,0.8958
40,4,8,0.2747,0.3426
40,4,9,0.086,0.0721
40,4,10,0.5291,0.8581
40,4,11,0.94,0.8904
40,4,12,0.7017,0.3438
40,4,13,0.8753,0.3026
40,4,14,0.8252,0.2447
40,4,15,0.1376,0.1604
40,4,16,0.3083,0.7614
40,4,17,1.0,0.0899
40,4,18,0.4473,0.3111
40,4,19,0.178,0.5073
40,4,20,0.2143,0.8113
40,4,21,0.9363,0.0321
40,4,22,0.1936,0.2957
40,4,23,0.3641,0.2112
40,4,24,0.5676,0.1304
40,4,25,0.7017,0.8678
40,4,26,0.5129,0.8046
40,4,27,0.0,0.3223
40,4,28,0.9693,0.1345
40,4,29,0.4865,0.214
40,4,30,0.4297,0.8871
40,4,31,0.7192,0.1342
40,4,32,0.2016,0.7451
40,4,33,0.2468,0.5782
40,4,34,0.4208,0.225
40,4,35,0.4348,0.5098
40,4,36,0.2768,0.4229
40,4,37,0.7051,0.7891
40,4,38,0.135,0.027
40,4,39,0.5239,0.973
40,4,40,0.6038,0.5926
40,5,1,0.8561,0.4706
40,5,2,0.2318,0.3577
40,5,3,1.0,0.2468
40,5,4,0.5563,0.2028
40,5,5,0.4282,0.41
40,5,6,0.1675,0.7876
40,5,7,0.7994,0.0276
40,5,8,0.8661,0.2438
40,5,9,0.4503,0.1711
40,5,10,0.5938,0.4962
40,5,11,0.5672,0.7364
40,5,12,0.8116,0.891
40,5,13,0.5625,0.1467
40,5,14,0.7116,0.5515
40,5,15,0.0894,0.2557
40,5,16,0.6653,0.2169
40,5,17,0.6946,0.9203
40,5,18,0.0,0.9724
40,5,19,0.1344,0.717
40,5,20,0.5201,0.049
40,5,21,0.9847,0.0938
40,5,22,0.5632,0.8671
40,5,23,0.2781,0.6854
40,5,24,0.1759,0.2235
40,5,25,0.1526,0.1764
40,5,26,0.7745,0.2778
40,5,27,0.384,0.1996
40,5,28,0.6109,0.2838
40,5,29,0.7585,0.5876
40,5,30,0.0769,0.5146
40,5,31,0.766,0.0948
40,5,32,0.7243,0.3874
40,5,33,0.5987,0.1217
40,5,34,0.5938,0.7806
40,5,35,0.3883,0.8545
40,5,36,0.4093,0.4695
40,5,37,0.899,0.7543
40,5,38,0.0593,0.1512
40,5,39,0.0091,0.5325
40,5,40,0.0686,0.3006
40,6,1,0.0,0.7909
40,6,2,0.224,0.0776
40,6,3,0.535,0.5044
40,6,4,1.0,0.5068
40,6,5,0.2981,0.9183
40,6,6,0.6096,0.6995
40,6,7,0.5825,0.2267
40,6,8,0.1043,0.5725
40,6,9,0.3832,0.6488
40,6,10,0.8436,0.6962
40,6,11,0.3823,0.0096
40,6,12,0.1274,0.1868
40,6,13,0.183,0.2138
40,6,14,0.4108,0.998
40,6,15,0.9993,0.7671
40,6,16,0.9161,0.6294
40,6,17,0.9793,0.4141
40,6,18,0.2994,0.7637
40,6,19,0.3675,0.4041
40,6,20,0.9268,0.4212
40,6,21,0.2862,0.4132
40,6,22,0.8625,0.4027
40,6,23,0.5272,0.4002
40,6,24,0.3893,0.2358
40,6,25,0.8083,0.1441
40,6,26,0.3353,0.0158
40,6,27,0.0768,0.9064
40,6,28,0.7034,0.6965
40,6,29,0.5092,0.5599
40,6,30,0.6541,0.0813
40,6,31,0.6252,0.8851
40,6,32,0.615,0.32
40,6,33,0.4085,0.3496
40,6,34,0.8614,0.5174
40,6,35,0.7027,0.4277
40,6,36,0.208,0.972
40,6,37,0.4063,0.486
40,6,38,0.768,0.4924
40,6,39,0.748,0.003
40,6,40,0.6206,0.5837
40,7,1,0.912,0.6712
40,7,2,0.9993,0.5068
40,7,3,0.2129,0.9427
40,7,4,0.8213,0.5811
40,7,5,0.5032,0.7032
40,7,6,0.4599,0.2937
40,7,7,0.903,0.4476
40,7,8,0.7025,0.0356
40,7,9,0.5664,0.0413
40,7,10,0.2817,0.5087
40,7,11,0.2971,0.1409
40,7,12,0.6641,0.2581
40,7,13,0.0974,0.3142
40,7,14,0.6697,0.375
40,7,15,0.9709,0.1946
40,7,16,0.4711,0.4698
40,7,17,0.6204,1.0
40,7,18,0.7958,0.6391
40,7,19,0.6236,0.0
40,7,20,0.4464,0.4197
40,7,21,0.5068,0.5691
40,7,22,0.393,0.3596
40,7,23,0.5006,0.8218
40,7,24,0.0407,0.4093
40,7,25,0.0342,0.8899
40,7,26,0.0007,0.6817
40,7,27,0.1282,0.8099
40,7,28,0.6119,0.4504
40,7,29,0.2064,0.781
40,7,30,0.0154,0.2843
40,7,31,0.7883,0.2342
40,7,32,0.9111,0.7582
40,7,33,0.5198,0.6167
40,7,34,0.161,0.1112
40,7,35,0.9696,0.8888
40,7,36,0.5816,0.1376
40,7,37,0.2428,0.8192
40,7,38,0.5598,0.4815
40,7,39,0.2409,0.4741
40,7,40,0.3712,0.0017
40,8,1,0.2389,0.9773
40,8,2,0.3652,0.2538
40,8,3,0.3618,0.1623
40,8,4,0.942,0.2587
40,8,5,0.6897,0.2761
40,8,6,0.647,0.0
40,8,7,0.9386,0.4385
40,8,8,0.2539,0.1198
40,8,9,0.8482,0.5659
40,8,10,0.934,0.8875
40,8,11,0.3061,0.831
40,8,12,0.3324,0.482
40,8,13,0.2433,0.6019
40,8,14,0.7198,0.7398
40,8,15,0.0228,0.9925
40,8,16,0.4425,0.362
40,8,17,0.1522,0.1637
40,8,18,0.9772,0.6004
40,8,19,0.7196,0.0042
40,8,20,0.596,0.4433
40,8,21,0.3909,0.6362
40,8,22,0.4145,0.1686
40,8,23,0.0481,0.763
40,8,24,0.8412,0.176
40,8,25,0.1752,0.3124
40,8,26,0.7498,0.8811
40,8,27,0.5947,0.9912
40,8,28,0.8797,0.8064
40,8,29,0.1351,1.0
40,8,30,0.1421,0.8582
40,8,31,0.2667,0.3854
40,8,32,0.5036,0.8789
40,8,33,0.6002,0.3358
40,8,34,0.6276,0.4082
40,8,35,0.9757,0.9037
40,8,36,0.5206,0.5684
40,8,37,0.7341,0.4216
40,8,38,0.8855,0.3479
40,8,39,0.6036,0.1942
40,8,40,0.8071,0.9576
40,9,1,0.7177,0.8709
40,9,2,0.3318,0.3981
40,9,3,0.9699,0.4622
40,9,4,0.7202,0.0973
40,9,5,0.3714,0.0786
40,9,6,0.5039,0.8784
40,9,7,0.2508,1.0
40,9,8,0.7494,0.1387
40,9,9,0.9237,0.1536
40,9,10,0.0694,0.8278
40,9,11,0.319,0.9106
40,9,12,0.7812,0.6084
40,9,13,0.4358,0.5081
40,9,14,0.4495,0.5572
40,9,15,0.0769,0.6772
40,9,16,0.0349,0.13
40,9,17,0.7876,0.9952
40,9,18,0.4613,0.0
40,9,19,0.5266,0.3194
40,9,20,0.3649,0.8121
40,9,21,0.8806,0.6411
40,9,22,0.7902,0.0649
40,9,23,0.4565,0.465
40,9,24,0.8057,0.8383
40,9,25,0.6199,0.8982
40,9,26,0.0382,0.7553
40,9,27,0.0301,0.3948
40,9,28,0.669,0.066
40,9,29,0.2954,0.7362
40,9,30,0.0581,0.9944
40,9,31,0.8306,0.1916
40,9,32,0.6516,0.2158
40,9,33,0.2432,0.9048
40,9,34,0.1807,0.1623
40,9,35,0.2115,0.8162
40,9,36,0.6141,0.0896
40,9,37,0.9613,0.711
40,9,38,0.8122,0.466
40,9,39,0.6847,0.5265
40,9,40,0.9526,0.7709
