participant,problemSize,problem,step,point
2,30,1,9,11
2,30,1,10,1
2,30,1,11,12
2,30,1,12,4
2,30,1,13,8
2,30,1,14,24
2,30,1,15,14
2,30,1,16,3
2,30,1,17,5
2,30,1,18,9
2,30,1,19,7
2,30,1,20,17
2,30,1,21,26
2,30,1,22,20
2,30,1,23,6
2,30,1,24,27
2,30,1,25,15
2,30,1,26,19
2,30,1,27,18
2,30,1,28,13
2,30,1,29,25
2,30,1,30,30
2,30,2,1,3
2,30,2,2,14
2,30,2,3,21
2,30,2,4,20
2,30,2,5,18
2,30,2,6,1
2,30,2,7,10
2,30,2,8,23
2,30,2,9,15
2,30,2,10,16
2,30,2,11,27
2,30,2,12,17
2,30,2,13,29
2,30,2,14,13
2,30,2,15,8
2,30,2,16,24
2,30,2,17,5
2,30,2,18,9
2,30,2,19,2
2,30,2,20,7
2,30,2,21,12
2,30,2,22,22
2,30,2,23,19
2,30,2,24,4
2,30,2,25,30
2,30,2,26,25
2,30,2,27,28
2,30,2,28,11
2,30,2,29,26
2,30,2,30,6
2,30,3,1,18
2,30,3,2,14
2,30,3,3,7
2,30,3,4,28
2,30,3,5,15
2,30,3,6,20
2,30,3,7,13
2,30,3,8,30
2,30,3,9,12
2,30,3,10,24
2,30,3,11,1
2,30,3,12,4
2,30,3,13,8
2,30,3,14,6
2,30,3,15,22
2,30,3,16,11
2,30,3,17,10
2,30,3,18,2
2,30,3,19,27
2,30,3,20,3
2,30,3,21,21
2,30,3,22,5
2,30,3,23,16
2,30,3,24,29
2,30,3,25,9
2,30,3,26,19
2,30,3,27,17
2,30,3,28,26
2,30,3,29,25
2,30,3,30,23
2,30,4,1,26
2,30,4,2,13
2,30,4,3,7
2,30,4,4,24
2,30,4,5,18
2,30,4,6,14
2,30,4,7,8
2,30,4,8,4
2,30,4,9,21
2,30,4,10,1
2,30,4,11,5
2,30,4,12,23
2,30,4,13,15
2,30,4,14,27
2,30,4,15,22
2,30,4,16,6
2,30,4,17,25
2,30,4,18,19
2,30,4,19,9
2,30,4,20,17
2,30,4,21,29
2,30,4,22,2
2,30,4,23,16
2,30,4,24,3
2,30,4,25,11
2,30,4,26,30
2,30,4,27,12
2,30,4,28,28
2,30,4,29,10
2,30,4,30,20
2,30,5,1,8
2,30,5,2,9
2,30,5,3,19
2,30,5,4,11
2,30,5,5,18
2,30,5,6,15
2,30,5,7,10
2,30,5,8,30
2,30,5,9,17
2,30,5,10,2
2,30,5,11,22
2,30,5,12,13
2,30,5,13,23
2,30,5,14,3
2,30,5,15,14
2,30,5,16,25
2,30,5,17,28
2,30,5,18,26
2,30,5,19,7
2,30,5,20,12
2,30,5,21,29
2,30,5,22,20
2,30,5,23,27
2,30,5,24,5
2,30,5,25,24
2,30,5,26,1
2,30,5,27,4
2,30,5,28,21
2,30,5,29,16
2,30,5,30,6
2,30,6,1,2
2,30,6,2,29
2,30,6,3,3
2,30,6,4,7
2,30,6,5,9
2,30,6,6,12
2,30,6,7,1
2,30,6,8,24
2,30,6,9,26
2,30,6,10,23
2,30,6,11,25
2,30,6,12,14
2,30,6,13,4
2,30,6,14,13
2,30,6,15,16
2,30,6,16,8
2,30,6,17,20
2,30,6,18,10
2,30,6,19,30
2,30,6,20,17
2,30,6,21,18
2,30,6,22,28
2,30,6,23,19
2,30,6,24,21
2,30,6,25,15
2,30,6,26,5
2,30,6,27,6
2,30,6,28,11
2,30,6,29,22
2,30,6,30,27
2,30,7,1,1
2,30,7,2,5
2,30,7,3,29
2,30,7,4,28
2,30,7,5,2
2,30,7,6,17
2,30,7,7,21
2,30,7,8,15
2,30,7,9,12
2,30,7,10,19
2,30,7,11,16
2,30,7,12,13
2,30,7,13,3
2,30,7,14,26
2,30,7,15,6
2,30,7,16,14
2,30,7,17,24
2,30,7,18,22
2,30,7,19,7
2,30,7,20,20
2,30,7,21,27
2,30,7,22,23
2,30,7,23,8
2,30,7,24,18
2,30,7,25,4
2,30,7,26,30
2,30,7,27,11
2,30,7,28,10
2,30,7,29,25
2,30,7,30,9
2,30,8,1,5
2,30,8,2,16
2,30,8,3,13
2,30,8,4,2
2,30,8,5,20
2,30,8,6,8
2,30,8,7,7
2,30,8,8,24
2,30,8,9,29
2,30,8,10,28
2,30,8,11,15
2,30,8,12,25
2,30,8,13,17
2,30,8,14,19
2,30,8,15,10
2,30,8,16,9
2,30,8,17,6
2,30,8,18,14
2,30,8,19,4
2,30,8,20,12
2,30,8,21,1
2,30,8,22,30
2,30,8,23,23
2,30,8,24,21
2,30,8,25,22
2,30,8,26,11
2,30,8,27,18
2,30,8,28,3
2,30,8,29,26
2,30,8,30,27
2,30,9,1,11
2,30,9,2,17
2,30,9,3,18
2,30,9,4,14
2,30,9,5,19
2,30,9,6,29
2,30,9,7,25
2,30,9,8,12
2,30,9,9,28
2,30,9,10,21
2,30,9,11,1
2,30,9,12,27
2,30,9,13,6
2,30,9,14,23
2,30,9,15,9
2,30,9,16,3
2,30,9,17,4
2,30,9,18,8
2,30,9,19,13
2,30,9,20,2
2,30,9,21,15
2,30,9,22,10
2,30,9,23,20
2,30,9,24,16
2,30,9,25,7
2,30,9,26,24
2,30,9,27,22
2,30,9,28,26
2,30,9,29,30
2,30,9,30,5
3,30,1,1,24
3,30,1,2,5
3,30,1,3,7
3,30,1,4,17
3,30,1,5,9
3,30,1,6,26
3,30,1,7,20
3,30,1,8,6
3,30,1,9,27
3,30,1,10,15
3,30,1,11,19
3,30,1,12,3
3,30,1,13,21
3,30,1,14,23
3,30,1,15,18
3,30,1,16,25
3,30,1,17,30
3,30,1,18,10
3,30,1,19,13
3,30,1,20,22
3,30,1,21,28
3,30,1,22,16
3,30,1,23,2
3,30,1,24,11
3,30,1,25,1
3,30,1,26,12
3,30,1,27,4
3,30,1,28,29
3,30,1,29,14
3,30,1,30,8
3,30,2,1,9
3,30,2,2,2
3,30,2,3,7
3,30,2,4,12
3,30,2,5,22
3,30,2,6,19
3,30,2,7,4
3,30,2,8,30
3,30,2,9,25
3,30,2,10,28
3,30,2,11,11
3,30,2,12,26
3,30,2,13,21
3,30,2,14,20
3,30,2,15,18
3,30,2,16,1
3,30,2,17,10
3,30,2,18,23
3,30,2,19,15
3,30,2,20,16
3,30,2,21,17
3,30,2,22,27
3,30,2,23,14
3,30,2,24,6
3,30,2,25,3
3,30,2,26,24
3,30,2,27,8
3,30,2,28,29
3,30,2,29,13
3,30,2,30,5
3,30,3,1,11
3,30,3,2,1
3,30,3,3,6
3,30,3,4,4
3,30,3,5,8
3,30,3,6,12
3,30,3,7,30
3,30,3,8,13
3,30,3,9,28
3,30,3,10,15
3,30,3,11,20
3,30,3,12,24
3,30,3,13,18
3,30,3,14,14
3,30,3,15,7
3,30,3,16,25
3,30,3,17,23
3,30,3,18,26
3,30,3,19,17
3,30,3,20,19
3,30,3,21,9
3,30,3,22,5
3,30,3,23,21
3,30,3,24,3
3,30,3,25,27
3,30,3,26,16
3,30,3,27,29
3,30,3,28,2
3,30,3,29,10
3,30,3,30,22
3,30,4,1,10
3,30,4,2,30
3,30,4,3,11
3,30,4,4,12
3,30,4,5,28
3,30,4,6,2
3,30,4,7,3
3,30,4,8,16
3,30,4,9,29
3,30,4,10,27
3,30,4,11,9
3,30,4,12,19
3,30,4,13,17
3,30,4,14,22
3,30,4,15,6
3,30,4,16,25
3,30,4,17,23
3,30,4,18,15
3,30,4,19,18
3,30,4,20,24
3,30,4,21,7
3,30,4,22,13
3,30,4,23,26
3,30,4,24,14
3,30,4,25,8
3,30,4,26,5
3,30,4,27,1
3,30,4,28,4
3,30,4,29,21
3,30,4,30,20
3,30,5,1,13
3,30,5,2,22
3,30,5,3,2
3,30,5,4,3
3,30,5,5,25
3,30,5,6,28
3,30,5,7,26
3,30,5,8,7
3,30,5,9,29
3,30,5,10,20
3,30,5,11,27
3,30,5,12,5
3,30,5,13,12
3,30,5,14,24
3,30,5,15,1
3,30,5,16,4
3,30,5,17,6
3,30,5,18,16
3,30,5,19,21
3,30,5,20,8
3,30,5,21,9
3,30,5,22,19
3,30,5,23,11
3,30,5,24,18
3,30,5,25,15
3,30,5,26,10
3,30,5,27,30
3,30,5,28,14
3,30,5,29,17
3,30,5,30,23
3,30,6,1,20
3,30,6,2,8
3,30,6,3,13
3,30,6,4,4
3,30,6,5,14
3,30,6,6,25
3,30,6,7,23
3,30,6,8,11
3,30,6,9,22
3,30,6,10,5
3,30,6,11,6
3,30,6,12,3
3,30,6,13,29
3,30,6,14,7
3,30,6,15,1
3,30,6,16,12
3,30,6,17,9
3,30,6,18,24
3,30,6,19,26
3,30,6,20,21
3,30,6,21,19
3,30,6,22,15
3,30,6,23,28
3,30,6,24,2
3,30,6,25,18
3,30,6,26,27
3,30,6,27,17
3,30,6,28,30
3,30,6,29,10
3,30,6,30,16
3,30,7,1,28
3,30,7,2,17
3,30,7,3,19
3,30,7,4,16
3,30,7,5,13
3,30,7,6,6
3,30,7,7,14
3,30,7,8,24
3,30,7,9,22
3,30,7,10,7
3,30,7,11,20
3,30,7,12,27
3,30,7,13,23
3,30,7,14,8
3,30,7,15,18
3,30,7,16,4
3,30,7,17,30
3,30,7,18,11
3,30,7,19,26
3,30,7,20,3
3,30,7,21,1
3,30,7,22,10
3,30,7,23,25
3,30,7,24,9
3,30,7,25,29
3,30,7,26,5
3,30,7,27,12
3,30,7,28,15
3,30,7,29,21
3,30,7,30,2
3,30,8,1,25
3,30,8,2,15
3,30,8,3,29
3,30,8,4,24
3,30,8,5,7
3,30,8,6,8
3,30,8,7,28
3,30,8,8,6
3,30,8,9,9
3,30,8,10,10
3,30,8,11,19
3,30,8,12,11
3,30,8,13,18
3,30,8,14,26
3,30,8,15,27
3,30,8,16,5
3,30,8,17,16
3,30,8,18,13
3,30,8,19,2
3,30,8,20,23
3,30,8,21,3
3,30,8,22,22
3,30,8,23,21
3,30,8,24,14
3,30,8,25,4
3,30,8,26,12
3,30,8,27,1
3,30,8,28,30
3,30,8,29,20
3,30,8,30,17
3,30,9,1,17
3,30,9,2,18
3,30,9,3,14
3,30,9,4,28
3,30,9,5,21
3,30,9,6,12
3,30,9,7,19
3,30,9,8,29
3,30,9,9,25
3,30,9,10,1
3,30,9,11,27
3,30,9,12,6
3,30,9,13,23
3,30,9,14,9
3,30,9,15,3
3,30,9,16,4
3,30,9,17,10
3,30,9,18,15
3,30,9,19,2
3,30,9,20,13
3,30,9,21,8
3,30,9,22,20
3,30,9,23,16
3,30,9,24,7
3,30,9,25,24
3,30,9,26,22
3,30,9,27,26
3,30,9,28,30
3,30,9,29,5
3,30,9,30,11
4,30,1,1,13
4,30,1,2,15
4,30,1,3,27
4,30,1,4,19
4,30,1,5,6
4,30,1,6,20
4,30,1,7,26
4,30,1,8,17
4,30,1,9,7
4,30,1,10,9
4,30,1,11,5
4,30,1,12,3
4,30,1,13,21
4,30,1,14,23
4,30,1,15,29
4,30,1,16,14
4,30,1,17,24
4,30,1,18,8
4,30,1,19,4
4,30,1,20,12
4,30,1,21,1
4,30,1,22,11
4,30,1,23,16
4,30,1,24,2
4,30,1,25,28
4,30,1,26,22
4,30,1,27,10
4,30,1,28,30
4,30,1,29,25
4,30,1,30,18
4,30,2,1,18
4,30,2,2,20
4,30,2,3,11
4,30,2,4,26
4,30,2,5,6
4,30,2,6,28
4,30,2,7,19
4,30,2,8,4
4,30,2,9,30
4,30,2,10,25
4,30,2,11,22
4,30,2,12,12
4,30,2,13,7
4,30,2,14,2
4,30,2,15,9
4,30,2,16,5
4,30,2,17,8
4,30,2,18,24
4,30,2,19,29
4,30,2,20,13
4,30,2,21,17
4,30,2,22,27
4,30,2,23,3
4,30,2,24,14
4,30,2,25,21
4,30,2,26,10
4,30,2,27,15
4,30,2,28,16
4,30,2,29,23
4,30,2,30,1
4,30,3,1,28
4,30,3,2,15
4,30,3,3,20
4,30,3,4,30
4,30,3,5,13
4,30,3,6,12
4,30,3,7,1
4,30,3,8,4
4,30,3,9,8
4,30,3,10,11
4,30,3,11,22
4,30,3,12,6
4,30,3,13,10
4,30,3,14,27
4,30,3,15,3
4,30,3,16,21
4,30,3,17,16
4,30,3,18,29
4,30,3,19,2
4,30,3,20,18
4,30,3,21,24
4,30,3,22,14
4,30,3,23,23
4,30,3,24,26
4,30,3,25,5
4,30,3,26,9
4,30,3,27,17
4,30,3,28,25
4,30,3,29,19
4,30,3,30,7
4,30,4,1,25
4,30,4,2,19
4,30,4,3,9
4,30,4,4,17
4,30,4,5,22
4,30,4,6,27
4,30,4,7,29
4,30,4,8,2
4,30,4,9,3
4,30,4,10,16
4,30,4,11,11
4,30,4,12,12
4,30,4,13,30
4,30,4,14,28
4,30,4,15,10
4,30,4,16,20
4,30,4,17,24
4,30,4,18,7
4,30,4,19,13
4,30,4,20,26
4,30,4,21,21
4,30,4,22,14
4,30,4,23,18
4,30,4,24,15
4,30,4,25,23
4,30,4,26,8
4,30,4,27,4
4,30,4,28,1
4,30,4,29,5
4,30,4,30,6
4,30,5,1,15
4,30,5,2,18
4,30,5,3,11
4,30,5,4,19
4,30,5,5,16
4,30,5,6,21
4,30,5,7,6
4,30,5,8,4
4,30,5,9,1
4,30,5,10,9
4,30,5,11,8
4,30,5,12,24
4,30,5,13,5
4,30,5,14,27
4,30,5,15,20
4,30,5,16,29
4,30,5,17,12
4,30,5,18,7
4,30,5,19,26
4,30,5,20,25
4,30,5,21,28
4,30,5,22,23
4,30,5,23,13
4,30,5,24,22
4,30,5,25,3
4,30,5,26,2
4,30,5,27,17
4,30,5,28,14
4,30,5,29,30
4,30,5,30,10
4,30,6,1,26
4,30,6,2,21
4,30,6,3,19
4,30,6,4,15
4,30,6,5,28
4,30,6,6,18
4,30,6,7,27
4,30,6,8,17
4,30,6,9,30
4,30,6,10,10
4,30,6,11,20
4,30,6,12,8
4,30,6,13,2
4,30,6,14,9
4,30,6,15,12
4,30,6,16,1
4,30,6,17,29
4,30,6,18,7
4,30,6,19,3
4,30,6,20,6
4,30,6,21,8
4,30,6,22,16
4,30,6,23,13
4,30,6,24,4
4,30,6,25,11
4,30,6,26,14
4,30,6,27,25
4,30,6,28,23
4,30,6,29,5
4,30,6,30,24
4,30,7,1,10
4,30,7,2,30
4,30,7,3,8
4,30,7,4,23
4,30,7,5,27
4,30,7,6,18
4,30,7,7,4
4,30,7,8,11
4,30,7,9,7
4,30,7,10,20
4,30,7,11,22
4,30,7,12,6
4,30,7,13,14
4,30,7,14,24
4,30,7,15,13
4,30,7,16,16
4,30,7,17,19
4,30,7,18,17
4,30,7,19,21
4,30,7,20,3
4,30,7,21,26
4,30,7,22,1
4,30,7,23,12
4,30,7,24,15
4,30,7,25,28
4,30,7,26,2
4,30,7,27,5
4,30,7,28,29
4,30,7,29,9
4,30,7,30,25
4,30,8,1,8
4,30,8,2,7
4,30,8,3,24
4,30,8,4,29
4,30,8,5,28
4,30,8,6,15
4,30,8,7,25
4,30,8,8,17
4,30,8,9,12
4,30,8,10,4
4,30,8,11,14
4,30,8,12,6
4,30,8,13,9
4,30,8,14,10
4,30,8,15,19
4,30,8,16,11
4,30,8,17,18
4,30,8,18,22
4,30,8,19,3
4,30,8,20,26
4,30,8,21,27
4,30,8,22,21
4,30,8,23,1
4,30,8,24,30
4,30,8,25,23
4,30,8,26,5
4,30,8,27,16
4,30,8,28,13
4,30,8,29,2
4,30,8,30,20
4,30,9,1,5
4,30,9,2,30
4,30,9,3,26
4,30,9,4,16
4,30,9,5,20
4,30,9,6,7
4,30,9,7,24
4,30,9,8,22
4,30,9,9,15
4,30,9,10,10
4,30,9,11,2
4,30,9,12,13
4,30,9,13,8
4,30,9,14,4
4,30,9,15,3
4,30,9,16,9
4,30,9,17,23
4,30,9,18,6
4,30,9,19,27
4,30,9,20,29
4,30,9,21,25
4,30,9,22,1
4,30,9,23,12
4,30,9,24,19
4,30,9,25,21
4,30,9,26,28
4,30,9,27,14
4,30,9,28,18
4,30,9,29,17
4,30,9,30,11
5,30,1,1,24
5,30,1,2,5
5,30,1,3,9
5,30,1,4,3
5,30,1,5,21
5,30,1,6,23
5,30,1,7,29
5,30,1,8,14
5,30,1,9,4
5,30,1,10,12
5,30,1,11,1
5,30,1,12,2
5,30,1,13,11
5,30,1,14,16
5,30,1,15,28
5,30,1,16,22
5,30,1,17,10
5,30,1,18,30
5,30,1,19,25
5,30,1,20,13
5,30,1,21,27
5,30,1,22,15
5,30,1,23,18
5,30,1,24,19
5,30,1,25,6
5,30,1,26,20
5,30,1,27,26
5,30,1,28,17
5,30,1,29,7
5,30,1,30,8
5,30,2,1,13
5,30,2,2,29
5,30,2,3,8
5,30,2,4,5
5,30,2,5,9
5,30,2,6,2
5,30,2,7,7
5,30,2,8,12
5,30,2,9,22
5,30,2,10,19
5,30,2,11,4
5,30,2,12,30
5,30,2,13,25
5,30,2,14,28
5,30,2,15,18
5,30,2,16,20
5,30,2,17,1
5,30,2,18,10
5,30,2,19,23
5,30,2,20,15
5,30,2,21,16
5,30,2,22,17
5,30,2,23,27
5,30,2,24,14
5,30,2,25,21
5,30,2,26,11
5,30,2,27,26
5,30,2,28,6
5,30,2,29,3
5,30,2,30,24
5,30,3,1,28
5,30,3,2,15
5,30,3,3,20
5,30,3,4,30
5,30,3,5,12
5,30,3,6,24
5,30,3,7,18
5,30,3,8,14
5,30,3,9,7
5,30,3,10,25
5,30,3,11,23
5,30,3,12,26
5,30,3,13,17
5,30,3,14,19
5,30,3,15,9
5,30,3,16,5
5,30,3,17,16
5,30,3,18,29
5,30,3,19,2
5,30,3,20,27
5,30,3,21,3
5,30,3,22,21
5,30,3,23,10
5,30,3,24,6
5,30,3,25,22
5,30,3,26,11
5,30,3,27,8
5,30,3,28,4
5,30,3,29,1
5,30,3,30,13
5,30,4,1,20
5,30,4,2,10
5,30,4,3,30
5,30,4,4,11
5,30,4,5,12
5,30,4,6,3
5,30,4,7,16
5,30,4,8,2
5,30,4,9,28
5,30,4,10,29
5,30,4,11,19
5,30,4,12,9
5,30,4,13,17
5,30,4,14,25
5,30,4,15,6
5,30,4,16,22
5,30,4,17,27
5,30,4,18,23
5,30,4,19,5
5,30,4,20,1
5,30,4,21,4
5,30,4,22,8
5,30,4,23,15
5,30,4,24,18
5,30,4,25,14
5,30,4,26,24
5,30,4,27,7
5,30,4,28,13
5,30,4,29,26
5,30,4,30,21
5,30,5,1,13
5,30,5,2,23
5,30,5,3,22
5,30,5,4,2
5,30,5,5,3
5,30,5,6,17
5,30,5,7,25
5,30,5,8,28
5,30,5,9,26
5,30,5,10,7
5,30,5,11,14
5,30,5,12,30
5,30,5,13,10
5,30,5,14,15
5,30,5,15,18
5,30,5,16,11
5,30,5,17,19
5,30,5,18,9
5,30,5,19,8
5,30,5,20,12
5,30,5,21,29
5,30,5,22,27
5,30,5,23,20
5,30,5,24,5
5,30,5,25,24
5,30,5,26,1
5,30,5,27,4
5,30,5,28,6
5,30,5,29,16
5,30,5,30,21
5,30,6,1,26
5,30,6,2,24
5,30,6,3,1
5,30,6,4,7
5,30,6,5,3
5,30,6,6,29
5,30,6,7,6
5,30,6,8,5
5,30,6,9,23
5,30,6,10,25
5,30,6,11,14
5,30,6,12,4
5,30,6,13,13
5,30,6,14,11
5,30,6,15,22
5,30,6,16,8
5,30,6,17,16
5,30,6,18,20
5,30,6,19,10
5,30,6,20,30
5,30,6,21,17
5,30,6,22,27
5,30,6,23,2
5,30,6,24,18
5,30,6,25,28
5,30,6,26,19
5,30,6,27,21
5,30,6,28,15
5,30,6,29,9
5,30,6,30,12
5,30,7,1,24
5,30,7,2,14
5,30,7,3,6
5,30,7,4,22
5,30,7,5,7
5,30,7,6,20
5,30,7,7,27
5,30,7,8,23
5,30,7,9,8
5,30,7,10,18
5,30,7,11,30
5,30,7,12,4
5,30,7,13,11
5,30,7,14,10
5,30,7,15,25
5,30,7,16,9
5,30,7,17,2
5,30,7,18,28
5,30,7,19,29
5,30,7,20,5
5,30,7,21,1
5,30,7,22,12
5,30,7,23,15
5,30,7,24,21
5,30,7,25,17
5,30,7,26,19
5,30,7,27,3
5,30,7,28,26
5,30,7,29,16
5,30,7,30,13
5,30,8,1,17
5,30,8,2,25
5,30,8,3,15
5,30,8,4,29
5,30,8,5,24
5,30,8,6,7
5,30,8,7,8
5,30,8,8,28
5,30,8,9,20
5,30,8,10,2
5,30,8,11,13
5,30,8,12,16
5,30,8,13,5
5,30,8,14,23
5,30,8,15,30
5,30,8,16,1
5,30,8,17,21
5,30,8,18,27
5,30,8,19,26
5,30,8,20,3
5,30,8,21,22
5,30,8,22,18
5,30,8,23,11
5,30,8,24,19
5,30,8,25,10
5,30,8,26,9
5,30,8,27,6
5,30,8,28,14
5,30,8,29,4
5,30,8,30,12
5,30,9,1,4
5,30,9,2,3
5,30,9,3,9
5,30,9,4,23
5,30,9,5,6
5,30,9,6,27
5,30,9,7,29
5,30,9,8,25
5,30,9,9,19
5,30,9,10,12
5,30,9,11,1
5,30,9,12,21
5,30,9,13,28
5,30,9,14,14
5,30,9,15,18
5,30,9,16,17
5,30,9,17,11
5,30,9,18,5
5,30,9,19,30
5,30,9,20,26
5,30,9,21,22
5,30,9,22,24
5,30,9,23,7
5,30,9,24,16
5,30,9,25,20
5,30,9,26,15
5,30,9,27,10
5,30,9,28,2
5,30,9,29,13
5,30,9,30,8
6,30,1,1,23
6,30,1,2,29
6,30,1,3,14
6,30,1,4,24
6,30,1,5,8
6,30,1,6,4
6,30,1,7,12
6,30,1,8,1
6,30,1,9,11
6,30,1,10,16
6,30,1,11,2
6,30,1,12,28
6,30,1,13,22
6,30,1,14,10
6,30,1,15,30
6,30,1,16,25
6,30,1,17,18
6,30,1,18,13
6,30,1,19,15
6,30,1,20,27
6,30,1,21,19
6,30,1,22,6
6,30,1,23,20
6,30,1,24,26
6,30,1,25,17
6,30,1,26,7
6,30,1,27,5
6,30,1,28,9
6,30,1,29,3
6,30,1,30,21
6,30,2,1,3
6,30,2,2,6
6,30,2,3,26
6,30,2,4,11
6,30,2,5,21
6,30,2,6,20
6,30,2,7,18
6,30,2,8,1
6,30,2,9,10
6,30,2,10,14
6,30,2,11,27
6,30,2,12,15
6,30,2,13,23
6,30,2,14,16
6,30,2,15,17
6,30,2,16,24
6,30,2,17,29
