participant,itemA,itemB,recognizedA,recognizedB,aLarger,choiceA
5,7,28,0,0,1,1
5,6,43,0,0,1,1
5,45,33,0,0,0,1
5,38,26,0,0,0,1
5,46,31,0,0,0,0
6,8,16,1,0,1,1
6,37,19,0,0,0,0
6,35,30,0,0,0,1
6,34,44,1,0,1,1
6,22,27,0,0,1,0
6,10,5,1,1,0,0
6,15,23,1,0,1,1
6,49,50,0,0,1,0
6,9,21,0,0,1,0
6,2,20,1,0,1,1
6,36,51,0,0,1,1
6,32,39,1,0,1,1
6,18,4,0,0,0,0
6,41,11,0,0,0,0
6,17,40,0,0,1,0
6,25,42,1,0,1,1
6,1,47,1,0,1,1
6,3,52,1,0,1,1
6,48,24,0,0,0,0
6,13,12,0,0,0,0
6,29,53,0,0,1,0
6,7,28,0,0,1,1
6,6,43,0,0,1,1
6,45,33,0,0,0,1
6,38,26,0,1,0,0
6,46,31,0,0,0,1
7,8,16,1,0,1,1
7,37,19,0,1,0,0
7,35,30,1,0,0,1
7,34,44,0,0,1,1
7,22,27,1,0,1,0
7,10,5,1,1,0,0
7,15,23,1,0,1,1
7,49,50,1,0,1,1
7,9,21,1,1,1,1
7,2,20,1,1,1,1
7,36,51,1,0,1,1
7,32,39,1,0,1,1
7,18,4,0,1,0,0
7,41,11,0,1,0,0
7,17,40,1,0,1,1
7,25,42,1,0,1,1
7,1,47,1,0,1,1
7,3,52,1,0,1,1
7,48,24,0,1,0,0
7,13,12,0,1,0,0
7,29,53,0,1,1,0
7,7,28,1,1,1,1
7,6,43,1,0,1,1
7,45,33,0,1,0,0
7,38,26,1,1,0,1
7,46,31,0,0,0,1
8,8,16,1,0,1,1
8,37,19,0,0,0,1
8,35,30,0,0,0,0
8,34,44,1,0,1,1
8,22,27,0,1,1,0
8,10,5,1,1,0,0
8,15,23,1,1,1,1
8,49,50,0,0,1,0
8,9,21,1,0,1,1
8,2,20,1,1,1,0
8,36,51,1,0,1,1
8,32,39,1,0,1,1
8,18,4,0,1,0,0
8,41,11,0,1,0,0
8,17,40,1,0,1,1
8,25,42,1,0,1,1
8,1,47,1,0,1,1
8,3,52,1,0,1,1
8,48,24,0,0,0,1
8,13,12,0,1,0,0
8,29,53,0,1,1,0
8,7,28,1,1,1,0
8,6,43,0,0,1,0
8,45,33,0,0,0,0
8,38,26,1,1,0,0
8,46,31,0,0,0,1
9,8,16,1,0,1,1
9,37,19,0,1,0,0
9,35,30,0,0,0,0
9,34,44,1,0,1,0
9,22,27,1,0,1,0
9,10,5,1,1,0,1
9,15,23,1,1,1,0
9,49,50,0,1,1,0
9,9,21,1,1,1,0
9,2,20,1,1,1,1
9,36,51,1,0,1,1
9,32,39,1,0,1,1
9,18,4,0,1,0,0
9,41,11,0,1,0,1
9,17,40,1,1,1,0
9,25,42,1,0,1,1
9,1,47,1,0,1,1
9,3,52,1,0,1,1
9,48,24,0,1,0,0
9,13,12,0,1,0,0
9,29,53,0,1,1,0
9,7,28,1,1,1,1
9,6,43,1,1,1,0
9,45,33,0,0,0,1
9,38,26,0,1,0,0
9,46,31,0,1,0,0
10,8,16,1,0,1,1
10,37,19,1,0,0,0
10,35,30,0,0,0,0
10,34,44,0,0,1,0
10,22,27,0,0,1,1
10,10,5,1,1,0,1
10,15,23,1,0,1,1
10,49,50,0,0,1,0
10,9,21,0,0,1,1
10,2,20,1,1,1,1
10,36,51,0,0,1,1
10,32,39,1,0,1,1
10,18,4,0,1,0,0
10,41,11,0,1,0,0
10,17,40,1,0,1,1
10,25,42,1,0,1,1
10,1,47,1,0,1,1
10,3,52,1,0,1,1
10,48,24,0,1,0,0
10,13,12,0,1,0,0
10,29,53,0,1,1,0
10,7,28,1,1,1,1
10,6,43,1,0,1,1
10,45,33,0,1,0,0
10,38,26,0,1,0,0
10,46,31,0,0,0,1
11,46,23,1,0,0,1
11,51,2,0,1,0,0
11,12,25,1,1,1,1
11,29,24,1,1,0,0
11,20,19,1,1,0,0
11,34,35,0,1,1,0
11,41,9,0,1,0,0
11,37,17,0,1,0,0
11,21,27,0,0,1,1
11,36,38,1,1,1,1
11,31,3,1,1,0,0
11,45,13,1,1,0,1
11,10,1,1,1,0,1
11,22,28,1,1,1,1
11,26,33,1,1,1,0
11,30,14,1,1,0,0
11,43,49,1,0,1,1
11,11,50,1,1,1,0
11,44,47,0,0,1,1
11,53,8,1,1,0,0
11,42,40,0,0,0,1
11,15,39,1,0,1,1
11,48,6,1,1,0,1
11,5,16,1,1,1,1
11,52,32,1,1,0,0
11,4,7,1,1,1,1
12,46,23,0,0,0,1
12,51,2,0,1,0,0
12,12,25,1,1,1,1
12,29,24,0,1,0,0
12,20,19,1,1,0,1
12,34,35,0,0,1,0
12,41,9,0,1,0,0
12,37,17,0,1,0,0
12,21,27,0,0,1,0
12,36,38,1,0,1,1
12,31,3,1,1,0,0
12,45,13,0,0,0,1
12,10,1,1,1,0,1
12,22,28,0,1,1,0
12,26,33,1,1,1,1
12,30,14,0,0,0,0
12,43,49,1,0,1,1
12,11,50,1,1,1,1
12,44,47,1,0,1,1
12,53,8,1,1,0,0
12,42,40,0,0,0,0
12,15,39,1,0,1,1
12,48,6,0,1,0,0
12,5,16,1,0,1,1
12,52,32,0,0,0,0
12,4,7,1,1,1,1
13,15,21,1,1,1,0
13,8,40,1,0,1,1
13,47,36,1,0,0,0
13,2,6,1,1,1,1
13,25,31,1,0,1,1
13,45,50,0,0,1,0
13,16,23,1,0,1,1
13,17,1,1,1,0,0
13,24,35,0,0,1,0
13,38,33,0,0,0,1
13,27,10,1,1,0,0
13,4,18,0,0,1,1
13,20,3,1,1,0,0
13,29,44,0,0,1,1
13,13,14,0,0,1,1
13,32,48,0,0,1,0
13,51,42,0,0,0,1
13,49,9,0,0,0,0
13,26,22,0,0,0,0
13,11,37,0,0,1,1
13,39,28,0,0,0,0
13,52,12,0,0,0,1
13,7,30,1,0,1,0
13,19,46,1,0,1,1
13,34,53,0,1,1,0
13,41,5,0,1,0,0
14,15,21,1,0,1,0
14,8,40,0,0,1,1
14,47,36,0,1,0,0
14,2,6,1,1,1,0
14,25,31,1,0,1,1
14,45,50,0,0,1,1
14,16,23,0,0,1,1
14,17,1,1,1,0,1
14,24,35,0,0,1,1
14,38,33,1,0,0,0
14,27,10,0,1,0,0
14,4,18,1,0,1,1
14,20,3,1,1,0,0
14,29,44,0,0,1,1
14,13,14,0,0,1,0
14,32,48,1,0,1,1
14,51,42,0,0,0,1
14,49,9,0,1,0,0
14,26,22,1,0,0,1
14,11,37,0,0,1,0
14,39,28,0,1,0,0
14,52,12,0,1,0,0
14,7,30,1,0,1,1
14,19,46,0,0,1,0
14,34,53,0,1,1,1
14,41,5,0,1,0,0
15,15,21,1,1,1,0
15,8,40,1,0,1,1
15,47,36,0,1,0,0
15,2,6,1,1,1,1
15,25,31,1,1,1,1
15,45,50,0,0,1,0
15,16,23,0,1,1,0
15,17,1,1,1,0,0
15,24,35,1,1,1,0
15,38,33,1,1,0,0
15,27,10,1,1,0,0
15,4,18,1,0,1,1
15,20,3,1,1,0,1
15,29,44,0,1,1,0
15,13,14,0,1,1,0
15,32,48,1,0,1,1
15,51,42,0,0,0,1
15,49,9,0,1,0,0
15,26,22,1,0,0,1
15,11,37,1,0,1,1
15,39,28,0,1,0,0
15,52,12,1,1,0,0
15,7,30,1,0,1,1
15,19,46,1,1,1,0
15,34,53,1,1,1,1
15,41,5,0,1,0,0
16,15,21,1,1,1,1
16,8,40,1,0,1,1
16,47,36,0,1,0,0
16,2,6,1,0,1,1
16,25,31,1,0,1,1
16,45,50,0,0,1,1
16,16,23,0,1,1,0
16,17,1,1,1,0,0
16,24,35,0,0,1,0
16,38,33,0,0,0,0
16,27,10,1,1,0,0
16,4,18,1,0,1,1
16,20,3,0,1,0,0
16,29,44,0,1,1,0
16,13,14,0,1,1,0
16,32,48,1,0,1,1
16,51,42,0,0,0,1
16,49,9,1,1,0,0
16,26,22,1,1,0,0
16,11,37,1,0,1,1
16,39,28,0,1,0,0
16,52,12,0,1,0,0
16,7,30,1,1,1,1
16,19,46,0,0,1,0
16,34,53,0,1,1,0
16,41,5,0,1,0,0
17,15,21,0,1,1,0
17,8,40,0,0,1,1
17,47,36,0,1,0,0
17,2,6,0,1,1,0
17,25,31,0,0,1,1
17,45,50,0,0,1,1
17,16,23,0,0,1,1
17,17,1,0,0,0,1
17,24,35,0,0,1,1
17,38,33,0,0,0,1
17,27,10,1,0,0,1
17,4,18,1,0,1,1
17,20,3,1,0,0,1
17,29,44,1,0,1,1
17,13,14,1,1,1,1
17,32,48,1,0,1,0
17,51,42,1,1,0,0
17,49,9,0,1,0,0
17,26,22,1,1,0,1
17,11,37,1,1,1,0
17,39,28,0,1,0,1
17,52,12,0,1,0,1
17,7,30,0,1,1,0
17,19,46,0,1,1,0
17,34,53,1,0,1,1
17,41,5,1,0,0,0
18,15,21,1,0,1,1
18,8,40,1,0,1,1
18,47,36,0,1,0,0
18,2,6,1,1,1,1
18,25,31,1,1,1,1
18,45,50,0,0,1,0
18,16,23,0,0,1,1
18,17,1,1,1,0,0
18,24,35,1,0,1,1
18,38,33,1,0,0,1
18,27,10,0,1,0,0
18,4,18,1,0,1,1
18,20,3,0,1,0,0
18,29,44,0,0,1,0
18,13,14,0,0,1,0
18,32,48,1,0,1,1
18,51,42,0,0,0,1
18,49,9,0,0,0,0
18,26,22,1,0,0,1
18,11,37,1,0,1,1
18,39,28,0,1,0,0
18,52,12,0,1,0,0
18,7,30,1,0,1,1
18,19,46,1,0,1,1
18,34,53,0,1,1,0
18,41,5,0,1,0,0
19,15,21,0,1,1,0
19,8,40,1,0,1,1
19,47,36,0,1,0,0
19,2,6,1,1,1,1
19,25,31,0,0,1,1
19,45,50,0,0,1,0
19,16,23,0,0,1,0
19,17,1,0,1,0,0
19,24,35,0,0,1,1
19,38,33,0,0,0,1
19,27,10,0,1,0,0
19,4,18,1,0,1,1
19,20,3,0,1,0,0
19,29,44,0,0,1,0
19,13,14,0,0,1,0
19,32,48,0,0,1,1
19,51,42,0,0,0,0
19,49,9,0,0,0,0
19,26,22,0,0,0,0
19,11,37,0,0,1,1
19,39,28,0,1,0,0
19,52,12,0,1,0,0
19,7,30,1,0,1,1
19,19,46,1,0,1,1
19,34,53,0,1,1,0
19,41,5,0,1,0,0
20,15,21,1,0,1,1
20,8,40,0,0,1,0
20,47,36,0,0,0,0
20,2,6,0,1,1,0
20,25,31,0,0,1,1
20,45,50,0,0,1,1
20,16,23,0,0,1,1
20,17,1,1,0,0,1
20,24,35,0,0,1,1
20,38,33,0,0,0,1
20,27,10,0,1,0,0
20,4,18,1,0,1,1
20,20,3,0,1,0,0
20,29,44,0,0,1,0
20,13,14,0,0,1,0
20,32,48,0,0,1,1
20,51,42,0,0,0,0
20,49,9,0,0,0,0
20,26,22,0,0,0,0
20,11,37,0,0,1,1
20,39,28,0,0,0,1
20,52,12,0,0,0,0
20,7,30,0,0,1,0
20,19,46,0,0,1,1
20,34,53,0,0,1,0
20,41,5,1,1,0,0
21,15,21,1,0,1,1
21,8,40,1,0,1,1
21,47,36,0,1,0,0
21,2,6,1,1,1,0
21,25,31,1,0,1,1
21,45,50,0,1,1,0
21,16,23,0,1,1,0
21,17,1,1,1,0,0
21,24,35,1,1,1,0
21,38,33,0,0,0,1
21,27,10,0,1,0,0
21,4,18,1,0,1,1
21,20,3,0,1,0,0
21,29,44,0,0,1,0
21,13,14,0,1,1,0
21,32,48,1,0,1,1
21,51,42,0,0,0,0
21,49,9,0,1,0,0
21,26,22,1,0,0,1
21,11,37,1,0,1,1
21,39,28,0,0,0,1
21,52,12,0,1,0,0
21,7,30,1,1,1,1
21,19,46,0,0,1,0
21,34,53,0,0,1,0
21,41,5,0,1,0,0
22,15,21,0,0,1,0
22,8,40,0,1,1,0
22,47,36,0,0,0,1
22,2,6,0,0,1,0
22,25,31,0,0,1,1
22,45,50,0,0,1,1
22,16,23,0,0,1,1
22,17,1,1,1,0,0
22,24,35,0,1,1,0
22,38,33,0,0,0,0
22,27,10,0,0,0,1
22,4,18,1,0,1,0
22,20,3,0,0,0,0
22,29,44,0,0,1,1
22,13,14,0,0,1,1
22,32,48,0,0,1,0
22,51,42,0,0,0,0
22,49,9,0,0,0,1
22,26,22,0,1,0,1
22,11,37,1,0,1,1
22,39,28,0,0,0,1
22,52,12,0,0,0,0
22,7,30,0,0,1,1
22,19,46,0,1,1,0
22,34,53,0,0,1,0
22,41,5,0,1,0,0
23,15,21,1,0,1,1
23,8,40,1,0,1,1
23,47,36,0,1,0,1
23,2,6,1,1,1,1
23,25,31,1,0,1,1
23,45,50,0,0,1,0
23,16,23,0,0,1,1
23,17,1,1,1,0,0
23,24,35,1,0,1,1
23,38,33,0,0,0,1
23,27,10,1,1,0,1
23,4,18,1,0,1,0
23,20,3,0,1,0,0
23,29,44,0,0,1,1
23,13,14,0,0,1,1
23,32,48,1,0,1,1
23,51,42,0,0,0,0
23,49,9,0,0,0,0
23,26,22,0,0,0,0
23,11,37,1,0,1,1
23,39,28,0,0,0,0
23,52,12,0,1,0,0
23,7,30,0,0,1,1
23,19,46,0,0,1,1
23,34,53,1,0,1,1
23,41,5,0,1,0,1
24,15,21,1,0,1,1
24,8,40,0,0,1,1
24,47,36,0,1,0,0
24,2,6,1,0,1,1
24,25,31,1,0,1,1
24,45,50,0,0,1,1
24,16,23,0,0,1,0
24,17,1,0,0,0,0
24,24,35,0,0,1,1
24,38,33,0,0,0,0
24,27,10,0,0,0,1
24,4,18,1,0,1,1
24,20,3,0,0,0,0
24,29,44,0,0,1,1
24,13,14,0,1,1,0
24,32,48,1,0,1,1
24,51,42,0,0,0,0
24,49,9,0,0,0,0
24,26,22,1,0,0,1
24,11,37,1,0,1,1
24,39,28,0,1,0,0
24,52,12,0,1,0,0
24,7,30,0,0,1,0
24,19,46,1,0,1,1
24,34,53,0,0,1,0
24,41,5,1,1,0,0
25,10,19,0,0,1,1
25,41,28,0,0,0,0
25,20,17,0,0,0,0
25,37,33,0,0,0,0
25,51,34,0,0,0,0
25,9,18,0,0,1,1
25,48,27,0,0,0,1
25,25,7,0,0,0,0
25,4,15,0,0,1,0
25,38,32,0,1,0,0
25,35,3,0,1,0,0
25,1,39,0,0,1,1
25,40,6,0,0,0,1
25,49,47,0,0,0,0
25,50,46,0,0,0,1
25,5,14,1,0,1,1
25,42,13,0,0,0,0
25,21,11,0,0,0,1
25,23,16,0,0,0,0
25,31,29,0,0,0,1
25,2,52,0,0,1,1
25,45,24,0,0,0,1
25,12,36,0,1,1,0
25,44,30,0,0,0,1
25,22,43,0,0,1,1
25,26,8,1,0,0,1
26,10,19,1,0,1,1
26,41,28,0,1,0,0
26,20,17,0,1,0,0
26,37,33,0,0,0,0
26,51,34,0,1,0,0
26,9,18,1,0,1,1
26,48,27,0,0,0,0
26,25,7,1,0,0,1
26,4,15,1,0,1,1
26,38,32,0,1,0,0
26,35,3,0,1,0,0
26,1,39,1,0,1,1
26,40,6,0,1,0,0
26,49,47,0,0,0,1
26,50,46,0,0,0,1
26,5,14,1,1,1,1
26,42,13,0,0,0,0
26,21,11,1,0,0,1
26,23,16,0,0,0,1
26,31,29,0,0,0,0
26,2,52,1,0,1,1
26,45,24,0,1,0,0
26,12,36,1,1,1,0
26,44,30,0,0,0,0
26,22,43,0,0,1,1
26,26,8,1,0,0,1
27,10,19,1,0,1,1
27,41,28,0,1,0,0
27,20,17,1,0,0,1
27,37,33,0,0,0,0
27,51,34,0,0,0,0
27,9,18,1,0,1,1
27,48,27,1,0,0,1
27,25,7,1,0,0,1
27,4,15,1,1,1,1
27,38,32,0,1,0,0
27,35,3,0,1,0,1
27,1,39,1,0,1,1
27,40,6,0,1,0,0
27,49,47,0,0,0,1
27,50,46,0,1,0,0
27,5,14,0,1,1,1
27,42,13,0,0,0,1
27,21,11,0,0,0,1
27,23,16,0,0,0,1
27,31,29,0,0,0,1
27,2,52,1,0,1,1
27,45,24,0,0,0,1
27,12,36,0,1,1,0
27,44,30,0,0,0,1
27,22,43,0,0,1,1
27,26,8,0,0,0,1
28,10,19,1,0,1,1
28,41,28,0,1,0,0
28,20,17,1,1,0,0
28,37,33,0,0,0,0
28,51,34,0,0,0,1
28,9,18,1,0,1,1
28,48,27,0,1,0,0
28,25,7,1,1,0,1
28,4,15,1,1,1,1
28,38,32,0,0,0,1
28,35,3,0,1,0,0
28,1,39,1,0,1,1
28,40,6,0,1,0,0
28,49,47,0,0,0,0
28,50,46,0,0,0,0
28,5,14,1,1,1,1
28,42,13,0,0,0,1
28,21,11,1,1,0,0
28,23,16,0,0,0,0
28,31,29,0,0,0,1
28,2,52,1,0,1,1
28,45,24,0,0,0,0
28,12,36,0,1,1,0
28,44,30,0,0,0,1
28,22,43,0,0,1,1
28,26,8,0,0,0,1
29,10,19,0,0,1,0
29,41,28,0,0,0,0
29,20,17,0,0,0,0
29,37,33,0,0,0,1
29,51,34,0,1,0,0
29,9,18,0,0,1,0
29,48,27,0,0,0,1
29,25,7,0,0,0,1
29,4,15,0,0,1,1
29,38,32,0,0,0,1
29,35,3,0,0,0,0
29,1,39,0,0,1,1
29,40,6,0,0,0,0
29,49,47,0,0,0,1
29,50,46,0,0,0,0
29,5,14,1,0,1,1
29,42,13,0,0,0,0
29,21,11,0,1,0,1
29,23,16,0,0,0,0
29,31,29,0,0,0,0
29,2,52,0,0,1,0
29,45,24,0,0,0,0
29,12,36,0,0,1,1
29,44,30,0,0,0,0
29,22,43,0,0,1,1
29,26,8,0,0,0,0
30,10,19,1,0,1,1
30,41,28,0,0,0,0
30,20,17,0,1,0,0
30,37,33,0,0,0,0
30,51,34,0,0,0,1
30,9,18,0,0,1,1
30,48,27,0,0,0,0
30,25,7,0,0,0,0
30,4,15,1,1,1,1
30,38,32,0,1,0,0
30,35,3,0,1,0,0
30,1,39,0,1,1,0
30,40,6,0,1,0,0
30,49,47,0,0,0,1
30,50,46,0,0,0,0
30,5,14,1,0,1,1
30,42,13,0,0,0,0
30,21,11,0,0,0,1
30,23,16,0,0,0,1
30,31,29,0,0,0,0
30,2,52,1,0,1,1
30,45,24,0,0,0,0
30,12,36,0,0,1,0
30,44,30,0,0,0,0
30,22,43,0,0,1,1
30,26,8,0,1,0,0
31,10,19,0,0,1,1
31,41,28,1,0,0,0
31,20,17,0,0,0,1
31,37,33,0,0,0,1
31,51,34,0,0,0,1
31,9,18,0,0,1,1
31,48,27,0,0,0,0
31,25,7,0,0,0,1
31,4,15,1,1,1,1
31,38,32,0,0,0,0
31,35,3,0,1,0,0
31,1,39,0,0,1,1
31,40,6,0,1,0,1
31,49,47,0,0,0,1
31,50,46,0,0,0,0
31,5,14,1,1,1,1
31,42,13,0,1,0,0
31,21,11,0,1,0,0
31,23,16,0,0,0,1
31,31,29,0,0,0,1
31,2,52,1,0,1,0
31,45,24,0,0,0,0
31,12,36,0,1,1,0
31,44,30,0,0,0,1
31,22,43,0,0,1,1
31,26,8,0,1,0,0
32,10,19,1,1,1,1
32,41,28,0,1,0,0
32,20,17,1,1,0,0
32,37,33,0,1,0,0
32,51,34,0,1,0,0
32,9,18,1,0,1,1
32,48,27,0,0,0,0
32,25,7,1,1,0,1
32,4,15,1,1,1,1
32,38,32,0,1,0,0
32,35,3,0,1,0,0
32,1,39,1,0,1,1
32,40,6,0,1,0,0
32,49,47,0,0,0,0
32,50,46,0,0,0,1
32,5,14,1,1,1,1
32,42,13,0,0,0,0
32,21,11,1,0,0,1
32,23,16,0,0,0,1
32,31,29,0,0,0,1
32,2,52,1,0,1,1
32,45,24,0,0,0,0
32,12,36,1,1,1,1
32,44,30,0,0,0,1
32,22,43,1,1,1,0
32,26,8,1,1,0,0
33,10,19,1,0,1,1
33,41,28,0,0,0,1
33,20,17,1,0,0,0
33,37,33,0,0,0,0
33,51,34,0,0,0,1
33,9,18,1,0,1,1
33,48,27,0,1,0,1
33,25,7,1,1,0,0
33,4,15,1,1,1,0
33,38,32,0,0,0,1
33,35,3,0,1,0,0
33,1,39,1,0,1,1
33,40,6,0,1,0,0
33,49,47,0,0,0,1
33,50,46,0,0,0,1
33,5,14,1,0,1,1
33,42,13,0,0,0,1
33,21,11,0,1,0,0
33,23,16,0,0,0,0
33,31,29,0,0,0,0
33,2,52,1,0,1,1
33,45,24,0,0,0,0
33,12,36,1,1,1,1
33,44,30,0,0,0,1
33,22,43,0,0,1,1
33,26,8,0,0,0,0
34,10,19,1,1,1,1
34,41,28,0,0,0,0
34,20,17,1,1,0,1
34,37,33,0,1,0,0
34,51,34,0,1,0,0
34,9,18,1,0,1,1
34,48,27,0,0,0,0
34,25,7,1,1,0,1
34,4,15,1,1,1,1
34,38,32,1,1,0,0
34,35,3,0,1,0,0
34,1,39,1,0,1,1
34,40,6,0,0,0,0
34,49,47,0,0,0,1
34,50,46,0,0,0,0
34,5,14,1,0,1,1
34,42,13,0,0,0,1
34,21,11,0,1,0,1
34,23,16,0,0,0,1
34,31,29,0,0,0,1
34,2,52,1,0,1,0
34,45,24,0,0,0,0
34,12,36,1,1,1,1
34,44,30,1,0,0,1
34,22,43,0,1,1,0
34,26,8,1,1,0,0
35,10,19,1,1,1,1
35,41,28,0,1,0,0
35,20,17,1,1,0,0
35,37,33,0,1,0,0
35,51,34,0,1,0,0
35,9,18,1,0,1,1
35,48,27,0,1,0,0
35,25,7,1,1,0,0
35,4,15,1,1,1,1
35,38,32,1,1,0,0
35,35,3,0,1,0,0
35,1,39,1,0,1,1
35,40,6,0,1,0,0
35,49,47,0,0,0,0
35,50,46,0,0,0,1
35,5,14,1,1,1,1
35,42,13,0,0,0,0
35,21,11,0,1,0,0
35,23,16,1,0,0,1
35,31,29,0,0,0,0
35,2,52,1,0,1,1
35,45,24,0,1,0,0
35,12,36,1,1,1,1
35,44,30,0,0,0,0
35,22,43,0,1,1,0
35,26,8,1,1,0,0
36,10,19,1,1,1,1
36,41,28,0,1,0,0
36,20,17,0,0,0,0
36,37,33,0,0,0,0
36,51,34,0,0,0,1
36,9,18,0,0,1,1
36,48,27,0,0,0,0
36,25,7,0,0,0,1
36,4,15,1,1,1,1
36,38,32,0,0,0,0
36,35,3,0,1,0,0
36,1,39,0,0,1,1
36,40,6,0,1,0,0
36,49,47,0,0,0,0
36,50,46,0,0,0,0
36,5,14,1,0,1,1
36,42,13,0,0,0,1
36,21,11,0,0,0,0
36,23,16,1,0,0,1
36,31,29,0,0,0,0
36,2,52,1,0,1,1
36,45,24,0,0,0,0
36,12,36,1,1,1,1
36,44,30,0,0,0,1
36,22,43,0,0,1,1
36,26,8,0,0,0,0
37,9,1,1,1,0,0
37,32,16,1,0,0,1
37,18,37,0,0,1,0
37,40,39,0,0,0,1
37,26,27,1,0,1,1
37,19,28,1,0,1,1
37,2,14,1,0,1,1
37,31,10,1,1,0,0
37,45,11,0,0,0,0
37,5,49,1,1,1,1
37,43,24,1,0,0,1
37,46,12,0,1,0,0
37,4,17,1,1,1,1
37,30,20,0,1,0,1
37,34,15,0,1,0,1
37,53,51,0,0,0,0
37,29,50,0,0,1,0
37,36,33,1,1,0,1
37,21,38,0,1,1,0
37,3,52,1,0,1,1
37,42,6,0,1,0,0
37,23,44,0,0,1,0
37,8,7,0,1,0,0
37,25,41,1,0,1,1
37,22,48,0,0,1,1
37,47,13,0,0,0,0
38,9,1,1,1,0,1
38,32,16,1,0,0,0
38,18,37,1,1,1,1
38,40,39,1,0,0,1
38,26,27,0,1,1,1
38,19,28,0,0,1,1
38,2,14,0,1,1,0
38,31,10,1,0,0,0
38,45,11,1,1,0,0
38,5,49,0,1,1,0
38,43,24,0,0,0,0
38,46,12,0,0,0,1
38,4,17,1,0,1,0
38,30,20,0,1,0,1
38,34,15,0,1,0,0
38,53,51,1,1,0,1
38,29,50,0,1,1,0
38,36,33,1,1,0,1
38,21,38,0,1,1,0
38,3,52,1,0,1,1
38,42,6,1,0,0,1
38,23,44,1,0,1,1
38,8,7,1,0,0,1
38,25,41,1,0,1,0
38,22,48,0,0,1,0
38,47,13,0,0,0,1
39,9,1,1,1,0,0
39,32,16,1,0,0,1
39,18,37,0,0,1,0
39,40,39,0,0,0,1
39,26,27,1,0,1,1
39,19,28,0,1,1,0
39,2,14,1,0,1,1
