episode,round,P1,E1,P2,E2,P3,E3,P4,E4,truth
4683,2.0,5,400,4,1700,1,1800,2,1201,800
4683,3.0,6,350,4,800,1,725,2,401,3159
4683,4.0,7,625,1,1700,2,1395,6,700,950
4683,5.0,8,1500,7,2350,1,1000,2,2400,1301
4683,6.0,9,1500,2,1200,8,2200,7,2201,1599
4684,1.0,1,700,2,1100,3,950,4,1700,3410
4684,2.0,5,1625,1,750,2,2500,3,751,789
4684,3.0,6,2800,5,2420,1,1200,2,3000,1350
4684,4.0,7,3500,2,5500,6,2900,5,1,1575
4684,5.0,8,1295,7,1100,2,1500,6,1700,1259
4684,6.0,9,1000,2,2000,6,3000,8,1400,1099
4685,1.0,1,1299,2,850,3,975,4,981,1799
4685,2.0,5,750,2,751,3,1800,4,1801,1100
4685,3.0,6,975,3,2500,4,1955,5,1956,3555
4685,4.0,7,350,4,550,5,750,6,600,749
4685,5.0,8,640,7,500,4,550,5,651,610
4685,6.0,9,500,5,800,8,875,7,900,1062
4691,1.0,1,1400,2,895,3,1700,4,1301,2405
4691,2.0,5,700,4,1000,1,1300,2,1,1220
4691,3.0,6,597,1,550,2,599,5,600,700
4691,4.0,7,650,6,895,1,800,2,896,3648
4691,5.0,8,650,7,1295,6,899,1,1296,1885
4691,6.0,9,550,8,900,7,950,6,951,1599
4692,1.0,1,700,2,799,3,1000,4,520,1918
4692,2.0,5,2000,4,750,1,1875,2,1299,899
4692,3.0,6,150,1,725,2,450,5,500,900
4692,4.0,7,1000,2,1100,5,950,6,2500,2655
4692,5.0,8,1250,7,1000,2,799,5,900,1875
4692,6.0,9,1300,7,800,2,300,5,275,2099
4693,1.0,1,800,2,3000,3,700,4,1100,899
4693,2.0,5,875,2,450,3,550,4,899,834
4693,3.0,6,550,4,666,5,732,2,1,493
4693,4.0,7,700,6,875,4,650,5,900,840
4693,5.0,8,550,6,450,4,600,5,330,834
4693,6.0,9,399,5,810,8,1000,6,1001,839
4694,1.0,1,6000,2,8000,3,3200,4,2400,2499
4694,2.0,5,499,1,600,2,550,3,601,1647
4694,3.0,6,800,5,1000,1,1200,2,712,2400
4694,4.0,7,600,2,800,6,1200,5,1250,849
4694,5.0,8,2800,6,1500,5,2300,7,1600,1699
4694,6.0,9,1100,8,2250,6,1800,5,2300,2000
4695,1.0,1,1000,2,1400,3,750,4,1100,3485
4695,2.0,5,2500,3,2200,4,2000,1,2001,2099
4695,3.0,6,420,5,599,3,600,4,601,575
4695,4.0,7,1200,5,1300,3,900,4,750,1140
4695,5.0,8,1449,4,500,7,799,5,802,810
4695,6.0,9,800,8,1300,4,1400,7,1401,1373
4701,1.0,1,899,2,1320,3,1650,4,1,1499
4701,2.0,5,1200,3,1700,4,1100,1,1,1995
4701,3.0,6,7000,4,4000,1,599,5,1500,1359
4701,4.0,7,1200,5,1250,6,1000,4,1500,2330
4701,5.0,8,1200,7,799,5,750,6,500,2000
4701,6.0,9,800,7,1200,5,1300,6,900,2493
4702,1.0,1,675,2,751,3,800,4,801,3750
4702,2.0,5,1422,1,975,2,1203,3,1450,1599
4702,3.0,6,700,5,720,1,725,2,726,1000
4702,4.0,7,600,6,300,5,601,1,1,833
4702,5.0,8,500,1,750,7,751,6,752,799
4702,6.0,9,1150,8,1000,1,1250,7,1251,1100
4703,1.0,1,900,2,1199,3,250,4,1,896
4703,2.0,5,2000,4,2200,1,2300,2,2301,2998
4703,3.0,6,750,5,850,4,1250,1,1251,1199
4703,4.0,7,1200,4,2600,1,2300,6,1700,3695
4703,5.0,8,895,1,1350,6,550,7,1800,2176
4703,6.0,9,475,8,1400,1,600,6,1401,700
4704,1.0,1,700,2,1800,3,1234,4,1299,1544
4704,2.0,5,950,1,850,2,1100,3,1101,1052
4704,3.0,6,1333,1,950,2,800,3,1400,1199
4704,4.0,7,1380,2,1200,3,1000,6,1225,1130
4704,5.0,8,2495,6,1300,7,1301,2,1200,allOverbid
4704,5.1,8,800,6,862,7,863,2,864,allOverbid
4704,5.2,8,725,6,580,7,581,2,600,695
4704,6.0,9,1400,8,1401,6,1300,7,1,1772
4705,1.0,1,1100,2,1375,3,700,4,1,1378
4705,2.0,5,780,3,950,4,1,1,2,795
4705,3.0,6,325,3,326,4,420,1,299,1004
4705,4.0,7,475,1,500,6,625,3,420,624
4705,5.0,8,8000,6,1222,3,1800,7,1180,1703
4705,6.0,9,4000,3,2300,7,2350,8,1,2495
4711,1.0,1,250,2,845,3,375,4,875,1169
4711,2.0,5,725,1,375,2,760,3,800,1011
4711,3.0,6,1250,5,955,1,1000,2,1255,allOverbid
4711,3.1,6,750,5,865,1,675,2,880,746
4711,4.0,7,1250,2,1700,6,720,5,1200,795
4711,5.0,8,1000,5,600,7,800,2,1100,628
4711,6.0,9,450,7,950,2,1025,8,775,1350
4712,1.0,1,1999,2,1250,3,1000,4,1500,1499
4712,2.0,5,1300,3,1500,4,1600,1,1,855
4712,3.0,6,1500,5,2200,3,2500,4,2300,1699
4712,4.0,7,355,5,300,3,500,4,550,1139
4712,5.0,8,850,7,2200,5,2105,3,1000,1100
4712,6.0,9,750,8,325,7,350,5,205,558
4713,1.0,1,1200,2,1699,3,1700,4,1000,2793
4713,2.0,5,2000,4,2800,1,1050,2,1200,2395
4713,3.0,6,1800,4,1000,1,1600,2,1801,allOverbid
4713,3.1,6,799,4,850,1,1,2,851,899
4713,4.0,7,599,6,2000,4,980,1,1200,1099
4713,5.0,8,650,1,500,7,450,6,651,500
4713,6.0,9,600,7,740,6,800,8,801,878
4714,1.0,1,999,2,2000,3,2100,4,1200,3576
4714,2.0,5,1200,4,1500,1,499,2,6000,2080
4714,3.0,6,800,1,3000,2,1800,5,2100,2195
4714,4.0,7,740,6,1200,1,1500,2,550,1999
4714,5.0,8,700,6,1900,1,1500,2,1501,1100
4714,6.0,9,1000,6,595,1,1150,2,1250,1698
4715,1.0,1,554,2,2500,3,1800,4,1595,2195
4715,2.0,5,1600,4,3200,1,1300,2,3400,2330
4715,3.0,6,1236,4,550,1,700,2,1100,640
4715,4.0,7,895,1,2300,2,2000,6,1475,1599
4715,5.0,8,1200,7,550,1,900,2,800,600
4715,6.0,9,795,1,450,2,1000,8,1001,770
4721,1.0,1,250,2,359,3,469,4,570,1550
4721,2.0,5,800,1,1900,2,850,3,1125,995
4721,3.0,6,1400,3,1325,5,1500,1,1000,1250
4721,4.0,7,1699,6,850,3,1500,5,1000,1999
4721,5.0,8,1200,6,1350,3,1780,5,1,1700
4721,6.0,9,6000,3,1500,5,2200,8,1200,2268
4722,1.0,1,1500,2,2500,3,1550,4,1,3260
4722,2.0,5,1900,3,1100,4,3000,1,3001,1799
4722,3.0,6,800,4,1400,1,1200,5,650,1647
4722,4.0,7,1700,1,2000,5,1300,6,2001,allOverbid
4722,4.1,7,1200,1,700,5,850,6,1201,840
4722,5.0,8,1000,5,2000,6,1300,7,1500,1658
4722,6.0,9,2500,8,1200,5,941,6,1,800
4723,1.0,1,650,2,675,3,1100,4,1,960
4723,2.0,5,1462,3,925,4,499,1,1401,1902
4723,3.0,6,1499,3,1100,4,799,1,1,811
4723,4.0,7,1800,1,2000,6,2500,3,1,1000
4723,5.0,8,600,7,900,1,1150,6,601,663
4723,6.0,9,2250,8,1600,7,1701,1,1,1299
4724,1.0,1,1200,2,700,3,701,4,1,1590
4724,2.0,5,1480,2,1100,3,1101,4,1,925
4724,3.0,6,1575,5,1790,2,1890,3,1895,1599
4724,4.0,7,900,5,800,2,1250,3,1,929
4724,5.0,8,650,5,900,2,1,3,651,500
4724,6.0,9,900,3,699,8,700,5,1,1199
4725,1.0,1,800,2,650,3,1400,4,850,978
4725,2.0,5,750,1,1,2,600,3,400,900
4725,3.0,6,1000,1,1100,2,800,3,1101,999
4725,4.0,7,7500,3,800,6,1199,1,801,999
4725,5.0,8,1500,7,2200,3,2300,6,2301,1700
4725,6.0,9,1200,7,1800,3,2100,6,2101,1899
4731,1.0,1,350,2,1200,3,1100,4,750,1250
4731,2.0,5,350,3,750,4,1100,1,800,570
4731,3.0,6,575,3,900,4,1050,1,1,1048
4731,4.0,7,1200,4,850,1,575,6,1250,1999
4731,5.0,8,2500,7,2600,4,675,1,2000,960
4731,6.0,9,866,1,1500,8,1200,7,2000,1390
4732,1.0,1,1500,2,1505,3,1600,4,1601,2330
4732,2.0,5,895,1,2000,2,2001,3,2002,1449
4732,3.0,6,600,1,2800,2,900,3,901,1299
4732,4.0,7,1700,6,2200,1,2500,2,2501,3030
4732,5.0,8,1600,7,1900,6,2600,1,2700,2928
4732,6.0,9,400,8,1100,7,1600,6,1400,2209
4733,1.0,1,1600,2,1695,3,1100,4,1,1799
4733,2.0,5,1500,3,1800,4,900,1,1801,2000
4733,3.0,6,1200,5,2500,3,1800,4,800,1198
4733,4.0,7,299,6,325,5,550,3,195,1286
4733,5.0,8,1500,3,1700,7,2100,6,2200,allOverbid
4733,5.1,8,1074,3,1,7,1399,6,1425,1399
4733,6.0,9,675,6,695,8,599,3,200,699
4734,1.0,1,2500,2,2550,3,1650,4,2551,3695
4734,2.0,5,1400,1,1500,2,2000,3,1,899
4734,3.0,6,2900,5,600,1,1100,2,1500,1685
4734,4.0,7,800,6,801,5,701,1,802,940
4734,5.0,8,1245,7,1400,6,1100,5,1401,1137
4734,6.0,9,795,5,801,8,900,7,975,950
