participant,game,trial,choice,reward,rewardRateChosen
1,9,13,3,1,0.7376
1,9,14,3,0,0.7376
1,9,15,3,1,0.7376
1,10,1,1,1,0.6305
1,10,2,1,1,0.6305
1,10,3,1,0,0.6305
1,10,4,2,0,0.5876
1,10,5,3,1,0.5516
1,10,6,3,0,0.5516
1,10,7,3,0,0.5516
1,10,8,4,0,0.4627
1,10,9,4,0,0.4627
1,10,10,1,1,0.6305
1,10,11,1,1,0.6305
1,10,12,1,0,0.6305
1,10,13,2,0,0.5876
1,10,14,3,1,0.5516
1,10,15,3,0,0.5516
1,11,1,1,0,0.4748
1,11,2,2,0,0.2503
1,11,3,3,1,0.2288
1,11,4,4,0,0.7858
1,11,5,3,1,0.2288
1,11,6,3,1,0.2288
1,11,7,3,1,0.2288
1,11,8,3,1,0.2288
1,11,9,3,1,0.2288
1,11,10,3,1,0.2288
1,11,11,3,1,0.2288
1,11,12,3,1,0.2288
1,11,13,3,1,0.2288
1,11,14,3,1,0.2288
1,11,15,3,1,0.2288
1,12,1,1,0,0.5961
1,12,2,2,1,0.7601
1,12,3,2,1,0.7601
1,12,4,2,1,0.7601
1,12,5,2,1,0.7601
1,12,6,2,1,0.7601
1,12,7,2,1,0.7601
1,12,8,2,1,0.7601
1,12,9,2,1,0.7601
1,12,10,2,1,0.7601
1,12,11,2,1,0.7601
1,12,12,2,1,0.7601
1,12,13,2,1,0.7601
1,12,14,2,1,0.7601
1,12,15,2,1,0.7601
1,13,1,1,1,0.1332
1,13,2,1,1,0.1332
1,13,3,1,0,0.1332
1,13,4,2,1,0.2587
1,13,5,2,1,0.2587
1,13,6,2,1,0.2587
1,13,7,2,1,0.2587
1,13,8,2,1,0.2587
1,13,9,2,1,0.2587
1,13,10,2,0,0.2587
1,13,11,2,0,0.2587
1,13,12,2,1,0.2587
1,13,13,2,1,0.2587
1,13,14,2,1,0.2587
1,13,15,2,1,0.2587
1,14,1,1,1,0.1876
1,14,2,1,1,0.1876
1,14,3,1,0,0.1876
1,14,4,2,0,0.2856
1,14,5,1,1,0.1876
1,14,6,1,0,0.1876
1,14,7,1,1,0.1876
1,14,8,1,1,0.1876
1,14,9,1,1,0.1876
1,14,10,1,1,0.1876
1,14,11,1,0,0.1876
1,14,12,1,1,0.1876
1,14,13,1,0,0.1876
1,14,14,1,1,0.1876
1,14,15,1,0,0.1876
1,15,1,1,0,0.2633
1,15,2,2,1,0.1321
1,15,3,2,0,0.1321
1,15,4,3,1,0.7124
1,15,5,3,1,0.7124
1,15,6,3,1,0.7124
1,15,7,3,1,0.7124
1,15,8,3,0,0.7124
1,15,9,3,1,0.7124
1,15,10,3,1,0.7124
1,15,11,3,0,0.7124
1,15,12,3,1,0.7124
1,15,13,3,1,0.7124
1,15,14,3,1,0.7124
1,15,15,3,1,0.7124
1,16,1,1,0,0.7751
1,16,2,2,1,0.5459
1,16,3,2,1,0.5459
1,16,4,2,0,0.5459
1,16,5,2,0,0.5459
1,16,6,2,1,0.5459
1,16,7,2,1,0.5459
1,16,8,2,1,0.5459
1,16,9,2,0,0.5459
1,16,10,2,0,0.5459
1,16,11,2,0,0.5459
1,16,12,2,1,0.5459
1,16,13,2,0,0.5459
1,16,14,2,0,0.5459
1,16,15,2,1,0.5459
1,17,1,1,0,0.5268
1,17,2,2,0,0.9461
1,17,3,3,1,0.9504
1,17,4,3,0,0.9504
1,17,5,3,1,0.9504
1,17,6,3,0,0.9504
1,17,7,3,0,0.9504
1,17,8,4,0,0.6231
1,17,9,4,0,0.6231
1,17,10,2,0,0.9461
1,17,11,1,0,0.5268
1,17,12,1,0,0.5268
1,17,13,1,0,0.5268
1,17,14,2,1,0.9461
1,17,15,2,0,0.9461
1,18,1,1,1,0.6255
1,18,2,1,1,0.6255
1,18,3,1,0,0.6255
1,18,4,2,0,0.121
1,18,5,2,0,0.121
1,18,6,3,1,0.398
1,18,7,3,0,0.398
1,18,8,4,1,0.4216
1,18,9,4,1,0.4216
1,18,10,4,1,0.4216
1,18,11,4,1,0.4216
1,18,12,4,1,0.4216
1,18,13,4,1,0.4216
1,18,14,4,1,0.4216
1,18,15,4,1,0.4216
1,19,1,1,1,0.7029
1,19,2,1,1,0.7029
1,19,3,1,1,0.7029
1,19,4,1,0,0.7029
1,19,5,1,1,0.7029
1,19,6,1,1,0.7029
1,19,7,1,1,0.7029
1,19,8,1,1,0.7029
1,19,9,1,1,0.7029
1,19,10,1,1,0.7029
1,19,11,1,1,0.7029
1,19,12,1,1,0.7029
1,19,13,1,1,0.7029
1,19,14,1,1,0.7029
1,19,15,1,1,0.7029
1,20,1,1,1,0.4391
1,20,2,1,1,0.4391
1,20,3,1,0,0.4391
1,20,4,1,0,0.4391
1,20,5,1,1,0.4391
1,20,6,1,1,0.4391
1,20,7,1,1,0.4391
1,20,8,1,0,0.4391
1,20,9,1,0,0.4391
1,20,10,1,1,0.4391
1,20,11,1,0,0.4391
1,20,12,1,0,0.4391
1,20,13,1,1,0.4391
1,20,14,1,0,0.4391
1,20,15,1,0,0.4391
2,1,1,3,0,0.4699
2,1,2,2,0,0.6017
2,1,3,1,0,0.5613
2,1,4,4,1,0.5235
2,1,5,4,1,0.5235
2,1,6,4,1,0.5235
2,1,7,4,1,0.5235
2,1,8,4,1,0.5235
2,1,9,4,1,0.5235
2,1,10,4,1,0.5235
2,1,11,4,1,0.5235
2,1,12,4,0,0.5235
2,1,13,3,1,0.4699
2,1,14,3,1,0.4699
2,1,15,3,0,0.4699
2,2,1,2,0,0.6904
2,2,2,3,0,0.3914
2,2,3,4,1,0.5137
2,2,4,4,0,0.5137
2,2,5,1,1,0.8168
2,2,6,1,1,0.8168
2,2,7,1,1,0.8168
2,2,8,1,0,0.8168
2,2,9,2,0,0.6904
2,2,10,3,0,0.3914
2,2,11,4,0,0.5137
2,2,12,2,0,0.6904
2,2,13,1,1,0.8168
2,2,14,3,0,0.3914
2,2,15,2,0,0.6904
2,3,1,1,1,0.2483
2,3,2,1,1,0.2483
2,3,3,1,1,0.2483
2,3,4,1,1,0.2483
2,3,5,1,1,0.2483
2,3,6,1,1,0.2483
2,3,7,1,0,0.2483
2,3,8,2,1,0.5009
2,3,9,2,0,0.5009
2,3,10,3,0,0.1646
2,3,11,4,1,0.8499
2,3,12,3,0,0.1646
2,3,13,4,1,0.8499
2,3,14,4,1,0.8499
2,3,15,4,1,0.8499
2,4,1,1,0,0.5482
2,4,2,2,1,0.6026
2,4,3,3,0,0.186
2,4,4,4,1,0.2789
2,4,5,2,0,0.6026
2,4,6,2,0,0.6026
2,4,7,4,1,0.2789
2,4,8,4,0,0.2789
2,4,9,3,0,0.186
2,4,10,3,1,0.186
2,4,11,3,0,0.186
2,4,12,3,0,0.186
2,4,13,1,0,0.5482
2,4,14,1,0,0.5482
2,4,15,2,1,0.6026
2,5,1,1,0,0.8078
2,5,2,2,1,0.1436
2,5,3,3,1,0.5408
2,5,4,4,1,0.8834
2,5,5,2,0,0.1436
2,5,6,3,1,0.5408
2,5,7,3,0,0.5408
2,5,8,4,0,0.8834
2,5,9,4,1,0.8834
2,5,10,4,1,0.8834
2,5,11,4,0,0.8834
2,5,12,3,1,0.5408
2,5,13,2,0,0.1436
2,5,14,2,1,0.1436
2,5,15,2,1,0.1436
2,6,1,1,0,0.5227
2,6,2,1,0,0.5227
2,6,3,1,1,0.5227
2,6,4,1,1,0.5227
2,6,5,1,0,0.5227
2,6,6,1,0,0.5227
2,6,7,1,0,0.5227
2,6,8,2,0,0.4032
2,6,9,2,1,0.4032
2,6,10,2,0,0.4032
2,6,11,3,1,0.9207
2,6,12,3,1,0.9207
2,6,13,3,1,0.9207
2,6,14,3,1,0.9207
2,6,15,3,0,0.9207
2,7,1,1,0,0.4639
2,7,2,1,0,0.4639
2,7,3,2,1,0.7912
2,7,4,2,1,0.7912
2,7,5,2,1,0.7912
2,7,6,2,1,0.7912
2,7,7,2,1,0.7912
2,7,8,2,1,0.7912
2,7,9,2,1,0.7912
2,7,10,2,1,0.7912
2,7,11,2,1,0.7912
2,7,12,2,1,0.7912
2,7,13,2,1,0.7912
2,7,14,2,0,0.7912
2,7,15,3,1,0.5923
2,8,1,1,1,0.3714
2,8,2,1,1,0.3714
2,8,3,1,1,0.3714
2,8,4,1,1,0.3714
2,8,5,1,0,0.3714
2,8,6,2,0,0.2735
2,8,7,3,0,0.5196
2,8,8,4,0,0.5523
2,8,9,3,0,0.5196
2,8,10,2,1,0.2735
2,8,11,2,1,0.2735
2,8,12,2,1,0.2735
2,8,13,2,1,0.2735
2,8,14,2,1,0.2735
2,8,15,2,1,0.2735
2,9,1,1,0,0.3684
2,9,2,2,1,0.3648
2,9,3,2,1,0.3648
2,9,4,2,1,0.3648
2,9,5,2,0,0.3648
2,9,6,3,1,0.7376
2,9,7,3,0,0.7376
2,9,8,4,1,0.2732
2,9,9,4,1,0.2732
2,9,10,4,1,0.2732
2,9,11,4,1,0.2732
2,9,12,4,1,0.2732
2,9,13,4,1,0.2732
2,9,14,4,1,0.2732
2,9,15,4,1,0.2732
2,10,1,1,1,0.6305
2,10,2,1,0,0.6305
2,10,3,2,0,0.5876
2,10,4,3,0,0.5516
2,10,5,4,1,0.4627
2,10,6,4,1,0.4627
2,10,7,4,1,0.4627
2,10,8,4,1,0.4627
2,10,9,4,1,0.4627
2,10,10,4,1,0.4627
2,10,11,4,1,0.4627
2,10,12,4,1,0.4627
2,10,13,4,1,0.4627
2,10,14,4,1,0.4627
2,10,15,4,1,0.4627
2,11,1,1,1,0.4748
2,11,2,1,0,0.4748
2,11,3,2,0,0.2503
2,11,4,3,1,0.2288
2,11,5,3,0,0.2288
2,11,6,4,0,0.7858
2,11,7,4,0,0.7858
2,11,8,1,1,0.4748
2,11,9,1,0,0.4748
2,11,10,3,0,0.2288
2,11,11,3,1,0.2288
2,11,12,2,0,0.2503
2,11,13,2,1,0.2503
2,11,14,2,0,0.2503
2,11,15,4,0,0.7858
2,12,1,1,1,0.5961
2,12,2,1,1,0.5961
2,12,3,1,1,0.5961
2,12,4,1,0,0.5961
2,12,5,2,1,0.7601
2,12,6,2,1,0.7601
2,12,7,2,1,0.7601
2,12,8,2,1,0.7601
2,12,9,2,1,0.7601
2,12,10,2,1,0.7601
2,12,11,2,1,0.7601
2,12,12,2,0,0.7601
2,12,13,3,1,0.5496
2,12,14,3,1,0.5496
2,12,15,3,1,0.5496
2,13,1,1,0,0.1332
2,13,2,2,0,0.2587
2,13,3,3,1,0.0672
2,13,4,4,1,0.7757
2,13,5,3,1,0.0672
2,13,6,3,1,0.0672
2,13,7,3,1,0.0672
2,13,8,3,1,0.0672
2,13,9,3,0,0.0672
2,13,10,4,0,0.7757
2,13,11,4,1,0.7757
2,13,12,4,1,0.7757
2,13,13,4,1,0.7757
2,13,14,4,0,0.7757
2,13,15,2,0,0.2587
2,14,1,1,1,0.1876
2,14,2,2,0,0.2856
2,14,3,3,0,0.4284
2,14,4,4,1,0.3418
2,14,5,1,0,0.1876
2,14,6,4,1,0.3418
2,14,7,4,1,0.3418
2,14,8,4,1,0.3418
2,14,9,4,1,0.3418
2,14,10,4,1,0.3418
2,14,11,4,1,0.3418
2,14,12,4,1,0.3418
2,14,13,4,1,0.3418
2,14,14,4,1,0.3418
2,14,15,4,1,0.3418
2,15,1,1,0,0.2633
2,15,2,2,1,0.1321
2,15,3,3,1,0.7124
2,15,4,4,1,0.7755
2,15,5,2,1,0.1321
2,15,6,2,0,0.1321
2,15,7,3,0,0.7124
2,15,8,4,1,0.7755
2,15,9,4,1,0.7755
2,15,10,4,1,0.7755
2,15,11,4,1,0.7755
2,15,12,4,1,0.7755
2,15,13,4,1,0.7755
2,15,14,4,1,0.7755
2,15,15,4,1,0.7755
2,16,1,1,1,0.7751
2,16,2,1,0,0.7751
2,16,3,2,1,0.5459
2,16,4,2,0,0.5459
2,16,5,3,1,0.8303
2,16,6,3,1,0.8303
2,16,7,3,1,0.8303
2,16,8,3,1,0.8303
2,16,9,3,1,0.8303
2,16,10,3,1,0.8303
2,16,11,3,1,0.8303
2,16,12,3,1,0.8303
2,16,13,3,1,0.8303
2,16,14,3,1,0.8303
2,16,15,3,1,0.8303
2,17,1,1,0,0.5268
2,17,2,2,1,0.9461
2,17,3,2,0,0.9461
2,17,4,3,0,0.9504
2,17,5,4,0,0.6231
2,17,6,2,0,0.9461
2,17,7,2,1,0.9461
2,17,8,2,0,0.9461
2,17,9,3,0,0.9504
2,17,10,1,0,0.5268
2,17,11,4,0,0.6231
2,17,12,2,0,0.9461
2,17,13,1,1,0.5268
2,17,14,1,0,0.5268
2,17,15,3,1,0.9504
2,18,1,1,1,0.6255
2,18,2,1,0,0.6255
2,18,3,2,0,0.121
2,18,4,3,1,0.398
2,18,5,3,0,0.398
2,18,6,4,1,0.4216
2,18,7,4,1,0.4216
2,18,8,4,0,0.4216
2,18,9,3,0,0.398
2,18,10,3,1,0.398
2,18,11,3,0,0.398
2,18,12,2,1,0.121
2,18,13,2,0,0.121
2,18,14,2,0,0.121
2,18,15,1,1,0.6255
2,19,1,1,1,0.7029
2,19,2,2,0,0.4979
2,19,3,3,0,0.5602
2,19,4,4,1,0.0978
2,19,5,1,1,0.7029
2,19,6,1,1,0.7029
2,19,7,1,1,0.7029
2,19,8,1,1,0.7029
2,19,9,1,1,0.7029
2,19,10,1,1,0.7029
2,19,11,1,1,0.7029
2,19,12,1,1,0.7029
2,19,13,1,1,0.7029
2,19,14,1,1,0.7029
2,19,15,1,1,0.7029
2,20,1,1,1,0.4391
2,20,2,2,0,0.7223
2,20,3,3,1,0.8425
2,20,4,4,1,0.3705
2,20,5,1,1,0.4391
2,20,6,1,0,0.4391
2,20,7,3,0,0.8425
2,20,8,4,1,0.3705
2,20,9,4,0,0.3705
2,20,10,2,0,0.7223
2,20,11,2,1,0.7223
2,20,12,2,1,0.7223
2,20,13,2,0,0.7223
2,20,14,3,0,0.8425
2,20,15,4,1,0.3705
3,1,1,1,0,0.5613
3,1,2,2,1,0.6017
3,1,3,3,0,0.4699
3,1,4,4,1,0.5235
3,1,5,1,1,0.5613
3,1,6,2,1,0.6017
3,1,7,3,0,0.4699
3,1,8,4,0,0.5235
3,1,9,2,1,0.6017
3,1,10,2,1,0.6017
3,1,11,2,0,0.6017
3,1,12,2,1,0.6017
3,1,13,2,0,0.6017
3,1,14,2,1,0.6017
3,1,15,2,1,0.6017
3,2,1,1,1,0.8168
3,2,2,2,0,0.6904
3,2,3,3,1,0.3914
3,2,4,4,0,0.5137
3,2,5,3,0,0.3914
3,2,6,1,0,0.8168
3,2,7,1,1,0.8168
3,2,8,3,0,0.3914
3,2,9,1,0,0.8168
3,2,10,3,1,0.3914
3,2,11,1,0,0.8168
3,2,12,3,0,0.3914
3,2,13,1,0,0.8168
3,2,14,3,0,0.3914
3,2,15,2,0,0.6904
3,3,1,1,0,0.2483
3,3,2,2,1,0.5009
3,3,3,3,1,0.1646
3,3,4,4,1,0.8499
3,3,5,4,1,0.8499
3,3,6,3,0,0.1646
3,3,7,2,1,0.5009
3,3,8,4,1,0.8499
3,3,9,2,1,0.5009
3,3,10,4,0,0.8499
3,3,11,2,1,0.5009
3,3,12,2,1,0.5009
3,3,13,2,1,0.5009
3,3,14,2,1,0.5009
3,3,15,2,1,0.5009
3,4,1,1,1,0.5482
3,4,2,2,1,0.6026
3,4,3,3,0,0.186
3,4,4,4,1,0.2789
3,4,5,2,0,0.6026
3,4,6,1,0,0.5482
3,4,7,2,1,0.6026
3,4,8,1,1,0.5482
3,4,9,2,1,0.6026
3,4,10,1,1,0.5482
3,4,11,2,1,0.6026
3,4,12,1,1,0.5482
3,4,13,2,1,0.6026
3,4,14,1,1,0.5482
3,4,15,2,1,0.6026
3,5,1,1,1,0.8078
3,5,2,2,1,0.1436
3,5,3,2,1,0.1436
3,5,4,2,1,0.1436
3,5,5,2,1,0.1436
3,5,6,2,1,0.1436
3,5,7,2,1,0.1436
3,5,8,2,1,0.1436
3,5,9,2,1,0.1436
3,5,10,2,1,0.1436
3,5,11,2,1,0.1436
3,5,12,2,1,0.1436
3,5,13,2,1,0.1436
3,5,14,2,0,0.1436
3,5,15,2,1,0.1436
3,6,1,1,0,0.5227
3,6,2,2,1,0.4032
3,6,3,2,1,0.4032
3,6,4,2,1,0.4032
3,6,5,2,0,0.4032
3,6,6,2,1,0.4032
3,6,7,2,0,0.4032
3,6,8,3,1,0.9207
3,6,9,3,1,0.9207
3,6,10,3,1,0.9207
3,6,11,3,0,0.9207
3,6,12,3,0,0.9207
3,6,13,3,1,0.9207
3,6,14,3,0,0.9207
3,6,15,3,0,0.9207
3,7,1,1,1,0.4639
3,7,2,2,0,0.7912
3,7,3,3,0,0.5923
3,7,4,1,1,0.4639
3,7,5,1,1,0.4639
3,7,6,1,1,0.4639
3,7,7,1,1,0.4639
3,7,8,1,0,0.4639
3,7,9,4,1,0.9397
3,7,10,4,1,0.9397
3,7,11,4,1,0.9397
3,7,12,4,1,0.9397
3,7,13,4,0,0.9397
3,7,14,1,1,0.4639
3,7,15,1,0,0.4639
3,8,1,1,1,0.3714
3,8,2,1,1,0.3714
3,8,3,1,0,0.3714
3,8,4,2,0,0.2735
3,8,5,3,0,0.5196
3,8,6,1,0,0.3714
3,8,7,4,0,0.5523
3,8,8,1,1,0.3714
3,8,9,1,1,0.3714
3,8,10,1,0,0.3714
3,8,11,2,0,0.2735
3,8,12,1,1,0.3714
3,8,13,1,1,0.3714
3,8,14,1,0,0.3714
3,8,15,1,1,0.3714
3,9,1,1,1,0.3684
3,9,2,1,0,0.3684
3,9,3,1,0,0.3684
3,9,4,2,1,0.3648
3,9,5,2,0,0.3648
3,9,6,2,0,0.3648
3,9,7,2,0,0.3648
3,9,8,3,1,0.7376
3,9,9,3,0,0.7376
3,9,10,4,0,0.2732
3,9,11,1,1,0.3684
3,9,12,1,0,0.3684
3,9,13,1,1,0.3684
3,9,14,1,0,0.3684
3,9,15,1,1,0.3684
3,10,1,1,0,0.6305
3,10,2,2,1,0.5876
3,10,3,2,0,0.5876
3,10,4,2,0,0.5876
3,10,5,3,0,0.5516
3,10,6,2,0,0.5876
3,10,7,4,0,0.4627
3,10,8,4,1,0.4627
3,10,9,4,0,0.4627
3,10,10,4,1,0.4627
3,10,11,4,0,0.4627
3,10,12,4,0,0.4627
3,10,13,4,1,0.4627
3,10,14,4,0,0.4627
3,10,15,4,0,0.4627
3,11,1,2,0,0.2503
3,11,2,3,0,0.2288
3,11,3,4,0,0.7858
3,11,4,1,0,0.4748
3,11,5,2,0,0.2503
3,11,6,2,0,0.2503
3,11,7,2,0,0.2503
3,11,8,3,0,0.2288
3,11,9,4,0,0.7858
3,11,10,1,0,0.4748
3,11,11,1,0,0.4748
3,11,12,1,0,0.4748
3,11,13,1,0,0.4748
3,11,14,3,1,0.2288
3,11,15,3,1,0.2288
3,12,1,3,1,0.5496
3,12,2,3,1,0.5496
3,12,3,3,0,0.5496
3,12,4,3,1,0.5496
3,12,5,3,1,0.5496
3,12,6,3,1,0.5496
3,12,7,3,1,0.5496
3,12,8,3,1,0.5496
3,12,9,3,1,0.5496
3,12,10,3,1,0.5496
3,12,11,3,1,0.5496
3,12,12,3,1,0.5496
3,12,13,3,1,0.5496
3,12,14,3,1,0.5496
3,12,15,3,1,0.5496
3,13,1,1,0,0.1332
3,13,2,2,0,0.2587
3,13,3,3,0,0.0672
3,13,4,3,0,0.0672
3,13,5,4,1,0.7757
3,13,6,4,1,0.7757
3,13,7,4,0,0.7757
3,13,8,4,0,0.7757
3,13,9,4,1,0.7757
3,13,10,4,1,0.7757
3,13,11,4,1,0.7757
3,13,12,4,1,0.7757
3,13,13,4,1,0.7757
3,13,14,4,0,0.7757
3,13,15,4,0,0.7757
3,14,1,1,0,0.1876
3,14,2,2,1,0.2856
3,14,3,2,0,0.2856
3,14,4,2,0,0.2856
3,14,5,3,1,0.4284
3,14,6,3,1,0.4284
3,14,7,3,1,0.4284
3,14,8,3,1,0.4284
3,14,9,3,0,0.4284
3,14,10,3,1,0.4284
3,14,11,3,0,0.4284
3,14,12,3,0,0.4284
3,14,13,3,1,0.4284
3,14,14,3,0,0.4284
3,14,15,3,0,0.4284
3,15,1,1,0,0.2633
3,15,2,2,1,0.1321
3,15,3,2,0,0.1321
3,15,4,3,0,0.7124
3,15,5,4,0,0.7755
3,15,6,2,0,0.1321
3,15,7,2,0,0.1321
3,15,8,2,0,0.1321
3,15,9,3,0,0.7124
3,15,10,2,1,0.1321
3,15,11,2,0,0.1321
3,15,12,2,1,0.1321
3,15,13,2,0,0.1321
3,15,14,2,0,0.1321
3,15,15,2,0,0.1321
3,16,1,1,0,0.7751
3,16,2,2,1,0.5459
3,16,3,2,1,0.5459
3,16,4,2,0,0.5459
3,16,5,2,1,0.5459
3,16,6,2,1,0.5459
3,16,7,2,1,0.5459
3,16,8,2,1,0.5459
3,16,9,2,1,0.5459
3,16,10,2,1,0.5459
3,16,11,2,0,0.5459
3,16,12,2,0,0.5459
3,16,13,2,0,0.5459
3,16,14,2,0,0.5459
3,16,15,2,1,0.5459
3,17,1,1,0,0.5268
3,17,2,2,1,0.9461
3,17,3,2,1,0.9461
3,17,4,2,1,0.9461
3,17,5,2,0,0.9461
3,17,6,2,1,0.9461
3,17,7,2,1,0.9461
3,17,8,2,1,0.9461
3,17,9,2,1,0.9461
3,17,10,2,0,0.9461
3,17,11,2,1,0.9461
3,17,12,2,1,0.9461
3,17,13,2,0,0.9461
3,17,14,2,1,0.9461
3,17,15,2,1,0.9461
3,18,1,3,1,0.398
3,18,2,3,1,0.398
3,18,3,3,1,0.398
3,18,4,3,1,0.398
3,18,5,3,1,0.398
3,18,6,3,1,0.398
3,18,7,3,1,0.398
3,18,8,3,1,0.398
3,18,9,3,0,0.398
3,18,10,3,1,0.398
3,18,11,3,1,0.398
3,18,12,3,1,0.398
3,18,13,3,0,0.398
3,18,14,3,0,0.398
3,18,15,3,0,0.398
3,19,1,1,1,0.7029
3,19,2,1,0,0.7029
3,19,3,2,0,0.4979
3,19,4,1,1,0.7029
3,19,5,1,0,0.7029
3,19,6,1,0,0.7029
3,19,7,1,1,0.7029
3,19,8,1,1,0.7029
3,19,9,1,0,0.7029
3,19,10,1,0,0.7029
3,19,11,1,1,0.7029
3,19,12,1,0,0.7029
3,19,13,1,1,0.7029
3,19,14,1,0,0.7029
3,19,15,1,1,0.7029
3,20,1,3,0,0.8425
3,20,2,2,0,0.7223
3,20,3,4,0,0.3705
3,20,4,4,1,0.3705
3,20,5,4,1,0.3705
3,20,6,4,1,0.3705
3,20,7,4,1,0.3705
3,20,8,4,1,0.3705
3,20,9,4,1,0.3705
3,20,10,4,0,0.3705
3,20,11,4,1,0.3705
3,20,12,4,1,0.3705
3,20,13,4,0,0.3705
3,20,14,4,0,0.3705
3,20,15,4,1,0.3705
4,1,1,3,1,0.4699
4,1,2,2,1,0.6017
4,1,3,1,0,0.5613
4,1,4,4,0,0.5235
4,1,5,3,1,0.4699
4,1,6,2,0,0.6017
4,1,7,3,1,0.4699
4,1,8,3,1,0.4699
4,1,9,3,1,0.4699
4,1,10,3,1,0.4699
4,1,11,3,1,0.4699
4,1,12,3,1,0.4699
4,1,13,3,1,0.4699
4,1,14,3,1,0.4699
4,1,15,3,1,0.4699
4,2,1,1,0,0.8168
4,2,2,2,0,0.6904
4,2,3,3,0,0.3914
4,2,4,4,0,0.5137
4,2,5,1,0,0.8168
4,2,6,2,1,0.6904
4,2,7,2,0,0.6904
4,2,8,3,1,0.3914
4,2,9,4,0,0.5137
4,2,10,3,1,0.3914
4,2,11,3,1,0.3914
4,2,12,3,0,0.3914
4,2,13,2,1,0.6904
4,2,14,2,0,0.6904
4,2,15,2,1,0.6904
4,3,1,1,0,0.2483
4,3,2,2,0,0.5009
