environment,problem,maxPosition,optimalPosition,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15
male,13,6,6,41,39,25,78,53,99,63,52,73,12,32,68,8,16,1
male,14,6,15,9,45,31,52,62,79,73,61,1,50,69,29,7,15,40
male,15,7,7,20,35,64,69,26,41,97,38,47,78,40,33,9,29,5
male,16,8,8,25,42,26,67,77,62,57,92,1,32,13,31,18,16,15
male,17,5,15,20,32,38,52,62,53,59,35,29,1,21,37,4,14,12
male,18,5,5,27,30,39,76,99,97,53,54,40,28,32,1,44,15,20
male,19,5,5,47,28,41,80,99,45,69,16,32,72,13,55,1,11,15
male,20,7,7,33,39,28,62,74,35,92,1,6,22,46,16,44,38,7
male,21,6,15,27,52,47,61,68,71,41,63,20,40,32,25,60,6,4
male,22,7,7,60,40,58,54,53,47,87,55,26,19,4,1,46,30,24
male,23,8,8,16,56,28,38,57,52,47,99,10,72,20,43,37,13,18
male,24,8,8,23,47,46,63,73,79,55,99,74,18,24,26,20,1,29
male,25,6,6,27,18,47,58,83,99,67,63,33,17,68,1,25,5,16
male,26,6,15,31,33,34,48,52,80,55,43,54,1,30,35,24,12,14
male,27,8,8,17,21,27,68,64,19,51,85,33,83,9,49,1,8,13
male,28,5,5,19,41,31,53,96,80,69,55,40,48,47,58,45,9,15
male,29,7,15,21,12,41,60,56,69,71,25,14,40,61,62,24,2,13
male,30,7,7,28,42,56,55,66,35,74,57,59,1,47,71,19,24,11
male,31,10,7,45,30,59,49,47,51,93,58,32,99,37,39,27,3,18
male,32,6,6,25,26,42,71,46,99,95,90,75,45,4,6,1,37,47
male,33,6,6,29,55,63,59,57,84,81,38,17,3,21,11,15,22,35
male,34,5,5,34,42,47,84,99,35,73,37,32,24,31,13,30,1,14
male,35,4,15,33,34,53,84,73,75,57,14,1,56,7,35,6,12,43
male,36,6,6,22,34,42,81,56,87,54,14,51,26,31,4,2,33,7
male,37,6,6,44,29,61,55,72,95,71,27,59,56,18,32,19,1,21
male,38,6,6,21,38,66,63,76,87,72,37,86,80,28,42,30,12,1
male,39,7,7,30,43,15,74,54,75,97,87,47,44,7,36,19,3,1
male,40,12,12,28,53,57,77,69,76,34,70,30,1,18,79,29,9,31
male,41,11,11,34,40,45,63,39,65,44,2,6,5,67,64,25,1,33
male,42,5,5,48,41,65,81,99,37,72,49,43,26,45,1,6,33,25
male,43,7,7,16,28,54,59,71,36,85,82,1,84,12,43,45,26,32
male,44,5,5,38,37,59,74,99,77,86,94,84,46,39,50,26,65,1
male,45,9,9,36,18,60,43,68,69,31,6,79,1,23,54,44,17,16
male,46,9,5,23,40,54,50,86,64,25,35,99,34,32,15,6,13,26
male,47,4,4,44,26,74,93,70,61,54,78,71,43,4,11,19,21,2
male,48,10,8,42,31,47,49,59,62,66,79,77,99,18,21,45,52,22
male,49,4,15,26,24,75,83,68,36,27,44,1,20,38,13,64,39,40
male,50,7,7,19,44,51,63,56,71,93,79,43,24,74,25,1,9,10
