participant,environment,problem,problemOrder,choicePosition,value,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15
1,male,18,37,5,99,27,30,39,76,99,97,53,54,40,28,32,1,44,15,20
1,male,19,38,5,99,47,28,41,80,99,45,69,16,32,72,13,55,1,11,15
1,male,20,17,15,7,33,39,28,62,74,35,92,1,6,22,46,16,44,38,7
1,male,21,46,13,60,27,52,47,61,68,71,41,63,20,40,32,25,60,6,4
1,male,22,40,7,87,60,40,58,54,53,47,87,55,26,19,4,1,46,30,24
1,male,23,13,8,99,16,56,28,38,57,52,47,99,10,72,20,43,37,13,18
1,male,24,20,8,99,23,47,46,63,73,79,55,99,74,18,24,26,20,1,29
1,male,25,3,6,99,27,18,47,58,83,99,67,63,33,17,68,1,25,5,16
1,male,26,34,15,14,31,33,34,48,52,80,55,43,54,1,30,35,24,12,14
1,male,27,24,8,85,17,21,27,68,64,19,51,85,33,83,9,49,1,8,13
1,male,28,47,5,96,19,41,31,53,96,80,69,55,40,48,47,58,45,9,15
1,male,29,44,11,61,21,12,41,60,56,69,71,25,14,40,61,62,24,2,13
1,male,30,26,12,71,28,42,56,55,66,35,74,57,59,1,47,71,19,24,11
1,male,31,30,7,93,45,30,59,49,47,51,93,58,32,99,37,39,27,3,18
1,male,32,14,6,99,25,26,42,71,46,99,95,90,75,45,4,6,1,37,47
1,male,33,18,15,35,29,55,63,59,57,84,81,38,17,3,21,11,15,22,35
1,male,34,8,5,99,34,42,47,84,99,35,73,37,32,24,31,13,30,1,14
1,male,35,48,15,43,33,34,53,84,73,75,57,14,1,56,7,35,6,12,43
1,male,36,36,6,87,22,34,42,81,56,87,54,14,51,26,31,4,2,33,7
1,male,37,5,6,95,44,29,61,55,72,95,71,27,59,56,18,32,19,1,21
1,male,38,21,6,87,21,38,66,63,76,87,72,37,86,80,28,42,30,12,1
1,male,39,39,7,97,30,43,15,74,54,75,97,87,47,44,7,36,19,3,1
1,male,40,16,12,79,28,53,57,77,69,76,34,70,30,1,18,79,29,9,31
1,male,41,33,11,67,34,40,45,63,39,65,44,2,6,5,67,64,25,1,33
1,male,42,29,5,99,48,41,65,81,99,37,72,49,43,26,45,1,6,33,25
1,male,43,6,8,82,16,28,54,59,71,36,85,82,1,84,12,43,45,26,32
1,male,44,41,5,99,38,37,59,74,99,77,86,94,84,46,39,50,26,65,1
1,male,45,31,15,16,36,18,60,43,68,69,31,6,79,1,23,54,44,17,16
1,male,46,25,5,86,23,40,54,50,86,64,25,35,99,34,32,15,6,13,26
1,male,47,32,4,93,44,26,74,93,70,61,54,78,71,43,4,11,19,21,2
1,male,48,28,9,77,42,31,47,49,59,62,66,79,77,99,18,21,45,52,22
1,male,49,22,15,40,26,24,75,83,68,36,27,44,1,20,38,13,64,39,40
1,male,50,35,7,93,19,44,51,63,56,71,93,79,43,24,74,25,1,9,10
2,female,1,5,7,33,59,65,76,96,97,51,33,49,50,17,73,13,6,1,21
2,female,2,43,1,73,73,80,74,70,96,52,3,28,13,1,68,69,21,8,29
2,female,3,30,1,57,57,76,62,60,75,51,20,35,1,74,8,2,14,36,19
2,female,4,15,1,56,56,71,83,70,52,31,67,36,38,1,34,46,3,28,30
2,female,5,34,9,32,56,74,68,78,87,59,13,45,32,55,19,35,1,3,28
2,female,6,26,1,61,61,83,71,99,97,57,37,33,22,13,31,11,48,6,4
2,female,7,22,1,53,53,75,61,83,87,79,86,3,94,65,13,11,1,4,5
2,female,8,11,1,62,62,51,99,64,86,66,31,1,6,12,44,5,57,13,8
2,female,9,32,1,55,55,70,99,72,46,53,35,54,71,57,61,1,44,9,45
2,female,10,47,8,55,51,68,76,67,71,83,78,55,90,1,49,38,2,37,9
2,female,11,1,11,41,63,73,55,67,79,46,66,8,57,12,41,1,49,9,16
2,female,12,19,1,51,51,65,99,69,74,73,68,11,15,30,19,31,26,40,36
2,female,13,33,1,49,49,69,94,80,48,47,11,55,45,1,6,15,2,3,33
2,female,14,45,1,59,59,78,85,80,67,48,14,23,46,38,5,1,10,36,40
2,female,15,25,8,33,46,58,59,66,61,40,44,33,28,34,22,1,10,12,30
2,female,16,24,1,40,40,63,91,60,94,90,38,1,51,47,19,14,28,16,24
2,female,17,28,1,58,58,66,89,62,77,97,84,19,9,1,18,13,8,22,36
2,female,18,10,1,64,64,58,88,92,75,70,25,32,11,45,27,36,1,19,8
2,female,19,31,7,40,72,63,70,98,65,69,40,50,45,31,22,57,1,21,44
2,female,20,18,1,61,61,78,87,96,72,90,94,5,2,1,31,52,14,12,21
2,female,21,3,1,55,55,71,72,65,58,77,64,21,43,49,1,57,2,39,11
2,female,22,7,9,20,78,69,90,92,85,51,35,48,20,82,50,8,1,31,3
2,female,23,27,1,57,57,80,61,65,90,56,64,81,33,29,1,36,31,26,58
2,female,24,36,8,25,72,76,73,88,61,49,80,25,64,94,1,31,17,24,23
2,female,25,50,1,43,43,75,59,92,69,72,27,17,81,4,44,70,18,8,34
2,female,26,2,8,29,59,76,75,80,63,70,64,29,31,22,45,14,2,1,10
2,female,27,12,1,50,50,94,97,81,61,70,39,91,43,12,58,24,1,6,48
2,female,28,16,6,37,69,64,93,67,60,37,17,27,83,10,18,1,32,7,41
2,female,29,4,1,82,82,64,84,73,69,21,8,63,67,1,32,11,20,13,24
2,female,30,41,11,34,59,80,71,99,73,85,41,16,84,1,34,12,18,6,17
2,female,31,8,4,53,65,61,63,53,97,50,32,62,80,58,76,41,42,1,6
2,female,32,23,8,20,55,70,54,99,76,69,93,20,16,15,8,32,23,6,7
2,female,33,20,7,42,65,60,79,75,98,67,42,61,6,33,4,1,24,14,16
2,female,34,37,11,26,58,71,53,62,67,52,36,65,1,18,26,37,21,28,8
2,female,35,38,1,55,55,65,56,86,66,85,31,68,1,33,18,24,11,39,8
2,female,36,29,1,74,74,67,98,66,90,78,31,63,87,64,4,17,27,41,5
2,female,37,42,1,52,52,79,76,66,99,77,72,48,9,20,26,40,1,3,11
2,female,38,9,1,54,54,73,83,67,36,17,21,99,49,46,48,9,15,1,23
2,female,39,35,1,54,54,73,99,79,57,72,93,18,1,29,7,6,14,27,5
2,female,40,13,1,84,84,83,36,89,90,64,80,23,22,1,55,24,21,28,14
2,female,41,40,1,48,48,76,64,88,60,75,70,2,40,13,27,1,24,12,23
2,female,42,44,1,48,48,81,83,79,77,56,58,42,18,1,2,30,22,25,27
2,female,43,48,9,33,48,69,56,76,74,47,70,1,33,85,45,30,35,26,37
2,female,44,49,1,49,49,73,80,22,78,99,20,16,75,26,1,8,28,19,21
2,female,45,21,4,45,49,68,90,45,99,55,82,56,95,39,17,1,10,26,18
2,female,46,46,1,72,72,80,75,81,50,64,99,25,1,6,16,29,26,19,32
2,female,47,39,1,35,35,65,70,67,92,84,18,22,49,45,5,33,38,28,1
2,female,48,14,1,51,51,69,99,83,81,61,11,37,74,27,26,56,7,55,16
2,female,49,17,1,62,62,67,99,98,52,54,22,2,26,34,30,1,24,16,18
2,female,50,6,1,70,70,80,79,89,53,71,64,47,51,26,10,33,1,21,22
2,male,1,28,9,22,37,54,40,67,69,89,74,7,22,83,18,3,30,15,14
2,male,2,39,10,42,36,49,66,64,52,63,97,70,9,42,12,33,32,27,20
2,male,3,47,1,33,33,34,49,60,91,99,41,50,25,9,79,37,17,12,73
2,male,4,18,9,52,42,37,47,53,92,57,79,99,52,49,32,14,9,35,16
2,male,5,4,2,33,39,33,57,42,87,37,58,48,82,71,1,2,21,43,12
2,male,6,36,1,23,23,29,75,63,91,31,48,2,44,70,47,14,24,17,67
2,male,7,31,3,43,52,49,43,79,89,76,44,32,56,35,61,4,50,1,19
2,male,8,40,11,26,30,35,44,52,71,66,48,1,39,45,26,6,16,37,41
2,male,9,7,1,20,20,27,37,56,76,92,99,59,36,39,98,57,1,15,25
2,male,10,49,1,16,16,43,72,95,99,65,42,62,35,63,34,39,1,5,53
2,male,11,5,1,24,24,33,74,60,71,40,80,72,99,53,1,52,21,17,9
2,male,12,29,1,32,32,21,54,80,92,86,47,77,99,41,48,12,6,10,64
2,male,13,11,3,25,41,39,25,78,53,99,63,52,73,12,32,68,8,16,1
2,male,14,19,3,31,9,45,31,52,62,79,73,61,1,50,69,29,7,15,40
2,male,15,17,1,20,20,35,64,69,26,41,97,38,47,78,40,33,9,29,5
2,male,16,2,1,25,25,42,26,67,77,62,57,92,1,32,13,31,18,16,15
2,male,17,45,1,20,20,32,38,52,62,53,59,35,29,1,21,37,4,14,12
2,male,18,50,1,27,27,30,39,76,99,97,53,54,40,28,32,1,44,15,20
2,male,19,12,2,28,47,28,41,80,99,45,69,16,32,72,13,55,1,11,15
2,male,20,32,3,28,33,39,28,62,74,35,92,1,6,22,46,16,44,38,7
2,male,21,37,1,27,27,52,47,61,68,71,41,63,20,40,32,25,60,6,4
2,male,22,15,9,26,60,40,58,54,53,47,87,55,26,19,4,1,46,30,24
2,male,23,35,1,16,16,56,28,38,57,52,47,99,10,72,20,43,37,13,18
2,male,24,27,1,23,23,47,46,63,73,79,55,99,74,18,24,26,20,1,29
2,male,25,44,2,18,27,18,47,58,83,99,67,63,33,17,68,1,25,5,16
2,male,26,13,11,30,31,33,34,48,52,80,55,43,54,1,30,35,24,12,14
2,male,27,46,1,17,17,21,27,68,64,19,51,85,33,83,9,49,1,8,13
2,male,28,16,1,19,19,41,31,53,96,80,69,55,40,48,47,58,45,9,15
2,male,29,10,1,21,21,12,41,60,56,69,71,25,14,40,61,62,24,2,13
2,male,30,23,1,28,28,42,56,55,66,35,74,57,59,1,47,71,19,24,11
2,male,31,14,1,45,45,30,59,49,47,51,93,58,32,99,37,39,27,3,18
2,male,32,41,1,25,25,26,42,71,46,99,95,90,75,45,4,6,1,37,47
2,male,33,6,9,17,29,55,63,59,57,84,81,38,17,3,21,11,15,22,35
2,male,34,3,6,35,34,42,47,84,99,35,73,37,32,24,31,13,30,1,14
2,male,35,42,1,33,33,34,53,84,73,75,57,14,1,56,7,35,6,12,43
2,male,36,21,1,22,22,34,42,81,56,87,54,14,51,26,31,4,2,33,7
2,male,37,48,2,29,44,29,61,55,72,95,71,27,59,56,18,32,19,1,21
2,male,38,22,1,21,21,38,66,63,76,87,72,37,86,80,28,42,30,12,1
2,male,39,8,1,30,30,43,15,74,54,75,97,87,47,44,7,36,19,3,1
2,male,40,30,1,28,28,53,57,77,69,76,34,70,30,1,18,79,29,9,31
2,male,41,1,7,44,34,40,45,63,39,65,44,2,6,5,67,64,25,1,33
2,male,42,24,6,37,48,41,65,81,99,37,72,49,43,26,45,1,6,33,25
2,male,43,20,1,16,16,28,54,59,71,36,85,82,1,84,12,43,45,26,32
2,male,44,26,11,39,38,37,59,74,99,77,86,94,84,46,39,50,26,65,1
2,male,45,43,1,36,36,18,60,43,68,69,31,6,79,1,23,54,44,17,16
2,male,46,38,1,23,23,40,54,50,86,64,25,35,99,34,32,15,6,13,26
2,male,47,33,1,44,44,26,74,93,70,61,54,78,71,43,4,11,19,21,2
2,male,48,9,2,31,42,31,47,49,59,62,66,79,77,99,18,21,45,52,22
2,male,49,25,1,26,26,24,75,83,68,36,27,44,1,20,38,13,64,39,40
2,male,50,34,1,19,19,44,51,63,56,71,93,79,43,24,74,25,1,9,10
3,female,1,12,4,96,59,65,76,96,97,51,33,49,50,17,73,13,6,1,21
3,female,2,6,2,80,73,80,74,70,96,52,3,28,13,1,68,69,21,8,29
3,female,3,28,5,75,57,76,62,60,75,51,20,35,1,74,8,2,14,36,19
3,female,4,23,3,83,56,71,83,70,52,31,67,36,38,1,34,46,3,28,30
3,female,5,38,5,87,56,74,68,78,87,59,13,45,32,55,19,35,1,3,28
3,female,6,8,2,83,61,83,71,99,97,57,37,33,22,13,31,11,48,6,4
3,female,7,13,4,83,53,75,61,83,87,79,86,3,94,65,13,11,1,4,5
3,female,8,11,3,99,62,51,99,64,86,66,31,1,6,12,44,5,57,13,8
3,female,9,50,3,99,55,70,99,72,46,53,35,54,71,57,61,1,44,9,45
3,female,10,44,5,71,51,68,76,67,71,83,78,55,90,1,49,38,2,37,9
3,female,11,49,5,79,63,73,55,67,79,46,66,8,57,12,41,1,49,9,16
3,female,12,7,3,99,51,65,99,69,74,73,68,11,15,30,19,31,26,40,36
3,female,13,9,3,94,49,69,94,80,48,47,11,55,45,1,6,15,2,3,33
3,female,14,35,3,85,59,78,85,80,67,48,14,23,46,38,5,1,10,36,40
3,female,15,4,15,30,46,58,59,66,61,40,44,33,28,34,22,1,10,12,30
3,female,16,17,3,91,40,63,91,60,94,90,38,1,51,47,19,14,28,16,24
3,female,17,5,3,89,58,66,89,62,77,97,84,19,9,1,18,13,8,22,36
3,female,18,18,3,88,64,58,88,92,75,70,25,32,11,45,27,36,1,19,8
3,female,19,1,4,98,72,63,70,98,65,69,40,50,45,31,22,57,1,21,44
3,female,20,25,3,87,61,78,87,96,72,90,94,5,2,1,31,52,14,12,21
3,female,21,32,6,77,55,71,72,65,58,77,64,21,43,49,1,57,2,39,11
3,female,22,36,3,90,78,69,90,92,85,51,35,48,20,82,50,8,1,31,3
3,female,23,31,4,65,57,80,61,65,90,56,64,81,33,29,1,36,31,26,58
3,female,24,2,4,88,72,76,73,88,61,49,80,25,64,94,1,31,17,24,23
3,female,25,40,4,92,43,75,59,92,69,72,27,17,81,4,44,70,18,8,34
3,female,26,24,4,80,59,76,75,80,63,70,64,29,31,22,45,14,2,1,10
3,female,27,22,2,94,50,94,97,81,61,70,39,91,43,12,58,24,1,6,48
3,female,28,39,3,93,69,64,93,67,60,37,17,27,83,10,18,1,32,7,41
3,female,29,43,3,84,82,64,84,73,69,21,8,63,67,1,32,11,20,13,24
3,female,30,33,2,80,59,80,71,99,73,85,41,16,84,1,34,12,18,6,17
3,female,31,27,5,97,65,61,63,53,97,50,32,62,80,58,76,41,42,1,6
3,female,32,16,4,99,55,70,54,99,76,69,93,20,16,15,8,32,23,6,7
3,female,33,15,5,98,65,60,79,75,98,67,42,61,6,33,4,1,24,14,16
3,female,34,46,8,65,58,71,53,62,67,52,36,65,1,18,26,37,21,28,8
3,female,35,14,4,86,55,65,56,86,66,85,31,68,1,33,18,24,11,39,8
3,female,36,42,3,98,74,67,98,66,90,78,31,63,87,64,4,17,27,41,5
3,female,37,21,5,99,52,79,76,66,99,77,72,48,9,20,26,40,1,3,11
3,female,38,45,3,83,54,73,83,67,36,17,21,99,49,46,48,9,15,1,23
3,female,39,26,3,99,54,73,99,79,57,72,93,18,1,29,7,6,14,27,5
3,female,40,41,1,84,84,83,36,89,90,64,80,23,22,1,55,24,21,28,14
3,female,41,48,4,88,48,76,64,88,60,75,70,2,40,13,27,1,24,12,23
3,female,42,19,2,81,48,81,83,79,77,56,58,42,18,1,2,30,22,25,27
3,female,43,47,7,70,48,69,56,76,74,47,70,1,33,85,45,30,35,26,37
3,female,44,30,5,78,49,73,80,22,78,99,20,16,75,26,1,8,28,19,21
3,female,45,34,3,90,49,68,90,45,99,55,82,56,95,39,17,1,10,26,18
3,female,46,3,2,80,72,80,75,81,50,64,99,25,1,6,16,29,26,19,32
3,female,47,29,5,92,35,65,70,67,92,84,18,22,49,45,5,33,38,28,1
3,female,48,10,3,99,51,69,99,83,81,61,11,37,74,27,26,56,7,55,16
3,female,49,37,3,99,62,67,99,98,52,54,22,2,26,34,30,1,24,16,18
3,female,50,20,4,89,70,80,79,89,53,71,64,47,51,26,10,33,1,21,22
3,male,1,34,6,89,37,54,40,67,69,89,74,7,22,83,18,3,30,15,14
3,male,2,7,7,97,36,49,66,64,52,63,97,70,9,42,12,33,32,27,20
3,male,3,35,5,91,33,34,49,60,91,99,41,50,25,9,79,37,17,12,73
3,male,4,28,5,92,42,37,47,53,92,57,79,99,52,49,32,14,9,35,16
3,male,5,15,5,87,39,33,57,42,87,37,58,48,82,71,1,2,21,43,12
3,male,6,14,3,75,23,29,75,63,91,31,48,2,44,70,47,14,24,17,67
3,male,7,50,5,89,52,49,43,79,89,76,44,32,56,35,61,4,50,1,19
3,male,8,31,15,41,30,35,44,52,71,66,48,1,39,45,26,6,16,37,41
3,male,9,23,5,76,20,27,37,56,76,92,99,59,36,39,98,57,1,15,25
3,male,10,22,3,72,16,43,72,95,99,65,42,62,35,63,34,39,1,5,53
3,male,11,1,7,80,24,33,74,60,71,40,80,72,99,53,1,52,21,17,9
3,male,12,4,4,80,32,21,54,80,92,86,47,77,99,41,48,12,6,10,64
3,male,13,21,4,78,41,39,25,78,53,99,63,52,73,12,32,68,8,16,1
3,male,14,32,6,79,9,45,31,52,62,79,73,61,1,50,69,29,7,15,40
3,male,15,24,7,97,20,35,64,69,26,41,97,38,47,78,40,33,9,29,5
3,male,16,33,5,77,25,42,26,67,77,62,57,92,1,32,13,31,18,16,15
3,male,17,11,12,37,20,32,38,52,62,53,59,35,29,1,21,37,4,14,12
3,male,18,19,4,76,27,30,39,76,99,97,53,54,40,28,32,1,44,15,20
3,male,19,25,4,80,47,28,41,80,99,45,69,16,32,72,13,55,1,11,15
3,male,20,36,5,74,33,39,28,62,74,35,92,1,6,22,46,16,44,38,7
3,male,21,20,6,71,27,52,47,61,68,71,41,63,20,40,32,25,60,6,4
3,male,22,47,7,87,60,40,58,54,53,47,87,55,26,19,4,1,46,30,24
3,male,23,41,8,99,16,56,28,38,57,52,47,99,10,72,20,43,37,13,18
3,male,24,42,5,73,23,47,46,63,73,79,55,99,74,18,24,26,20,1,29
3,male,25,6,5,83,27,18,47,58,83,99,67,63,33,17,68,1,25,5,16
3,male,26,46,6,80,31,33,34,48,52,80,55,43,54,1,30,35,24,12,14
3,male,27,2,8,85,17,21,27,68,64,19,51,85,33,83,9,49,1,8,13
3,male,28,45,5,96,19,41,31,53,96,80,69,55,40,48,47,58,45,9,15
3,male,29,43,7,71,21,12,41,60,56,69,71,25,14,40,61,62,24,2,13
3,male,30,37,7,74,28,42,56,55,66,35,74,57,59,1,47,71,19,24,11
3,male,31,8,7,93,45,30,59,49,47,51,93,58,32,99,37,39,27,3,18
3,male,32,44,6,99,25,26,42,71,46,99,95,90,75,45,4,6,1,37,47
3,male,33,26,6,84,29,55,63,59,57,84,81,38,17,3,21,11,15,22,35
3,male,34,48,4,84,34,42,47,84,99,35,73,37,32,24,31,13,30,1,14
3,male,35,40,4,84,33,34,53,84,73,75,57,14,1,56,7,35,6,12,43
3,male,36,12,4,81,22,34,42,81,56,87,54,14,51,26,31,4,2,33,7
3,male,37,5,5,72,44,29,61,55,72,95,71,27,59,56,18,32,19,1,21
3,male,38,38,5,76,21,38,66,63,76,87,72,37,86,80,28,42,30,12,1
3,male,39,9,4,74,30,43,15,74,54,75,97,87,47,44,7,36,19,3,1
3,male,40,49,4,77,28,53,57,77,69,76,34,70,30,1,18,79,29,9,31
3,male,41,3,11,67,34,40,45,63,39,65,44,2,6,5,67,64,25,1,33
3,male,42,17,4,81,48,41,65,81,99,37,72,49,43,26,45,1,6,33,25
3,male,43,13,5,71,16,28,54,59,71,36,85,82,1,84,12,43,45,26,32
3,male,44,29,4,74,38,37,59,74,99,77,86,94,84,46,39,50,26,65,1
3,male,45,16,9,79,36,18,60,43,68,69,31,6,79,1,23,54,44,17,16
3,male,46,27,5,86,23,40,54,50,86,64,25,35,99,34,32,15,6,13,26
3,male,47,30,4,93,44,26,74,93,70,61,54,78,71,43,4,11,19,21,2
3,male,48,39,6,62,42,31,47,49,59,62,66,79,77,99,18,21,45,52,22
3,male,49,10,4,83,26,24,75,83,68,36,27,44,1,20,38,13,64,39,40
3,male,50,18,6,71,19,44,51,63,56,71,93,79,43,24,74,25,1,9,10
4,female,1,41,4,96,59,65,76,96,97,51,33,49,50,17,73,13,6,1,21
4,female,2,28,2,80,73,80,74,70,96,52,3,28,13,1,68,69,21,8,29
4,female,3,9,5,75,57,76,62,60,75,51,20,35,1,74,8,2,14,36,19
4,female,4,20,3,83,56,71,83,70,52,31,67,36,38,1,34,46,3,28,30
4,female,5,11,4,78,56,74,68,78,87,59,13,45,32,55,19,35,1,3,28
4,female,6,15,2,83,61,83,71,99,97,57,37,33,22,13,31,11,48,6,4
4,female,7,7,4,83,53,75,61,83,87,79,86,3,94,65,13,11,1,4,5
4,female,8,13,3,99,62,51,99,64,86,66,31,1,6,12,44,5,57,13,8
4,female,9,34,3,99,55,70,99,72,46,53,35,54,71,57,61,1,44,9,45
4,female,10,30,5,71,51,68,76,67,71,83,78,55,90,1,49,38,2,37,9
4,female,11,5,2,73,63,73,55,67,79,46,66,8,57,12,41,1,49,9,16
4,female,12,29,3,99,51,65,99,69,74,73,68,11,15,30,19,31,26,40,36
4,female,13,17,3,94,49,69,94,80,48,47,11,55,45,1,6,15,2,3,33
4,female,14,4,2,78,59,78,85,80,67,48,14,23,46,38,5,1,10,36,40
4,female,15,35,15,30,46,58,59,66,61,40,44,33,28,34,22,1,10,12,30
4,female,16,18,3,91,40,63,91,60,94,90,38,1,51,47,19,14,28,16,24
4,female,17,31,3,89,58,66,89,62,77,97,84,19,9,1,18,13,8,22,36
4,female,18,25,3,88,64,58,88,92,75,70,25,32,11,45,27,36,1,19,8
4,female,19,12,4,98,72,63,70,98,65,69,40,50,45,31,22,57,1,21,44
4,female,20,10,2,78,61,78,87,96,72,90,94,5,2,1,31,52,14,12,21
4,female,21,44,6,77,55,71,72,65,58,77,64,21,43,49,1,57,2,39,11
4,female,22,42,3,90,78,69,90,92,85,51,35,48,20,82,50,8,1,31,3
4,female,23,50,2,80,57,80,61,65,90,56,64,81,33,29,1,36,31,26,58
4,female,24,38,4,88,72,76,73,88,61,49,80,25,64,94,1,31,17,24,23
4,female,25,40,4,92,43,75,59,92,69,72,27,17,81,4,44,70,18,8,34
4,female,26,27,4,80,59,76,75,80,63,70,64,29,31,22,45,14,2,1,10
4,female,27,45,2,94,50,94,97,81,61,70,39,91,43,12,58,24,1,6,48
4,female,28,26,1,69,69,64,93,67,60,37,17,27,83,10,18,1,32,7,41
4,female,29,1,1,82,82,64,84,73,69,21,8,63,67,1,32,11,20,13,24
4,female,30,48,2,80,59,80,71,99,73,85,41,16,84,1,34,12,18,6,17
