participant,problemLength,problem,choicePosition,confidence,presentationOrder,value1,value2,value3,value4,value5
1,10,11,3,8,35,64.13,14.49,99.28,77.71,93.54
1,10,12,3,6,17,65.29,72.92,89.05,33.29,73.82
1,10,13,1,7,4,81.78,14.59,72.99,97.31,78.06
1,10,14,4,8,8,0.17,23.8,7.96,99.58,93.74
1,10,15,4,8,38,40.71,19.05,24.62,93.17,10.68
1,10,16,10,1,21,42.53,3.29,8.78,89.55,39.7
1,10,17,5,8,6,52.74,39.65,46.45,25.38,98.62
1,10,18,10,1,30,50.8,9.5,57.14,61.64,70.72
1,10,19,3,5,14,24.82,31.31,90.76,77.18,95.78
1,10,20,5,7,37,7.2,25.71,37.72,1.71,95.72
1,10,21,1,5,34,80.74,42.22,68.02,66.19,93.73
1,10,22,1,4,20,86.9,60.3,66.28,41.9,46.05
1,10,23,4,4,40,40.81,25.04,33.45,79.89,42.57
1,10,24,6,7,24,8.42,15.41,61.44,16.83,61.97
1,10,25,7,5,26,47.11,4.8,58.31,34.88,4.52
1,10,26,7,7,3,63.58,74.62,43.79,55.12,43.72
1,10,27,7,7,12,40.93,87.82,63.91,36.57,53.41
1,10,28,7,8,39,46.51,24.55,57.43,7.71,22.49
1,10,29,8,8,16,28.45,41.14,72.02,18.18,46.1
1,10,30,8,8,36,77.26,88.45,82.63,33.84,65.52
1,10,31,10,1,7,28.0,15.36,15.88,56.86,29.52
1,10,32,3,7,31,46.01,69.99,93.61,8.95,38.69
1,10,33,9,7,25,1.7,37.5,24.16,54.02,67.98
1,10,34,9,6,23,0.34,34.73,13.02,0.62,15.46
1,10,35,9,8,5,59.21,43.91,29.47,2.21,40.21
1,10,36,9,7,1,15.27,21.13,12.35,60.78,79.66
1,10,37,7,7,33,51.05,40.37,28.69,48.66,78.66
1,10,38,1,7,19,96.21,47.58,67.49,11.64,69.56
1,10,39,2,8,18,17.39,89.04,51.56,64.15,22.18
1,10,40,10,9,22,54.81,27.94,17.51,81.86,26.83
1,20,1,1,4,12,93.43,69.55,76.24,40.54,1.33
1,20,2,1,4,40,97.8,71.89,55.65,63.55,51.07
1,20,3,2,5,38,9.72,99.6,38.46,64.12,88.29
1,20,4,2,3,19,20.72,97.49,43.45,52.29,40.97
1,20,5,1,5,11,97.76,15.01,99.28,27.23,73.15
1,20,6,20,1,5,82.96,31.73,83.36,78.58,6.0
1,20,7,1,4,14,96.11,32.42,86.46,97.04,48.62
1,20,8,4,7,31,27.12,52.37,54.95,98.17,57.6
1,20,9,1,2,26,89.67,93.07,84.17,66.51,98.49
1,20,10,2,2,8,58.91,84.11,65.89,39.98,90.96
1,20,11,1,4,7,91.79,26.14,49.55,67.2,69.6
1,20,12,6,5,17,44.17,40.94,64.34,44.25,79.64
1,20,13,3,2,15,21.59,24.9,80.31,22.85,69.47
1,20,14,20,1,24,59.53,50.09,75.56,58.22,0.9
1,20,15,8,6,32,68.55,43.56,18.79,24.64,10.8
1,20,16,20,1,22,20.82,46.86,17.68,24.76,61.38
1,20,17,9,6,25,37.98,32.41,93.61,35.63,27.62
1,20,18,3,4,35,49.9,2.85,90.19,62.37,18.35
1,20,19,5,8,18,40.57,56.42,7.34,80.88,99.02
1,20,20,10,6,23,34.28,42.0,7.38,74.76,44.48
1,20,21,20,1,3,78.92,22.84,51.44,29.98,8.11
1,20,22,11,7,29,17.11,41.51,4.22,71.77,1.91
1,20,23,8,5,36,79.89,70.4,25.35,24.43,23.83
1,20,24,20,1,27,50.37,49.56,30.66,16.09,79.86
1,20,25,8,6,21,73.07,47.78,13.37,88.04,20.16
1,20,26,6,4,39,64.2,21.53,24.27,43.41,21.9
1,20,27,14,7,30,64.88,71.61,48.43,12.84,60.69
1,20,28,5,5,16,12.86,28.53,65.68,32.97,95.83
1,20,29,2,4,34,30.15,92.27,87.04,27.3,83.97
1,20,30,15,7,10,18.24,52.96,46.35,40.77,17.54
1,20,31,2,7,28,42.74,97.58,72.16,45.9,74.95
1,20,32,5,5,33,13.31,8.8,22.28,32.06,97.62
1,20,33,3,4,37,4.16,25.91,89.1,34.11,60.06
1,20,34,8,5,1,42.37,64.56,60.08,49.57,36.07
1,20,35,1,3,9,90.39,90.32,14.05,43.16,76.99
1,20,36,18,6,4,33.11,18.54,15.94,11.25,3.96
1,20,37,19,8,13,52.55,40.33,70.04,6.43,72.41
1,20,38,3,7,2,27.75,65.46,95.24,32.93,81.65
1,20,39,14,7,6,1.91,9.68,87.84,20.77,57.67
1,20,40,15,6,20,72.35,30.84,63.31,80.41,65.47
2,5,1,1,6,24,80.64,26.12,39.64,20.99,5.54
2,5,2,5,1,31,56.79,32.83,9.16,11.21,28.59
2,5,3,1,6,8,97.57,84.66,49.56,84.79,47.7
2,5,4,1,5,21,85.57,0.93,8.29,74.34,45.3
2,5,5,5,1,25,72.53,20.53,37.3,55.41,48.34
2,5,6,1,5,15,93.65,13.72,87.13,18.5,12.63
2,5,7,1,7,27,90.6,57.93,36.22,47.47,72.58
2,5,8,5,1,30,75.33,71.0,73.57,13.4,6.67
2,5,9,2,5,39,1.6,84.14,28.73,10.6,21.34
2,5,10,2,5,26,42.62,88.69,59.69,50.12,19.12
2,5,11,2,5,2,47.82,86.43,79.5,1.09,22.96
2,5,12,5,1,29,40.69,64.4,20.55,35.77,24.26
2,5,13,2,5,22,41.56,81.14,15.1,29.74,40.65
2,5,14,2,5,16,16.7,79.29,44.57,3.28,72.47
2,5,15,2,6,19,26.96,82.33,72.0,53.6,79.91
2,5,16,2,5,36,38.94,87.86,60.85,23.82,18.41
2,5,17,3,7,10,21.58,38.91,99.33,8.09,25.73
2,5,18,5,1,33,10.19,32.5,60.65,24.1,1.96
2,5,19,5,1,7,4.28,59.75,63.31,10.15,46.28
2,5,20,1,4,35,81.06,8.23,84.36,54.35,27.14
2,5,21,3,9,4,62.95,56.27,99.72,49.44,22.11
2,5,22,1,5,38,79.27,20.71,91.32,48.54,40.19
2,5,23,3,5,28,23.29,18.97,94.04,19.48,16.74
2,5,24,3,5,3,55.75,47.9,75.58,71.25,66.86
2,5,25,4,4,11,32.2,12.46,35.46,42.2,39.75
2,5,26,4,5,40,24.08,0.51,17.78,79.51,67.9
2,5,27,4,5,14,4.06,29.95,44.94,75.46,19.64
2,5,28,4,5,32,36.77,55.08,53.56,68.71,11.83
2,5,29,4,5,6,20.1,30.46,4.03,77.66,17.1
2,5,30,4,8,12,59.93,73.74,57.24,96.09,8.58
2,5,31,4,8,23,66.99,0.61,11.28,90.36,15.49
2,5,32,4,6,9,54.21,16.72,3.2,94.74,26.35
2,5,33,5,9,37,65.68,4.26,62.89,54.59,97.3
2,5,34,5,9,5,43.71,70.63,22.08,52.41,80.06
2,5,35,4,4,20,16.26,45.62,18.84,59.7,82.0
2,5,36,1,5,18,78.69,11.41,14.97,44.7,87.95
2,5,37,5,9,13,64.86,24.37,61.51,18.96,85.23
2,5,38,5,9,34,7.95,21.81,3.95,26.67,67.8
2,5,39,5,9,17,38.87,67.67,55.2,12.99,87.42
2,5,40,5,9,1,56.89,29.93,38.25,12.07,85.33
2,10,1,1,8,12,97.47,40.22,51.55,51.02,59.36
2,10,2,1,4,40,85.56,20.49,47.81,38.13,42.42
2,10,3,1,9,38,99.55,94.77,17.22,37.31,34.97
2,10,4,10,1,19,65.85,56.09,40.85,13.95,42.12
2,10,5,2,4,11,65.09,86.18,18.31,5.58,32.32
2,10,6,1,4,5,87.5,89.26,1.7,51.66,4.18
2,10,7,2,7,14,26.17,98.8,66.31,46.15,28.85
2,10,8,2,6,31,13.03,95.84,45.74,57.76,83.81
2,10,9,3,6,26,77.08,73.87,84.07,2.58,41.25
2,10,10,10,1,8,33.25,59.52,87.56,19.9,35.55
2,10,11,3,7,7,64.13,14.49,99.28,77.71,93.54
2,10,12,3,3,17,65.29,72.92,89.05,33.29,73.82
2,10,13,1,4,15,81.78,14.59,72.99,97.31,78.06
2,10,14,4,7,24,0.17,23.8,7.96,99.58,93.74
2,10,15,4,6,32,40.71,19.05,24.62,93.17,10.68
2,10,16,4,5,22,42.53,3.29,8.78,89.55,39.7
2,10,17,5,7,25,52.74,39.65,46.45,25.38,98.62
2,10,18,10,1,35,50.8,9.5,57.14,61.64,70.72
2,10,19,3,4,18,24.82,31.31,90.76,77.18,95.78
2,10,20,5,5,23,7.2,25.71,37.72,1.71,95.72
2,10,21,6,8,3,80.74,42.22,68.02,66.19,93.73
2,10,22,1,4,29,86.9,60.3,66.28,41.9,46.05
2,10,23,4,4,36,40.81,25.04,33.45,79.89,42.57
2,10,24,3,4,27,8.42,15.41,61.44,16.83,61.97
2,10,25,10,1,21,47.11,4.8,58.31,34.88,4.52
2,10,26,2,3,39,63.58,74.62,43.79,55.12,43.72
2,10,27,2,6,30,40.93,87.82,63.91,36.57,53.41
2,10,28,7,7,16,46.51,24.55,57.43,7.71,22.49
2,10,29,3,4,34,28.45,41.14,72.02,18.18,46.1
2,10,30,2,4,10,77.26,88.45,82.63,33.84,65.52
2,10,31,10,1,28,28.0,15.36,15.88,56.86,29.52
2,10,32,3,6,33,46.01,69.99,93.61,8.95,38.69
2,10,33,9,4,37,1.7,37.5,24.16,54.02,67.98
2,10,34,6,3,1,0.34,34.73,13.02,0.62,15.46
2,10,35,7,3,9,59.21,43.91,29.47,2.21,40.21
2,10,36,4,4,4,15.27,21.13,12.35,60.78,79.66
2,10,37,5,4,13,51.05,40.37,28.69,48.66,78.66
2,10,38,1,5,2,96.21,47.58,67.49,11.64,69.56
2,10,39,2,5,6,17.39,89.04,51.56,64.15,22.18
2,10,40,4,2,20,54.81,27.94,17.51,81.86,26.83
2,20,1,1,4,2,93.43,69.55,76.24,40.54,1.33
2,20,2,1,6,15,97.8,71.89,55.65,63.55,51.07
2,20,3,2,7,10,9.72,99.6,38.46,64.12,88.29
2,20,4,2,5,11,20.72,97.49,43.45,52.29,40.97
2,20,5,1,5,28,97.76,15.01,99.28,27.23,73.15
2,20,6,1,3,13,82.96,31.73,83.36,78.58,6.0
2,20,7,1,5,9,96.11,32.42,86.46,97.04,48.62
2,20,8,4,5,32,27.12,52.37,54.95,98.17,57.6
2,20,9,2,5,29,89.67,93.07,84.17,66.51,98.49
2,20,10,20,1,27,58.91,84.11,65.89,39.98,90.96
2,20,11,1,5,35,91.79,26.14,49.55,67.2,69.6
2,20,12,5,4,17,44.17,40.94,64.34,44.25,79.64
2,20,13,7,5,4,21.59,24.9,80.31,22.85,69.47
2,20,14,20,1,8,59.53,50.09,75.56,58.22,0.9
2,20,15,8,5,38,68.55,43.56,18.79,24.64,10.8
2,20,16,8,4,21,20.82,46.86,17.68,24.76,61.38
2,20,17,3,4,6,37.98,32.41,93.61,35.63,27.62
2,20,18,3,5,30,49.9,2.85,90.19,62.37,18.35
2,20,19,4,4,14,40.57,56.42,7.34,80.88,99.02
2,20,20,10,6,37,34.28,42.0,7.38,74.76,44.48
2,20,21,1,4,34,78.92,22.84,51.44,29.98,8.11
2,20,22,7,3,20,17.11,41.51,4.22,71.77,1.91
2,20,23,8,4,40,79.89,70.4,25.35,24.43,23.83
2,20,24,5,4,24,50.37,49.56,30.66,16.09,79.86
2,20,25,8,5,26,73.07,47.78,13.37,88.04,20.16
2,20,26,8,6,3,64.2,21.53,24.27,43.41,21.9
2,20,27,14,5,12,64.88,71.61,48.43,12.84,60.69
2,20,28,14,5,39,12.86,28.53,65.68,32.97,95.83
2,20,29,2,5,16,30.15,92.27,87.04,27.3,83.97
2,20,30,14,3,36,18.24,52.96,46.35,40.77,17.54
2,20,31,2,5,7,42.74,97.58,72.16,45.9,74.95
2,20,32,5,5,31,13.31,8.8,22.28,32.06,97.62
2,20,33,8,4,25,4.16,25.91,89.1,34.11,60.06
2,20,34,17,6,23,42.37,64.56,60.08,49.57,36.07
2,20,35,1,4,5,90.39,90.32,14.05,43.16,76.99
2,20,36,14,4,1,33.11,18.54,15.94,11.25,3.96
2,20,37,19,9,33,52.55,40.33,70.04,6.43,72.41
2,20,38,3,5,19,27.75,65.46,95.24,32.93,81.65
2,20,39,3,4,18,1.91,9.68,87.84,20.77,57.67
2,20,40,4,5,22,72.35,30.84,63.31,80.41,65.47
3,5,1,5,1,4,80.64,26.12,39.64,20.99,5.54
3,5,2,5,1,19,56.79,32.83,9.16,11.21,28.59
3,5,3,1,9,14,97.57,84.66,49.56,84.79,47.7
3,5,4,1,7,23,85.57,0.93,8.29,74.34,45.3
3,5,5,5,1,1,72.53,20.53,37.3,55.41,48.34
3,5,6,1,8,21,93.65,13.72,87.13,18.5,12.63
3,5,7,1,8,40,90.6,57.93,36.22,47.47,72.58
3,5,8,5,1,27,75.33,71.0,73.57,13.4,6.67
3,5,9,2,7,38,1.6,84.14,28.73,10.6,21.34
3,5,10,2,8,5,42.62,88.69,59.69,50.12,19.12
3,5,11,2,7,18,47.82,86.43,79.5,1.09,22.96
3,5,12,5,1,29,40.69,64.4,20.55,35.77,24.26
3,5,13,2,7,28,41.56,81.14,15.1,29.74,40.65
3,5,14,5,4,2,16.7,79.29,44.57,3.28,72.47
3,5,15,2,8,10,26.96,82.33,72.0,53.6,79.91
3,5,16,2,7,3,38.94,87.86,60.85,23.82,18.41
3,5,17,3,9,16,21.58,38.91,99.33,8.09,25.73
3,5,18,3,7,39,10.19,32.5,60.65,24.1,1.96
3,5,19,5,1,7,4.28,59.75,63.31,10.15,46.28
3,5,20,1,7,35,81.06,8.23,84.36,54.35,27.14
3,5,21,3,9,33,62.95,56.27,99.72,49.44,22.11
3,5,22,3,8,37,79.27,20.71,91.32,48.54,40.19
3,5,23,3,9,6,23.29,18.97,94.04,19.48,16.74
3,5,24,3,7,30,55.75,47.9,75.58,71.25,66.86
3,5,25,5,1,32,32.2,12.46,35.46,42.2,39.75
3,5,26,4,7,26,24.08,0.51,17.78,79.51,67.9
3,5,27,4,7,11,4.06,29.95,44.94,75.46,19.64
3,5,28,4,8,22,36.77,55.08,53.56,68.71,11.83
3,5,29,4,8,20,20.1,30.46,4.03,77.66,17.1
3,5,30,4,9,36,59.93,73.74,57.24,96.09,8.58
3,5,31,4,9,34,66.99,0.61,11.28,90.36,15.49
3,5,32,4,9,15,54.21,16.72,3.2,94.74,26.35
3,5,33,5,9,9,65.68,4.26,62.89,54.59,97.3
3,5,34,5,9,17,43.71,70.63,22.08,52.41,80.06
3,5,35,4,7,25,16.26,45.62,18.84,59.7,82.0
3,5,36,5,9,8,78.69,11.41,14.97,44.7,87.95
3,5,37,5,9,31,64.86,24.37,61.51,18.96,85.23
3,5,38,5,9,12,7.95,21.81,3.95,26.67,67.8
3,5,39,5,9,24,38.87,67.67,55.2,12.99,87.42
3,5,40,5,9,13,56.89,29.93,38.25,12.07,85.33
3,10,1,1,8,23,97.47,40.22,51.55,51.02,59.36
3,10,2,10,1,29,85.56,20.49,47.81,38.13,42.42
3,10,3,1,9,6,99.55,94.77,17.22,37.31,34.97
3,10,4,8,7,13,65.85,56.09,40.85,13.95,42.12
3,10,5,10,1,32,65.09,86.18,18.31,5.58,32.32
3,10,6,10,1,16,87.5,89.26,1.7,51.66,4.18
3,10,7,2,9,10,26.17,98.8,66.31,46.15,28.85
3,10,8,10,1,2,13.03,95.84,45.74,57.76,83.81
3,10,9,3,7,18,77.08,73.87,84.07,2.58,41.25
3,10,10,10,1,24,33.25,59.52,87.56,19.9,35.55
3,10,11,3,9,31,64.13,14.49,99.28,77.71,93.54
3,10,12,3,6,1,65.29,72.92,89.05,33.29,73.82
3,10,13,4,8,17,81.78,14.59,72.99,97.31,78.06
3,10,14,4,9,33,0.17,23.8,7.96,99.58,93.74
3,10,15,4,7,26,40.71,19.05,24.62,93.17,10.68
3,10,16,4,7,35,42.53,3.29,8.78,89.55,39.7
3,10,17,5,9,21,52.74,39.65,46.45,25.38,98.62
3,10,18,5,7,9,50.8,9.5,57.14,61.64,70.72
3,10,19,3,8,11,24.82,31.31,90.76,77.18,95.78
3,10,20,5,8,3,7.2,25.71,37.72,1.71,95.72
3,10,21,5,8,39,80.74,42.22,68.02,66.19,93.73
3,10,22,6,8,7,86.9,60.3,66.28,41.9,46.05
3,10,23,4,7,4,40.81,25.04,33.45,79.89,42.57
3,10,24,6,9,19,8.42,15.41,61.44,16.83,61.97
3,10,25,10,1,34,47.11,4.8,58.31,34.88,4.52
3,10,26,7,8,8,63.58,74.62,43.79,55.12,43.72
3,10,27,2,8,36,40.93,87.82,63.91,36.57,53.41
3,10,28,7,9,28,46.51,24.55,57.43,7.71,22.49
3,10,29,8,8,15,28.45,41.14,72.02,18.18,46.1
3,10,30,8,9,30,77.26,88.45,82.63,33.84,65.52
3,10,31,8,6,40,28.0,15.36,15.88,56.86,29.52
3,10,32,3,8,5,46.01,69.99,93.61,8.95,38.69
3,10,33,10,1,12,1.7,37.5,24.16,54.02,67.98
3,10,34,6,7,22,0.34,34.73,13.02,0.62,15.46
3,10,35,7,7,20,59.21,43.91,29.47,2.21,40.21
3,10,36,5,6,14,15.27,21.13,12.35,60.78,79.66
3,10,37,7,8,25,51.05,40.37,28.69,48.66,78.66
3,10,38,1,8,38,96.21,47.58,67.49,11.64,69.56
3,10,39,6,7,37,17.39,89.04,51.56,64.15,22.18
3,10,40,10,9,27,54.81,27.94,17.51,81.86,26.83
3,20,1,20,1,36,93.43,69.55,76.24,40.54,1.33
3,20,2,1,7,30,97.8,71.89,55.65,63.55,51.07
3,20,3,2,9,1,9.72,99.6,38.46,64.12,88.29
3,20,4,2,8,12,20.72,97.49,43.45,52.29,40.97
3,20,5,1,8,37,97.76,15.01,99.28,27.23,73.15
3,20,6,20,1,10,82.96,31.73,83.36,78.58,6.0
3,20,7,1,7,5,96.11,32.42,86.46,97.04,48.62
3,20,8,4,9,3,27.12,52.37,54.95,98.17,57.6
3,20,9,2,8,17,89.67,93.07,84.17,66.51,98.49
3,20,10,2,6,2,58.91,84.11,65.89,39.98,90.96
3,20,11,20,1,16,91.79,26.14,49.55,67.2,69.6
3,20,12,6,9,18,44.17,40.94,64.34,44.25,79.64
3,20,13,3,7,20,21.59,24.9,80.31,22.85,69.47
3,20,14,20,1,28,59.53,50.09,75.56,58.22,0.9
3,20,15,8,7,7,68.55,43.56,18.79,24.64,10.8
3,20,16,20,1,32,20.82,46.86,17.68,24.76,61.38
3,20,17,3,7,13,37.98,32.41,93.61,35.63,27.62
3,20,18,3,6,34,49.9,2.85,90.19,62.37,18.35
3,20,19,5,9,25,40.57,56.42,7.34,80.88,99.02
3,20,20,10,8,15,34.28,42.0,7.38,74.76,44.48
3,20,21,11,8,40,78.92,22.84,51.44,29.98,8.11
3,20,22,11,9,29,17.11,41.51,4.22,71.77,1.91
3,20,23,8,7,19,79.89,70.4,25.35,24.43,23.83
3,20,24,20,1,39,50.37,49.56,30.66,16.09,79.86
3,20,25,12,5,23,73.07,47.78,13.37,88.04,20.16
3,20,26,8,7,21,64.2,21.53,24.27,43.41,21.9
3,20,27,14,9,14,64.88,71.61,48.43,12.84,60.69
3,20,28,5,7,33,12.86,28.53,65.68,32.97,95.83
3,20,29,2,7,22,30.15,92.27,87.04,27.3,83.97
3,20,30,15,8,6,18.24,52.96,46.35,40.77,17.54
3,20,31,9,6,9,42.74,97.58,72.16,45.9,74.95
3,20,32,5,8,27,13.31,8.8,22.28,32.06,97.62
3,20,33,8,9,31,4.16,25.91,89.1,34.11,60.06
3,20,34,17,9,4,42.37,64.56,60.08,49.57,36.07
3,20,35,18,9,24,90.39,90.32,14.05,43.16,76.99
3,20,36,14,7,35,33.11,18.54,15.94,11.25,3.96
3,20,37,19,9,26,52.55,40.33,70.04,6.43,72.41
3,20,38,3,7,11,27.75,65.46,95.24,32.93,81.65
3,20,39,14,8,38,1.91,9.68,87.84,20.77,57.67
3,20,40,12,7,8,72.35,30.84,63.31,80.41,65.47
4,5,1,1,8,34,80.64,26.12,39.64,20.99,5.54
4,5,2,5,1,15,56.79,32.83,9.16,11.21,28.59
4,5,3,1,9,12,97.57,84.66,49.56,84.79,47.7
4,5,4,1,8,1,85.57,0.93,8.29,74.34,45.3
4,5,5,5,1,28,72.53,20.53,37.3,55.41,48.34
4,5,6,1,9,39,93.65,13.72,87.13,18.5,12.63
4,5,7,1,8,8,90.6,57.93,36.22,47.47,72.58
4,5,8,5,1,11,75.33,71.0,73.57,13.4,6.67
4,5,9,2,7,6,1.6,84.14,28.73,10.6,21.34
4,5,10,2,8,10,42.62,88.69,59.69,50.12,19.12
4,5,11,2,8,27,47.82,86.43,79.5,1.09,22.96
4,5,12,5,1,37,40.69,64.4,20.55,35.77,24.26
4,5,13,2,8,2,41.56,81.14,15.1,29.74,40.65
4,5,14,2,7,29,16.7,79.29,44.57,3.28,72.47
4,5,15,2,7,33,26.96,82.33,72.0,53.6,79.91
4,5,16,2,8,36,38.94,87.86,60.85,23.82,18.41
4,5,17,3,9,16,21.58,38.91,99.33,8.09,25.73
4,5,18,5,1,4,10.19,32.5,60.65,24.1,1.96
4,5,19,5,1,25,4.28,59.75,63.31,10.15,46.28
4,5,20,1,7,30,81.06,8.23,84.36,54.35,27.14
4,5,21,3,9,5,62.95,56.27,99.72,49.44,22.11
4,5,22,3,9,40,79.27,20.71,91.32,48.54,40.19
4,5,23,3,9,35,23.29,18.97,94.04,19.48,16.74
4,5,24,3,6,26,55.75,47.9,75.58,71.25,66.86
4,5,25,4,5,7,32.2,12.46,35.46,42.2,39.75
4,5,26,4,8,38,24.08,0.51,17.78,79.51,67.9
4,5,27,4,8,20,4.06,29.95,44.94,75.46,19.64
4,5,28,4,6,17,36.77,55.08,53.56,68.71,11.83
4,5,29,4,8,13,20.1,30.46,4.03,77.66,17.1
4,5,30,4,9,3,59.93,73.74,57.24,96.09,8.58
4,5,31,4,9,21,66.99,0.61,11.28,90.36,15.49
4,5,32,4,9,19,54.21,16.72,3.2,94.74,26.35
4,5,33,5,9,24,65.68,4.26,62.89,54.59,97.3
4,5,34,2,7,9,43.71,70.63,22.08,52.41,80.06
4,5,35,4,7,23,16.26,45.62,18.84,59.7,82.0
4,5,36,1,8,22,78.69,11.41,14.97,44.7,87.95
4,5,37,5,9,18,64.86,24.37,61.51,18.96,85.23
4,5,38,5,9,32,7.95,21.81,3.95,26.67,67.8
4,5,39,5,9,31,38.87,67.67,55.2,12.99,87.42
4,5,40,5,9,14,56.89,29.93,38.25,12.07,85.33
4,10,1,1,9,35,97.47,40.22,51.55,51.02,59.36
4,10,2,2,5,2,85.56,20.49,47.81,38.13,42.42
4,10,3,1,9,12,99.55,94.77,17.22,37.31,34.97
4,10,4,10,1,28,65.85,56.09,40.85,13.95,42.12
4,10,5,10,1,14,65.09,86.18,18.31,5.58,32.32
4,10,6,1,6,22,87.5,89.26,1.7,51.66,4.18
4,10,7,2,9,8,26.17,98.8,66.31,46.15,28.85
4,10,8,2,9,19,13.03,95.84,45.74,57.76,83.81
4,10,9,10,1,20,77.08,73.87,84.07,2.58,41.25
4,10,10,3,7,23,33.25,59.52,87.56,19.9,35.55
4,10,11,3,9,24,64.13,14.49,99.28,77.71,93.54
4,10,12,4,8,36,65.29,72.92,89.05,33.29,73.82
4,10,13,4,9,11,81.78,14.59,72.99,97.31,78.06
4,10,14,4,9,29,0.17,23.8,7.96,99.58,93.74
4,10,15,4,8,39,40.71,19.05,24.62,93.17,10.68
4,10,16,4,7,13,42.53,3.29,8.78,89.55,39.7
4,10,17,5,9,27,52.74,39.65,46.45,25.38,98.62
4,10,18,10,1,10,50.8,9.5,57.14,61.64,70.72
4,10,19,5,8,38,24.82,31.31,90.76,77.18,95.78
4,10,20,5,8,17,7.2,25.71,37.72,1.71,95.72
4,10,21,5,8,4,80.74,42.22,68.02,66.19,93.73
4,10,22,1,8,32,86.9,60.3,66.28,41.9,46.05
4,10,23,6,8,25,40.81,25.04,33.45,79.89,42.57
4,10,24,10,1,16,8.42,15.41,61.44,16.83,61.97
4,10,25,10,2,40,47.11,4.8,58.31,34.88,4.52
4,10,26,7,8,37,63.58,74.62,43.79,55.12,43.72
4,10,27,7,8,26,40.93,87.82,63.91,36.57,53.41
4,10,28,7,9,34,46.51,24.55,57.43,7.71,22.49
4,10,29,8,8,33,28.45,41.14,72.02,18.18,46.1
4,10,30,2,7,31,77.26,88.45,82.63,33.84,65.52
4,10,31,8,5,6,28.0,15.36,15.88,56.86,29.52
4,10,32,3,7,3,46.01,69.99,93.61,8.95,38.69
4,10,33,9,7,1,1.7,37.5,24.16,54.02,67.98
4,10,34,9,8,9,0.34,34.73,13.02,0.62,15.46
