participant,question,questionText,truth,estimate
74,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,10.0
75,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,10.0
76,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,15.0
77,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,50.0
78,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,20.0
79,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,51.0
80,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,20.0
81,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,52.0
82,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,50.0
83,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,10.0
84,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,50.0
85,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,15.0
86,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,60.0
87,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,20.0
88,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,50.0
89,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,10.0
90,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,5.0
91,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,52.0
92,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,1.0
93,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,57.0
94,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,10.0
95,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,20.0
96,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,5.0
97,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,10.0
98,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,50.0
99,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,4.0
100,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,5.0
101,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,45.0
102,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,50.0
103,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,5.0
104,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,0.0
105,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,50.0
106,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,10.0
107,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,12.0
108,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,90.0
109,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,10.0
110,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,15.0
111,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,10.0
112,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,55.0
113,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,15.0
114,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,50.0
115,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,95.0
116,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,75.0
117,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,10.0
118,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,80.0
119,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,80.0
120,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,25.0
121,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,20.0
122,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,35.0
123,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,55.0
124,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,60.0
125,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,50.0
126,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,52.0
127,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,50.0
128,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,50.0
129,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,7.0
130,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,50.0
131,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,5.0
132,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,30.0
133,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,50.0
134,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,15.0
135,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,60.0
136,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,10.0
137,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,20.0
138,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,55.0
139,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,50.0
140,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,20.0
141,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,50.0
142,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,2.0
143,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,85.0
144,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,20.0
145,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,50.0
1,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,65.0
2,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,50.0
3,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,40.0
4,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,50.0
5,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,45.0
6,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,40.0
7,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,60.0
8,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,35.0
9,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,70.0
10,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,50.0
11,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,35.0
12,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,35.0
13,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,20.0
14,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,20.0
15,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,50.0
16,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,75.0
17,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,60.0
18,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,80.0
19,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,45.0
20,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,30.0
21,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,50.0
22,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,60.0
23,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,75.0
24,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,25.0
25,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,40.0
26,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,55.0
27,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,65.0
28,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,40.0
29,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,60.0
30,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,40.0
31,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,45.0
32,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,55.0
33,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,50.0
34,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,25.0
35,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,50.0
36,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,45.0
37,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,75.0
38,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,15.0
39,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,21.0
40,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,40.0
41,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,40.0
42,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,55.0
43,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,75.0
44,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,30.0
45,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,50.0
46,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,40.0
47,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,20.0
48,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,65.0
49,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,60.0
50,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,70.0
51,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,50.0
52,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,40.0
53,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,60.0
54,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,30.0
55,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,60.0
56,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,6.0
57,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,45.0
58,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,80.0
59,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,65.0
60,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,40.0
61,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,66.0
62,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,40.0
63,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,60.0
64,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,60.0
65,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,50.0
66,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,78.0
67,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,60.0
68,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,30.0
69,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,25.0
70,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,30.0
71,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,30.0
72,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,50.0
73,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,30.0
74,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,68.0
75,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,30.0
76,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,40.0
77,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,50.0
78,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,60.0
79,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,60.0
80,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,40.0
81,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,50.0
82,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,55.0
83,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,20.0
84,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,25.0
85,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,25.0
86,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,60.0
87,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,40.0
88,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,60.0
89,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,15.0
90,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,30.0
91,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,55.0
92,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,33.0
93,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,59.0
94,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,20.0
95,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,30.0
96,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,20.0
97,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,40.0
98,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,40.0
99,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,5.0
100,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,30.0
101,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,50.0
102,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,70.0
103,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,5.0
104,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,30.0
105,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,50.0
106,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,25.0
107,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,15.0
108,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,70.0
109,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,25.0
110,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,50.0
111,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,60.0
112,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,60.0
113,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,20.0
114,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,45.0
115,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,70.0
116,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,30.0
117,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,35.0
118,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,80.0
119,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,90.0
120,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,70.0
121,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,30.0
122,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,40.0
123,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,65.0
124,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,75.0
125,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,50.0
126,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,30.0
127,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,55.0
128,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,30.0
129,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,15.0
130,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,50.0
131,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,60.0
132,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,35.0
133,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,55.0
134,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,50.0
135,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,60.0
136,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,10.0
137,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,65.0
138,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,55.0
139,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,85.0
140,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,80.0
141,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,50.0
142,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,25.0
143,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,10.0
144,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,35.0
145,2,What is the probability that a team that is ahead at the 25th minute will win?,0.7083,40.0
1,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,75.0
2,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,80.0
3,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,50.0
4,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,70.0
5,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,65.0
6,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,40.0
7,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,70.0
8,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,50.0
9,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,65.0
10,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,50.0
11,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,50.0
12,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,60.0
13,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,8.0
14,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,50.0
15,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,65.0
16,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,50.0
17,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,50.0
18,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,50.0
19,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,50.0
20,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,50.0
21,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,50.0
22,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,60.0
23,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,50.0
24,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,50.0
25,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,80.0
26,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,60.0
27,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,50.0
28,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,60.0
29,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,66.0
30,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,50.0
31,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,50.0
32,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,62.0
33,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,50.0
34,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,50.0
35,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,60.0
36,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,60.0
37,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,50.0
38,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,85.0
39,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,50.0
40,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,65.0
41,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,75.0
42,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,60.0
43,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,65.0
44,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,50.0
45,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,80.0
46,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,60.0
47,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,50.0
48,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,75.0
49,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,70.0
50,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,85.0
51,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,60.0
52,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,50.0
53,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,75.0
54,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,50.0
55,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,65.0
56,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,6.0
57,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,50.0
58,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,80.0
59,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,75.0
60,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,90.0
61,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,55.0
62,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,70.0
63,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,60.0
64,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,65.0
65,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,50.0
66,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,75.0
67,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,50.0
68,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,60.0
69,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,50.0
70,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,60.0
71,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,50.0
72,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,50.0
73,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,70.0
74,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,78.0
75,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,60.0
76,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,70.0
77,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,50.0
78,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,65.0
79,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,80.0
80,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,65.0
81,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,70.0
82,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,60.0
83,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,75.0
84,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,40.0
85,3,"If a team is ahead at half-time, what is the probability that this team will win?",0.7823,60.0
