participant,problem,problemOrder,choicePosition,cost,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12
3,7,24,6,344,415,446,398,392,396,344,429,387,440,554,438,358
3,8,1,12,497,436,430,450,427,381,393,371,414,377,441,444,497
3,9,12,12,497,465,412,418,411,366,394,378,384,408,448,499,497
3,10,29,9,357,424,432,385,397,361,369,394,436,357,452,433,301
3,11,3,6,339,412,409,393,396,411,339,389,363,424,382,415,588
3,12,36,7,377,415,421,401,427,356,360,377,408,396,442,614,483
3,13,23,12,557,439,434,428,409,385,382,387,404,452,388,402,557
3,14,47,12,626,423,450,438,383,371,390,379,399,392,542,525,626
3,15,32,6,365,425,458,410,392,439,365,373,394,437,413,470,549
3,16,39,7,368,432,421,414,397,373,382,368,389,528,438,556,689
3,17,28,7,378,460,423,441,418,375,363,378,397,474,468,301,612
3,18,26,12,376,411,453,407,390,362,396,375,369,472,505,699,376
3,19,21,11,417,428,443,414,416,395,402,396,403,459,495,417,449
3,20,42,11,359,414,434,339,431,403,400,395,454,430,455,359,394
3,21,41,6,369,433,412,417,419,380,369,402,390,385,503,521,614
3,22,18,7,380,450,445,396,413,428,411,380,376,369,350,603,426
3,23,49,9,380,435,412,379,401,388,385,391,444,380,386,347,660
3,24,16,8,364,424,445,416,422,395,367,407,364,379,375,417,687
3,25,13,8,373,368,411,418,399,372,384,402,373,468,471,551,301
3,26,20,6,359,436,431,385,379,396,359,404,409,453,388,301,389
3,27,6,12,616,412,436,382,397,391,401,413,424,447,442,504,616
3,28,19,8,358,416,434,420,436,403,355,402,358,429,440,316,590
3,29,40,6,338,406,402,452,414,422,338,377,385,409,488,456,509
3,30,5,7,361,406,412,425,417,393,352,361,419,475,486,373,456
3,31,35,8,390,409,458,410,370,356,372,396,390,425,523,379,561
3,32,34,9,371,439,423,420,400,398,387,401,382,371,517,520,486
3,33,37,9,398,418,443,373,407,361,380,387,400,398,562,586,699
3,34,11,12,301,436,431,415,414,380,370,374,421,353,410,417,301
3,35,33,12,477,393,368,440,412,358,391,378,417,414,466,625,477
3,36,9,7,392,430,419,413,387,354,397,392,358,427,425,431,495
3,37,43,11,481,425,453,370,404,375,356,388,408,444,472,481,553
3,38,8,5,373,396,453,419,417,373,377,427,402,454,444,312,614
3,39,50,10,421,419,412,415,416,361,372,386,389,439,421,381,527
3,40,46,10,369,420,457,443,415,410,370,425,429,521,369,456,511
3,41,14,9,442,425,436,446,402,403,389,381,395,442,398,441,626
3,42,17,9,301,429,403,393,381,345,378,353,410,301,425,414,433
3,43,44,7,407,428,394,410,393,383,409,407,421,426,461,565,422
3,44,48,8,402,466,439,416,381,385,395,387,402,451,412,462,410
3,45,38,7,415,450,463,432,387,383,375,415,397,337,434,480,444
3,46,10,8,391,427,418,424,367,373,378,363,391,458,507,361,494
3,47,7,9,403,406,421,390,382,389,361,393,420,403,427,419,493
3,48,31,1,387,387,444,407,382,403,378,373,436,353,457,439,510
3,49,22,11,340,420,447,387,375,358,391,368,428,461,415,340,462
3,50,2,12,669,431,421,433,399,388,389,403,392,400,527,475,669
4,1,3,7,373,419,423,407,384,374,375,373,391,433,556,490,619
4,2,22,12,530,425,414,407,420,386,396,408,403,411,459,575,530
4,3,9,6,387,446,428,417,385,386,387,351,415,401,443,510,524
4,4,11,6,361,429,463,405,395,387,361,404,419,376,353,534,449
4,5,18,9,382,419,425,392,411,384,401,409,406,382,433,424,473
4,6,27,6,365,405,416,423,419,409,365,385,424,403,369,450,498
4,7,38,12,358,415,446,398,392,396,344,429,387,440,554,438,358
4,8,40,7,371,436,430,450,427,381,393,371,414,377,441,444,497
4,9,35,6,394,465,412,418,411,366,394,378,384,408,448,499,497
4,10,43,9,357,424,432,385,397,361,369,394,436,357,452,433,301
4,11,48,6,339,412,409,393,396,411,339,389,363,424,382,415,588
4,12,5,12,483,415,421,401,427,356,360,377,408,396,442,614,483
4,13,17,6,382,439,434,428,409,385,382,387,404,452,388,402,557
4,14,26,7,379,423,450,438,383,371,390,379,399,392,542,525,626
4,15,20,6,365,425,458,410,392,439,365,373,394,437,413,470,549
4,16,36,7,368,432,421,414,397,373,382,368,389,528,438,556,689
4,17,46,6,363,460,423,441,418,375,363,378,397,474,468,301,612
4,18,44,7,375,411,453,407,390,362,396,375,369,472,505,699,376
4,19,1,12,449,428,443,414,416,395,402,396,403,459,495,417,449
4,20,12,11,359,414,434,339,431,403,400,395,454,430,455,359,394
4,21,42,6,369,433,412,417,419,380,369,402,390,385,503,521,614
4,22,25,7,380,450,445,396,413,428,411,380,376,369,350,603,426
4,23,6,7,391,435,412,379,401,388,385,391,444,380,386,347,660
4,24,49,8,364,424,445,416,422,395,367,407,364,379,375,417,687
4,25,30,1,368,368,411,418,399,372,384,402,373,468,471,551,301
4,26,2,6,359,436,431,385,379,396,359,404,409,453,388,301,389
4,27,39,8,424,412,436,382,397,391,401,413,424,447,442,504,616
4,28,31,6,355,416,434,420,436,403,355,402,358,429,440,316,590
4,29,41,6,338,406,402,452,414,422,338,377,385,409,488,456,509
4,30,29,11,373,406,412,425,417,393,352,361,419,475,486,373,456
4,31,21,8,390,409,458,410,370,356,372,396,390,425,523,379,561
4,32,16,5,398,439,423,420,400,398,387,401,382,371,517,520,486
4,33,34,6,380,418,443,373,407,361,380,387,400,398,562,586,699
4,34,10,12,301,436,431,415,414,380,370,374,421,353,410,417,301
4,35,4,5,358,393,368,440,412,358,391,378,417,414,466,625,477
4,36,7,6,397,430,419,413,387,354,397,392,358,427,425,431,495
4,37,14,1,425,425,453,370,404,375,356,388,408,444,472,481,553
4,38,45,6,377,396,453,419,417,373,377,427,402,454,444,312,614
4,39,8,10,421,419,412,415,416,361,372,386,389,439,421,381,527
4,40,24,6,370,420,457,443,415,410,370,425,429,521,369,456,511
4,41,50,9,442,425,436,446,402,403,389,381,395,442,398,441,626
4,42,32,12,433,429,403,393,381,345,378,353,410,301,425,414,433
4,43,37,7,407,428,394,410,393,383,409,407,421,426,461,565,422
4,44,19,9,451,466,439,416,381,385,395,387,402,451,412,462,410
4,45,13,7,415,450,463,432,387,383,375,415,397,337,434,480,444
4,46,15,7,363,427,418,424,367,373,378,363,391,458,507,361,494
4,47,33,6,361,406,421,390,382,389,361,393,420,403,427,419,493
4,48,23,6,378,387,444,407,382,403,378,373,436,353,457,439,510
4,49,47,5,358,420,447,387,375,358,391,368,428,461,415,340,462
4,50,28,12,669,431,421,433,399,388,389,403,392,400,527,475,669
5,1,50,7,373,419,423,407,384,374,375,373,391,433,556,490,619
5,2,8,11,575,425,414,407,420,386,396,408,403,411,459,575,530
5,3,32,6,387,446,428,417,385,386,387,351,415,401,443,510,524
5,4,17,9,376,429,463,405,395,387,361,404,419,376,353,534,449
5,5,1,7,409,419,425,392,411,384,401,409,406,382,433,424,473
5,6,4,6,365,405,416,423,419,409,365,385,424,403,369,450,498
5,7,36,6,344,415,446,398,392,396,344,429,387,440,554,438,358
5,8,9,7,371,436,430,450,427,381,393,371,414,377,441,444,497
5,9,37,5,366,465,412,418,411,366,394,378,384,408,448,499,497
5,10,24,5,361,424,432,385,397,361,369,394,436,357,452,433,301
5,11,25,6,339,412,409,393,396,411,339,389,363,424,382,415,588
5,12,43,5,356,415,421,401,427,356,360,377,408,396,442,614,483
5,13,7,10,388,439,434,428,409,385,382,387,404,452,388,402,557
5,14,49,5,371,423,450,438,383,371,390,379,399,392,542,525,626
5,15,20,6,365,425,458,410,392,439,365,373,394,437,413,470,549
5,16,28,7,368,432,421,414,397,373,382,368,389,528,438,556,689
5,17,44,6,363,460,423,441,418,375,363,378,397,474,468,301,612
5,18,13,5,362,411,453,407,390,362,396,375,369,472,505,699,376
5,19,19,12,449,428,443,414,416,395,402,396,403,459,495,417,449
5,20,46,3,339,414,434,339,431,403,400,395,454,430,455,359,394
5,21,33,5,380,433,412,417,419,380,369,402,390,385,503,521,614
5,22,3,7,380,450,445,396,413,428,411,380,376,369,350,603,426
5,23,31,6,385,435,412,379,401,388,385,391,444,380,386,347,660
5,24,27,8,364,424,445,416,422,395,367,407,364,379,375,417,687
5,25,29,12,301,368,411,418,399,372,384,402,373,468,471,551,301
5,26,16,6,359,436,431,385,379,396,359,404,409,453,388,301,389
5,27,41,12,616,412,436,382,397,391,401,413,424,447,442,504,616
5,28,6,6,355,416,434,420,436,403,355,402,358,429,440,316,590
5,29,48,7,377,406,402,452,414,422,338,377,385,409,488,456,509
5,30,21,5,393,406,412,425,417,393,352,361,419,475,486,373,456
5,31,11,8,390,409,458,410,370,356,372,396,390,425,523,379,561
5,32,12,5,398,439,423,420,400,398,387,401,382,371,517,520,486
5,33,22,6,380,418,443,373,407,361,380,387,400,398,562,586,699
5,34,39,5,380,436,431,415,414,380,370,374,421,353,410,417,301
5,35,2,5,358,393,368,440,412,358,391,378,417,414,466,625,477
5,36,15,6,397,430,419,413,387,354,397,392,358,427,425,431,495
5,37,18,11,481,425,453,370,404,375,356,388,408,444,472,481,553
5,38,14,5,373,396,453,419,417,373,377,427,402,454,444,312,614
5,39,40,6,372,419,412,415,416,361,372,386,389,439,421,381,527
5,40,34,6,370,420,457,443,415,410,370,425,429,521,369,456,511
5,41,26,5,403,425,436,446,402,403,389,381,395,442,398,441,626
5,42,45,10,425,429,403,393,381,345,378,353,410,301,425,414,433
5,43,23,12,422,428,394,410,393,383,409,407,421,426,461,565,422
5,44,35,9,451,466,439,416,381,385,395,387,402,451,412,462,410
5,45,10,4,387,450,463,432,387,383,375,415,397,337,434,480,444
5,46,30,7,363,427,418,424,367,373,378,363,391,458,507,361,494
5,47,5,6,361,406,421,390,382,389,361,393,420,403,427,419,493
5,48,47,6,378,387,444,407,382,403,378,373,436,353,457,439,510
5,49,38,5,358,420,447,387,375,358,391,368,428,461,415,340,462
5,50,42,6,389,431,421,433,399,388,389,403,392,400,527,475,669
6,1,24,5,374,419,423,407,384,374,375,373,391,433,556,490,619
6,2,10,5,386,425,414,407,420,386,396,408,403,411,459,575,530
6,3,15,5,386,446,428,417,385,386,387,351,415,401,443,510,524
6,4,12,6,361,429,463,405,395,387,361,404,419,376,353,534,449
6,5,36,6,401,419,425,392,411,384,401,409,406,382,433,424,473
6,6,42,6,365,405,416,423,419,409,365,385,424,403,369,450,498
6,7,33,6,344,415,446,398,392,396,344,429,387,440,554,438,358
6,8,19,5,381,436,430,450,427,381,393,371,414,377,441,444,497
6,9,38,5,366,465,412,418,411,366,394,378,384,408,448,499,497
6,10,43,6,369,424,432,385,397,361,369,394,436,357,452,433,301
6,11,3,6,339,412,409,393,396,411,339,389,363,424,382,415,588
6,12,7,6,360,415,421,401,427,356,360,377,408,396,442,614,483
6,13,34,12,557,439,434,428,409,385,382,387,404,452,388,402,557
6,14,29,6,390,423,450,438,383,371,390,379,399,392,542,525,626
6,15,4,6,365,425,458,410,392,439,365,373,394,437,413,470,549
6,16,22,6,382,432,421,414,397,373,382,368,389,528,438,556,689
6,17,16,5,375,460,423,441,418,375,363,378,397,474,468,301,612
6,18,21,6,396,411,453,407,390,362,396,375,369,472,505,699,376
6,19,13,6,402,428,443,414,416,395,402,396,403,459,495,417,449
6,20,30,7,395,414,434,339,431,403,400,395,454,430,455,359,394
6,21,14,5,380,433,412,417,419,380,369,402,390,385,503,521,614
6,22,27,6,411,450,445,396,413,428,411,380,376,369,350,603,426
6,23,50,9,380,435,412,379,401,388,385,391,444,380,386,347,660
6,24,5,6,367,424,445,416,422,395,367,407,364,379,375,417,687
6,25,8,8,373,368,411,418,399,372,384,402,373,468,471,551,301
6,26,1,6,359,436,431,385,379,396,359,404,409,453,388,301,389
6,27,20,12,616,412,436,382,397,391,401,413,424,447,442,504,616
6,28,41,6,355,416,434,420,436,403,355,402,358,429,440,316,590
6,29,17,6,338,406,402,452,414,422,338,377,385,409,488,456,509
6,30,49,6,352,406,412,425,417,393,352,361,419,475,486,373,456
6,31,45,6,372,409,458,410,370,356,372,396,390,425,523,379,561
6,32,47,3,420,439,423,420,400,398,387,401,382,371,517,520,486
6,33,25,6,380,418,443,373,407,361,380,387,400,398,562,586,699
6,34,28,6,370,436,431,415,414,380,370,374,421,353,410,417,301
6,35,40,4,412,393,368,440,412,358,391,378,417,414,466,625,477
6,36,31,6,397,430,419,413,387,354,397,392,358,427,425,431,495
6,37,39,5,375,425,453,370,404,375,356,388,408,444,472,481,553
6,38,6,5,373,396,453,419,417,373,377,427,402,454,444,312,614
6,39,23,6,372,419,412,415,416,361,372,386,389,439,421,381,527
6,40,35,6,370,420,457,443,415,410,370,425,429,521,369,456,511
6,41,11,5,403,425,436,446,402,403,389,381,395,442,398,441,626
6,42,18,7,353,429,403,393,381,345,378,353,410,301,425,414,433
6,43,9,6,409,428,394,410,393,383,409,407,421,426,461,565,422
6,44,2,6,395,466,439,416,381,385,395,387,402,451,412,462,410
6,45,46,7,415,450,463,432,387,383,375,415,397,337,434,480,444
6,46,32,6,378,427,418,424,367,373,378,363,391,458,507,361,494
6,47,48,5,389,406,421,390,382,389,361,393,420,403,427,419,493
6,48,37,6,378,387,444,407,382,403,378,373,436,353,457,439,510
6,49,44,5,358,420,447,387,375,358,391,368,428,461,415,340,462
6,50,26,5,388,431,421,433,399,388,389,403,392,400,527,475,669
7,1,3,6,375,419,423,407,384,374,375,373,391,433,556,490,619
7,2,21,8,403,425,414,407,420,386,396,408,403,411,459,575,530
7,3,39,6,387,446,428,417,385,386,387,351,415,401,443,510,524
7,4,13,6,361,429,463,405,395,387,361,404,419,376,353,534,449
7,5,16,9,382,419,425,392,411,384,401,409,406,382,433,424,473
7,6,47,6,365,405,416,423,419,409,365,385,424,403,369,450,498
7,7,10,5,396,415,446,398,392,396,344,429,387,440,554,438,358
7,8,49,5,381,436,430,450,427,381,393,371,414,377,441,444,497
7,9,26,5,366,465,412,418,411,366,394,378,384,408,448,499,497
7,10,17,6,369,424,432,385,397,361,369,394,436,357,452,433,301
7,11,44,6,339,412,409,393,396,411,339,389,363,424,382,415,588
7,12,34,5,356,415,421,401,427,356,360,377,408,396,442,614,483
7,13,22,6,382,439,434,428,409,385,382,387,404,452,388,402,557
7,14,24,5,371,423,450,438,383,371,390,379,399,392,542,525,626
7,15,1,6,365,425,458,410,392,439,365,373,394,437,413,470,549
7,16,6,6,382,432,421,414,397,373,382,368,389,528,438,556,689
7,17,7,6,363,460,423,441,418,375,363,378,397,474,468,301,612
7,18,50,7,375,411,453,407,390,362,396,375,369,472,505,699,376
7,19,30,7,396,428,443,414,416,395,402,396,403,459,495,417,449
7,20,42,7,395,414,434,339,431,403,400,395,454,430,455,359,394
7,21,48,6,369,433,412,417,419,380,369,402,390,385,503,521,614
7,22,36,7,380,450,445,396,413,428,411,380,376,369,350,603,426
7,23,43,6,385,435,412,379,401,388,385,391,444,380,386,347,660
7,24,46,5,395,424,445,416,422,395,367,407,364,379,375,417,687
7,25,45,5,372,368,411,418,399,372,384,402,373,468,471,551,301
7,26,5,6,359,436,431,385,379,396,359,404,409,453,388,301,389
7,27,4,12,616,412,436,382,397,391,401,413,424,447,442,504,616
7,28,37,6,355,416,434,420,436,403,355,402,358,429,440,316,590
7,29,28,6,338,406,402,452,414,422,338,377,385,409,488,456,509
7,30,29,7,361,406,412,425,417,393,352,361,419,475,486,373,456
7,31,27,7,396,409,458,410,370,356,372,396,390,425,523,379,561
7,32,8,5,398,439,423,420,400,398,387,401,382,371,517,520,486
7,33,12,6,380,418,443,373,407,361,380,387,400,398,562,586,699
7,34,31,7,374,436,431,415,414,380,370,374,421,353,410,417,301
7,35,14,4,412,393,368,440,412,358,391,378,417,414,466,625,477
7,36,19,5,354,430,419,413,387,354,397,392,358,427,425,431,495
7,37,35,6,356,425,453,370,404,375,356,388,408,444,472,481,553
7,38,15,6,377,396,453,419,417,373,377,427,402,454,444,312,614
7,39,11,6,372,419,412,415,416,361,372,386,389,439,421,381,527
7,40,23,6,370,420,457,443,415,410,370,425,429,521,369,456,511
7,41,38,5,403,425,436,446,402,403,389,381,395,442,398,441,626
7,42,41,7,353,429,403,393,381,345,378,353,410,301,425,414,433
7,43,9,7,407,428,394,410,393,383,409,407,421,426,461,565,422
7,44,18,6,395,466,439,416,381,385,395,387,402,451,412,462,410
7,45,32,6,375,450,463,432,387,383,375,415,397,337,434,480,444
7,46,25,4,367,427,418,424,367,373,378,363,391,458,507,361,494
7,47,20,6,361,406,421,390,382,389,361,393,420,403,427,419,493
7,48,33,6,378,387,444,407,382,403,378,373,436,353,457,439,510
7,49,2,6,391,420,447,387,375,358,391,368,428,461,415,340,462
7,50,40,6,389,431,421,433,399,388,389,403,392,400,527,475,669
8,1,47,4,384,419,423,407,384,374,375,373,391,433,556,490,619
8,2,17,5,386,425,414,407,420,386,396,408,403,411,459,575,530
8,3,43,7,351,446,428,417,385,386,387,351,415,401,443,510,524
8,4,40,4,395,429,463,405,395,387,361,404,419,376,353,534,449
8,5,41,6,401,419,425,392,411,384,401,409,406,382,433,424,473
8,6,25,6,365,405,416,423,419,409,365,385,424,403,369,450,498
8,7,12,6,344,415,446,398,392,396,344,429,387,440,554,438,358
8,8,10,6,393,436,430,450,427,381,393,371,414,377,441,444,497
8,9,46,5,366,465,412,418,411,366,394,378,384,408,448,499,497
8,10,28,5,361,424,432,385,397,361,369,394,436,357,452,433,301
8,11,24,4,396,412,409,393,396,411,339,389,363,424,382,415,588
8,12,14,6,360,415,421,401,427,356,360,377,408,396,442,614,483
8,13,11,6,382,439,434,428,409,385,382,387,404,452,388,402,557
8,14,23,6,390,423,450,438,383,371,390,379,399,392,542,525,626
8,15,22,6,365,425,458,410,392,439,365,373,394,437,413,470,549
8,16,27,8,389,432,421,414,397,373,382,368,389,528,438,556,689
8,17,30,7,378,460,423,441,418,375,363,378,397,474,468,301,612
8,18,19,7,375,411,453,407,390,362,396,375,369,472,505,699,376
8,19,1,6,402,428,443,414,416,395,402,396,403,459,495,417,449
8,20,8,3,339,414,434,339,431,403,400,395,454,430,455,359,394
8,21,38,6,369,433,412,417,419,380,369,402,390,385,503,521,614
8,22,45,7,380,450,445,396,413,428,411,380,376,369,350,603,426
8,23,4,5,388,435,412,379,401,388,385,391,444,380,386,347,660
8,24,50,6,367,424,445,416,422,395,367,407,364,379,375,417,687
8,25,9,5,372,368,411,418,399,372,384,402,373,468,471,551,301
8,26,33,6,359,436,431,385,379,396,359,404,409,453,388,301,389
8,27,2,12,616,412,436,382,397,391,401,413,424,447,442,504,616
8,28,44,6,355,416,434,420,436,403,355,402,358,429,440,316,590
8,29,49,6,338,406,402,452,414,422,338,377,385,409,488,456,509
8,30,15,8,419,406,412,425,417,393,352,361,419,475,486,373,456
8,31,5,7,396,409,458,410,370,356,372,396,390,425,523,379,561
8,32,26,6,387,439,423,420,400,398,387,401,382,371,517,520,486
8,33,31,5,361,418,443,373,407,361,380,387,400,398,562,586,699
8,34,6,5,380,436,431,415,414,380,370,374,421,353,410,417,301
8,35,35,6,391,393,368,440,412,358,391,378,417,414,466,625,477
8,36,7,6,397,430,419,413,387,354,397,392,358,427,425,431,495
8,37,32,8,408,425,453,370,404,375,356,388,408,444,472,481,553
8,38,34,6,377,396,453,419,417,373,377,427,402,454,444,312,614
8,39,36,6,372,419,412,415,416,361,372,386,389,439,421,381,527
8,40,48,8,429,420,457,443,415,410,370,425,429,521,369,456,511
8,41,29,6,389,425,436,446,402,403,389,381,395,442,398,441,626
8,42,18,10,425,429,403,393,381,345,378,353,410,301,425,414,433
8,43,39,7,407,428,394,410,393,383,409,407,421,426,461,565,422
8,44,3,8,402,466,439,416,381,385,395,387,402,451,412,462,410
8,45,16,5,383,450,463,432,387,383,375,415,397,337,434,480,444
8,46,20,10,507,427,418,424,367,373,378,363,391,458,507,361,494
8,47,13,6,361,406,421,390,382,389,361,393,420,403,427,419,493
8,48,42,6,378,387,444,407,382,403,378,373,436,353,457,439,510
8,49,37,5,358,420,447,387,375,358,391,368,428,461,415,340,462
8,50,21,4,399,431,421,433,399,388,389,403,392,400,527,475,669
9,1,19,4,384,419,423,407,384,374,375,373,391,433,556,490,619
9,2,34,12,530,425,414,407,420,386,396,408,403,411,459,575,530
9,3,7,7,351,446,428,417,385,386,387,351,415,401,443,510,524
9,4,44,6,361,429,463,405,395,387,361,404,419,376,353,534,449
9,5,33,9,382,419,425,392,411,384,401,409,406,382,433,424,473
9,6,46,6,365,405,416,423,419,409,365,385,424,403,369,450,498
9,7,5,6,344,415,446,398,392,396,344,429,387,440,554,438,358
9,8,37,6,393,436,430,450,427,381,393,371,414,377,441,444,497
