participant,quarter,session,problem,presentationOrder,burstPoint,nPumps,burst
217,W2023,1,9,17.0,5,4,0
217,W2023,1,10,7.0,5,4,0
217,W2023,1,11,13.0,5,2,0
217,W2023,1,12,14.0,4,4,1
217,W2023,1,13,9.0,4,3,0
217,W2023,1,14,4.0,3,2,0
217,W2023,1,15,11.0,3,3,1
217,W2023,1,16,1.0,2,2,1
217,W2023,1,17,20.0,2,2,1
217,W2023,1,18,16.0,1,1,1
217,W2023,1,19,8.0,1,1,1
217,W2023,1,20,3.0,1,1,1
392,W2023,1,1,11.0,11,4,0
392,W2023,1,2,5.0,9,7,0
392,W2023,1,3,3.0,8,4,0
392,W2023,1,4,9.0,8,7,0
392,W2023,1,5,17.0,7,7,1
392,W2023,1,6,13.0,6,2,0
392,W2023,1,7,2.0,6,4,0
392,W2023,1,8,19.0,5,1,0
392,W2023,1,9,15.0,5,4,0
392,W2023,1,10,8.0,5,4,0
392,W2023,1,11,10.0,5,4,0
392,W2023,1,12,4.0,4,4,1
392,W2023,1,13,12.0,4,4,1
392,W2023,1,14,7.0,3,3,1
392,W2023,1,15,18.0,3,3,1
392,W2023,1,16,20.0,2,2,1
392,W2023,1,17,14.0,2,2,1
392,W2023,1,18,1.0,1,1,1
392,W2023,1,19,16.0,1,1,1
392,W2023,1,20,6.0,1,1,1
343,W2023,1,1,6.0,11,3,0
343,W2023,1,2,7.0,9,3,0
343,W2023,1,3,16.0,8,5,0
343,W2023,1,4,9.0,8,5,0
343,W2023,1,5,19.0,7,3,0
343,W2023,1,6,5.0,6,4,0
343,W2023,1,7,14.0,6,3,0
343,W2023,1,8,2.0,5,5,1
343,W2023,1,9,4.0,5,5,1
343,W2023,1,10,3.0,5,4,0
343,W2023,1,11,20.0,5,3,0
343,W2023,1,12,8.0,4,4,1
343,W2023,1,13,12.0,4,4,1
343,W2023,1,14,11.0,3,3,1
343,W2023,1,15,18.0,3,3,1
343,W2023,1,16,10.0,2,2,1
343,W2023,1,17,15.0,2,2,1
343,W2023,1,18,1.0,1,1,1
343,W2023,1,19,13.0,1,1,1
343,W2023,1,20,17.0,1,1,1
267,W2023,1,1,2.0,11,7,0
267,W2023,1,2,5.0,9,8,0
267,W2023,1,3,19.0,8,6,0
267,W2023,1,4,20.0,8,7,0
267,W2023,1,5,12.0,7,5,0
267,W2023,1,6,8.0,6,6,1
267,W2023,1,7,1.0,6,6,1
267,W2023,1,8,13.0,5,5,1
267,W2023,1,9,14.0,5,4,0
267,W2023,1,10,11.0,5,5,1
267,W2023,1,11,15.0,5,5,1
267,W2023,1,12,3.0,4,4,1
267,W2023,1,13,17.0,4,4,1
267,W2023,1,14,10.0,3,3,1
267,W2023,1,15,7.0,3,3,1
267,W2023,1,16,9.0,2,2,1
267,W2023,1,17,18.0,2,2,1
267,W2023,1,18,16.0,1,1,1
267,W2023,1,19,6.0,1,1,1
267,W2023,1,20,4.0,1,1,1
438,W2023,1,1,19.0,11,4,0
438,W2023,1,2,18.0,9,2,0
438,W2023,1,3,4.0,8,1,0
438,W2023,1,4,13.0,8,0,0
438,W2023,1,5,20.0,7,4,0
438,W2023,1,6,3.0,6,4,0
438,W2023,1,7,12.0,6,2,0
438,W2023,1,8,14.0,5,4,0
438,W2023,1,9,1.0,5,5,1
438,W2023,1,10,8.0,5,2,0
438,W2023,1,11,7.0,5,3,0
438,W2023,1,12,6.0,4,3,0
438,W2023,1,13,9.0,4,3,0
438,W2023,1,14,15.0,3,2,0
438,W2023,1,15,16.0,3,3,1
438,W2023,1,16,2.0,2,2,1
438,W2023,1,17,5.0,2,2,1
438,W2023,1,18,10.0,1,1,1
438,W2023,1,19,11.0,1,1,1
438,W2023,1,20,17.0,1,1,1
443,W2023,1,1,13.0,11,5,0
443,W2023,1,2,15.0,9,4,0
443,W2023,1,3,17.0,8,2,0
443,W2023,1,4,19.0,8,3,0
443,W2023,1,5,3.0,7,6,0
443,W2023,1,6,6.0,6,4,0
443,W2023,1,7,10.0,6,5,0
443,W2023,1,8,4.0,5,5,1
443,W2023,1,9,2.0,5,5,1
443,W2023,1,10,1.0,5,5,1
443,W2023,1,11,8.0,5,5,1
443,W2023,1,12,18.0,4,4,1
443,W2023,1,13,7.0,4,3,0
443,W2023,1,14,12.0,3,3,1
443,W2023,1,15,16.0,3,3,1
443,W2023,1,16,5.0,2,2,1
443,W2023,1,17,9.0,2,2,1
443,W2023,1,18,20.0,1,1,1
443,W2023,1,19,11.0,1,1,1
443,W2023,1,20,14.0,1,1,1
52,W2023,1,1,3.0,11,4,0
52,W2023,1,2,11.0,9,4,0
52,W2023,1,3,18.0,8,3,0
52,W2023,1,4,6.0,8,3,0
52,W2023,1,5,1.0,7,4,0
52,W2023,1,6,2.0,6,2,0
52,W2023,1,7,10.0,6,2,0
52,W2023,1,8,4.0,5,1,0
52,W2023,1,9,5.0,5,4,0
52,W2023,1,10,9.0,5,5,1
52,W2023,1,11,15.0,5,3,0
52,W2023,1,12,12.0,4,2,0
52,W2023,1,13,20.0,4,2,0
52,W2023,1,14,14.0,3,3,1
52,W2023,1,15,16.0,3,3,1
52,W2023,1,16,8.0,2,2,1
52,W2023,1,17,19.0,2,2,1
52,W2023,1,18,13.0,1,1,1
52,W2023,1,19,17.0,1,1,1
52,W2023,1,20,7.0,1,1,1
258,W2023,1,1,19.0,11,3,0
258,W2023,1,2,5.0,9,4,0
258,W2023,1,3,18.0,8,3,0
258,W2023,1,4,7.0,8,4,0
258,W2023,1,5,3.0,7,3,0
258,W2023,1,6,12.0,6,6,1
258,W2023,1,7,8.0,6,4,0
258,W2023,1,8,2.0,5,3,0
258,W2023,1,9,13.0,5,4,0
258,W2023,1,10,11.0,5,3,0
258,W2023,1,11,10.0,5,3,0
258,W2023,1,12,20.0,4,4,1
258,W2023,1,13,17.0,4,4,1
258,W2023,1,14,14.0,3,3,1
258,W2023,1,15,9.0,3,2,0
258,W2023,1,16,1.0,2,2,1
258,W2023,1,17,16.0,2,2,1
258,W2023,1,18,4.0,1,1,1
258,W2023,1,19,6.0,1,1,1
258,W2023,1,20,15.0,1,1,1
30,W2023,1,1,19.0,11,4,0
30,W2023,1,2,3.0,9,2,0
30,W2023,1,3,11.0,8,3,0
30,W2023,1,4,5.0,8,4,0
30,W2023,1,5,7.0,7,4,0
30,W2023,1,6,10.0,6,5,0
30,W2023,1,7,20.0,6,4,0
30,W2023,1,8,18.0,5,5,1
30,W2023,1,9,9.0,5,4,0
30,W2023,1,10,8.0,5,4,0
30,W2023,1,11,6.0,5,4,0
30,W2023,1,12,12.0,4,4,1
30,W2023,1,13,17.0,4,4,1
30,W2023,1,14,1.0,3,3,1
30,W2023,1,15,16.0,3,3,1
30,W2023,1,16,14.0,2,2,1
30,W2023,1,17,15.0,2,2,1
30,W2023,1,18,4.0,1,1,1
30,W2023,1,19,2.0,1,1,1
30,W2023,1,20,13.0,1,1,1
422,W2023,1,1,17.0,11,3,0
422,W2023,1,2,14.0,9,3,0
422,W2023,1,3,6.0,8,3,0
422,W2023,1,4,3.0,8,2,0
422,W2023,1,5,4.0,7,3,0
422,W2023,1,6,18.0,6,3,0
422,W2023,1,7,7.0,6,3,0
422,W2023,1,8,1.0,5,4,0
422,W2023,1,9,10.0,5,3,0
422,W2023,1,10,2.0,5,2,0
422,W2023,1,11,9.0,5,3,0
422,W2023,1,12,8.0,4,2,0
422,W2023,1,13,15.0,4,3,0
422,W2023,1,14,16.0,3,3,1
422,W2023,1,15,5.0,3,3,1
422,W2023,1,16,19.0,2,2,1
422,W2023,1,17,12.0,2,2,1
422,W2023,1,18,20.0,1,1,1
422,W2023,1,19,11.0,1,1,1
422,W2023,1,20,13.0,1,1,1
553,W2023,1,1,15.0,11,3,0
553,W2023,1,2,16.0,9,3,0
553,W2023,1,3,8.0,8,3,0
553,W2023,1,4,17.0,8,2,0
553,W2023,1,5,10.0,7,4,0
553,W2023,1,6,9.0,6,4,0
553,W2023,1,7,2.0,6,2,0
553,W2023,1,8,6.0,5,3,0
553,W2023,1,9,14.0,5,2,0
553,W2023,1,10,20.0,5,3,0
553,W2023,1,11,18.0,5,3,0
553,W2023,1,12,11.0,4,2,0
553,W2023,1,13,12.0,4,3,0
553,W2023,1,14,13.0,3,3,1
553,W2023,1,15,4.0,3,3,1
553,W2023,1,16,19.0,2,2,1
553,W2023,1,17,1.0,2,2,1
553,W2023,1,18,3.0,1,1,1
553,W2023,1,19,7.0,1,1,1
553,W2023,1,20,5.0,1,1,1
66,W2023,1,1,14.0,11,4,0
66,W2023,1,2,1.0,9,4,0
66,W2023,1,3,4.0,8,2,0
66,W2023,1,4,11.0,8,5,0
66,W2023,1,5,17.0,7,2,0
66,W2023,1,6,7.0,6,4,0
66,W2023,1,7,13.0,6,3,0
66,W2023,1,8,9.0,5,3,0
66,W2023,1,9,8.0,5,3,0
66,W2023,1,10,6.0,5,5,1
66,W2023,1,11,10.0,5,5,1
66,W2023,1,12,19.0,4,1,0
66,W2023,1,13,2.0,4,4,1
66,W2023,1,14,18.0,3,2,0
66,W2023,1,15,5.0,3,3,1
66,W2023,1,16,15.0,2,2,1
66,W2023,1,17,16.0,2,2,1
66,W2023,1,18,20.0,1,1,1
66,W2023,1,19,3.0,1,1,1
66,W2023,1,20,12.0,1,1,1
486,W2023,1,1,17.0,11,1,0
486,W2023,1,2,11.0,9,3,0
486,W2023,1,3,4.0,8,4,0
486,W2023,1,4,9.0,8,3,0
486,W2023,1,5,18.0,7,3,0
486,W2023,1,6,6.0,6,2,0
486,W2023,1,7,5.0,6,3,0
486,W2023,1,8,8.0,5,3,0
486,W2023,1,9,12.0,5,4,0
486,W2023,1,10,15.0,5,4,0
486,W2023,1,11,1.0,5,2,0
486,W2023,1,12,14.0,4,4,1
486,W2023,1,13,7.0,4,3,0
486,W2023,1,14,16.0,3,2,0
486,W2023,1,15,20.0,3,3,1
486,W2023,1,16,10.0,2,2,1
486,W2023,1,17,2.0,2,2,1
486,W2023,1,18,19.0,1,1,1
486,W2023,1,19,13.0,1,1,1
486,W2023,1,20,3.0,1,1,1
183,W2023,1,1,9.0,11,3,0
183,W2023,1,2,15.0,9,6,0
183,W2023,1,3,19.0,8,3,0
183,W2023,1,4,5.0,8,5,0
183,W2023,1,5,4.0,7,4,0
183,W2023,1,6,7.0,6,3,0
183,W2023,1,7,10.0,6,6,1
183,W2023,1,8,8.0,5,5,1
183,W2023,1,9,17.0,5,3,0
183,W2023,1,10,13.0,5,3,0
183,W2023,1,11,18.0,5,3,0
183,W2023,1,12,14.0,4,4,1
183,W2023,1,13,3.0,4,4,1
183,W2023,1,14,2.0,3,3,1
183,W2023,1,15,20.0,3,3,1
183,W2023,1,16,16.0,2,2,1
183,W2023,1,17,6.0,2,2,1
183,W2023,1,18,12.0,1,1,1
183,W2023,1,19,11.0,1,1,1
183,W2023,1,20,1.0,1,1,1
496,W2023,1,1,9.0,11,5,0
496,W2023,1,2,3.0,9,4,0
496,W2023,1,3,1.0,8,3,0
496,W2023,1,4,11.0,8,5,0
496,W2023,1,5,15.0,7,3,0
496,W2023,1,6,20.0,6,2,0
496,W2023,1,7,14.0,6,6,1
496,W2023,1,8,10.0,5,3,0
496,W2023,1,9,2.0,5,2,0
496,W2023,1,10,18.0,5,3,0
496,W2023,1,11,5.0,5,5,1
496,W2023,1,12,7.0,4,4,1
496,W2023,1,13,12.0,4,3,0
496,W2023,1,14,13.0,3,3,1
496,W2023,1,15,4.0,3,3,1
496,W2023,1,16,16.0,2,2,1
496,W2023,1,17,6.0,2,2,1
496,W2023,1,18,17.0,1,1,1
496,W2023,1,19,19.0,1,1,1
496,W2023,1,20,8.0,1,1,1
139,W2023,1,1,10.0,11,3,0
139,W2023,1,2,5.0,9,2,0
139,W2023,1,3,14.0,8,3,0
139,W2023,1,4,7.0,8,3,0
139,W2023,1,5,4.0,7,2,0
139,W2023,1,6,19.0,6,3,0
139,W2023,1,7,16.0,6,2,0
139,W2023,1,8,3.0,5,3,0
139,W2023,1,9,6.0,5,4,0
139,W2023,1,10,18.0,5,3,0
139,W2023,1,11,15.0,5,4,0
139,W2023,1,12,11.0,4,4,1
139,W2023,1,13,20.0,4,2,0
139,W2023,1,14,1.0,3,3,1
139,W2023,1,15,13.0,3,3,1
139,W2023,1,16,17.0,2,2,1
139,W2023,1,17,8.0,2,2,1
139,W2023,1,18,12.0,1,1,1
139,W2023,1,19,9.0,1,1,1
139,W2023,1,20,2.0,1,1,1
218,W2023,1,1,8.0,11,6,0
218,W2023,1,2,16.0,9,4,0
218,W2023,1,3,19.0,8,8,1
218,W2023,1,4,10.0,8,0,0
218,W2023,1,5,6.0,7,6,0
218,W2023,1,6,17.0,6,5,0
218,W2023,1,7,11.0,6,2,0
218,W2023,1,8,2.0,5,5,1
218,W2023,1,9,7.0,5,3,0
218,W2023,1,10,18.0,5,4,0
218,W2023,1,11,5.0,5,3,0
218,W2023,1,12,9.0,4,1,0
218,W2023,1,13,4.0,4,4,1
218,W2023,1,14,20.0,3,3,1
218,W2023,1,15,13.0,3,3,1
218,W2023,1,16,15.0,2,2,1
218,W2023,1,17,14.0,2,2,1
218,W2023,1,18,12.0,1,1,1
218,W2023,1,19,1.0,1,1,1
218,W2023,1,20,3.0,1,1,1
346,W2023,1,1,10.0,11,3,0
346,W2023,1,2,14.0,9,3,0
346,W2023,1,3,18.0,8,3,0
346,W2023,1,4,13.0,8,2,0
346,W2023,1,5,3.0,7,3,0
346,W2023,1,6,1.0,6,2,0
346,W2023,1,7,7.0,6,4,0
346,W2023,1,8,19.0,5,3,0
346,W2023,1,9,15.0,5,3,0
346,W2023,1,10,11.0,5,4,0
346,W2023,1,11,2.0,5,5,1
346,W2023,1,12,4.0,4,2,0
346,W2023,1,13,17.0,4,2,0
346,W2023,1,14,6.0,3,3,1
346,W2023,1,15,8.0,3,2,0
346,W2023,1,16,20.0,2,2,1
346,W2023,1,17,16.0,2,2,1
346,W2023,1,18,5.0,1,1,1
346,W2023,1,19,12.0,1,1,1
346,W2023,1,20,9.0,1,1,1
565,W2023,1,1,10.0,11,11,1
565,W2023,1,2,14.0,9,9,1
565,W2023,1,3,18.0,8,8,1
565,W2023,1,4,13.0,8,8,1
565,W2023,1,5,3.0,7,7,1
565,W2023,1,6,1.0,6,6,1
565,W2023,1,7,7.0,6,6,1
565,W2023,1,8,19.0,5,5,1
565,W2023,1,9,15.0,5,5,1
565,W2023,1,10,11.0,5,5,1
565,W2023,1,11,2.0,5,5,1
565,W2023,1,12,4.0,4,4,1
565,W2023,1,13,17.0,4,4,1
565,W2023,1,14,6.0,3,3,1
565,W2023,1,15,8.0,3,3,1
565,W2023,1,16,20.0,2,2,1
565,W2023,1,17,16.0,2,2,1
565,W2023,1,18,5.0,1,1,1
565,W2023,1,19,12.0,1,1,1
565,W2023,1,20,9.0,1,1,1
404,W2023,1,1,8.0,11,2,0
404,W2023,1,2,5.0,9,3,0
404,W2023,1,3,9.0,8,3,0
404,W2023,1,4,20.0,8,3,0
404,W2023,1,5,14.0,7,4,0
404,W2023,1,6,2.0,6,3,0
404,W2023,1,7,17.0,6,3,0
404,W2023,1,8,12.0,5,2,0
404,W2023,1,9,16.0,5,0,0
404,W2023,1,10,1.0,5,3,0
404,W2023,1,11,11.0,5,4,0
404,W2023,1,12,19.0,4,2,0
404,W2023,1,13,10.0,4,1,0
404,W2023,1,14,7.0,3,2,0
404,W2023,1,15,6.0,3,2,0
404,W2023,1,16,13.0,2,1,0
404,W2023,1,17,18.0,2,2,1
404,W2023,1,18,15.0,1,1,1
404,W2023,1,19,3.0,1,1,1
404,W2023,1,20,4.0,1,1,1
299,W2023,1,1,14.0,11,6,0
299,W2023,1,2,3.0,9,3,0
299,W2023,1,3,11.0,8,2,0
299,W2023,1,4,1.0,8,3,0
299,W2023,1,5,10.0,7,5,0
299,W2023,1,6,15.0,6,3,0
299,W2023,1,7,17.0,6,4,0
299,W2023,1,8,4.0,5,4,0
299,W2023,1,9,9.0,5,4,0
299,W2023,1,10,18.0,5,5,1
299,W2023,1,11,2.0,5,4,0
299,W2023,1,12,7.0,4,3,0
299,W2023,1,13,8.0,4,4,1
299,W2023,1,14,13.0,3,3,1
299,W2023,1,15,5.0,3,3,1
299,W2023,1,16,20.0,2,2,1
299,W2023,1,17,19.0,2,2,1
299,W2023,1,18,16.0,1,1,1
299,W2023,1,19,12.0,1,1,1
299,W2023,1,20,6.0,1,1,1
368,W2023,1,1,9.0,11,2,0
368,W2023,1,2,6.0,9,3,0
368,W2023,1,3,18.0,8,6,0
368,W2023,1,4,19.0,8,4,0
368,W2023,1,5,10.0,7,3,0
368,W2023,1,6,4.0,6,5,0
368,W2023,1,7,2.0,6,4,0
368,W2023,1,8,3.0,5,2,0
368,W2023,1,9,16.0,5,4,0
368,W2023,1,10,20.0,5,3,0
368,W2023,1,11,5.0,5,4,0
368,W2023,1,12,11.0,4,4,1
368,W2023,1,13,8.0,4,4,1
368,W2023,1,14,12.0,3,3,1
368,W2023,1,15,7.0,3,3,1
368,W2023,1,16,13.0,2,2,1
368,W2023,1,17,1.0,2,2,1
368,W2023,1,18,14.0,1,1,1
368,W2023,1,19,17.0,1,1,1
368,W2023,1,20,15.0,1,1,1
437,W2023,1,1,5.0,11,2,0
437,W2023,1,2,17.0,9,2,0
437,W2023,1,3,11.0,8,3,0
437,W2023,1,4,8.0,8,3,0
437,W2023,1,5,14.0,7,3,0
437,W2023,1,6,18.0,6,3,0
437,W2023,1,7,3.0,6,3,0
437,W2023,1,8,2.0,5,3,0
437,W2023,1,9,19.0,5,2,0
437,W2023,1,10,4.0,5,3,0
437,W2023,1,11,9.0,5,2,0
437,W2023,1,12,10.0,4,4,1
437,W2023,1,13,6.0,4,2,0
437,W2023,1,14,20.0,3,3,1
437,W2023,1,15,12.0,3,2,0
437,W2023,1,16,15.0,2,2,1
437,W2023,1,17,1.0,2,2,1
437,W2023,1,18,7.0,1,1,1
437,W2023,1,19,16.0,1,1,1
437,W2023,1,20,13.0,1,1,1
519,W2023,1,1,1.0,11,4,0
519,W2023,1,2,14.0,9,0,0
519,W2023,1,3,17.0,8,4,0
519,W2023,1,4,16.0,8,2,0
519,W2023,1,5,13.0,7,1,0
519,W2023,1,6,8.0,6,5,0
519,W2023,1,7,6.0,6,3,0
519,W2023,1,8,11.0,5,4,0
519,W2023,1,9,4.0,5,4,0
519,W2023,1,10,12.0,5,5,1
519,W2023,1,11,3.0,5,4,0
519,W2023,1,12,9.0,4,4,1
519,W2023,1,13,18.0,4,4,1
519,W2023,1,14,5.0,3,3,1
519,W2023,1,15,7.0,3,3,1
519,W2023,1,16,10.0,2,2,1
519,W2023,1,17,19.0,2,2,1
519,W2023,1,18,15.0,1,1,1
519,W2023,1,19,20.0,1,1,1
519,W2023,1,20,2.0,1,1,1
365,W2023,1,1,15.0,11,3,0
365,W2023,1,2,10.0,9,3,0
365,W2023,1,3,16.0,8,4,0
365,W2023,1,4,14.0,8,4,0
365,W2023,1,5,17.0,7,2,0
365,W2023,1,6,4.0,6,3,0
365,W2023,1,7,9.0,6,3,0
365,W2023,1,8,6.0,5,4,0
365,W2023,1,9,18.0,5,2,0
365,W2023,1,10,7.0,5,4,0
365,W2023,1,11,5.0,5,2,0
365,W2023,1,12,13.0,4,3,0
365,W2023,1,13,20.0,4,4,1
365,W2023,1,14,1.0,3,3,1
365,W2023,1,15,8.0,3,3,1
365,W2023,1,16,19.0,2,2,1
365,W2023,1,17,2.0,2,2,1
365,W2023,1,18,12.0,1,1,1
365,W2023,1,19,3.0,1,1,1
365,W2023,1,20,11.0,1,1,1
324,W2023,1,1,12.0,11,4,0
324,W2023,1,2,4.0,9,5,0
324,W2023,1,3,1.0,8,6,0
324,W2023,1,4,8.0,8,3,0
324,W2023,1,5,17.0,7,3,0
324,W2023,1,6,19.0,6,3,0
324,W2023,1,7,10.0,6,2,0
324,W2023,1,8,9.0,5,3,0
324,W2023,1,9,15.0,5,4,0
324,W2023,1,10,16.0,5,3,0
324,W2023,1,11,5.0,5,4,0
324,W2023,1,12,6.0,4,4,1
324,W2023,1,13,14.0,4,4,1
324,W2023,1,14,11.0,3,3,1
324,W2023,1,15,13.0,3,3,1
324,W2023,1,16,20.0,2,2,1
324,W2023,1,17,2.0,2,2,1
324,W2023,1,18,18.0,1,1,1
324,W2023,1,19,3.0,1,1,1
324,W2023,1,20,7.0,1,1,1
388,W2023,1,1,14.0,11,3,0
388,W2023,1,2,12.0,9,4,0
388,W2023,1,3,1.0,8,8,1
388,W2023,1,4,15.0,8,3,0
388,W2023,1,5,18.0,7,4,0
388,W2023,1,6,2.0,6,6,1
388,W2023,1,7,4.0,6,5,0
388,W2023,1,8,3.0,5,4,0
388,W2023,1,9,5.0,5,5,1
388,W2023,1,10,17.0,5,3,0
388,W2023,1,11,8.0,5,3,0
388,W2023,1,12,11.0,4,1,0
388,W2023,1,13,9.0,4,3,0
388,W2023,1,14,10.0,3,2,0
388,W2023,1,15,7.0,3,2,0
388,W2023,1,16,20.0,2,1,0
