participant,condition,conditionIndex,problem,sequenceLength,choicePosition,problemOrder,value1,value2,value3,value4
1,length4_neutral,0,29,4,2,40,56.0,34.0,22.0,64.0
1,length4_neutral,0,30,4,1,2,91.0,33.0,54.0,42.0
1,length4_neutral,0,31,4,3,18,50.0,69.0,72.0,20.0
1,length4_neutral,0,32,4,3,6,60.0,57.0,22.0,46.0
1,length4_neutral,0,33,4,1,11,10.0,37.0,84.0,36.0
1,length4_neutral,0,34,4,2,22,22.0,80.0,19.0,2.0
1,length4_neutral,0,35,4,1,24,35.0,86.0,84.0,77.0
1,length4_neutral,0,36,4,1,25,81.0,93.0,69.0,11.0
1,length4_neutral,0,37,4,1,32,67.0,27.0,37.0,45.0
1,length4_neutral,0,38,4,3,27,39.0,59.0,67.0,42.0
1,length4_neutral,0,39,4,3,12,7.0,35.0,27.0,3.0
1,length4_neutral,0,40,4,1,15,42.0,9.0,95.0,26.0
1,length4_plentiful,1,1,4,1,8,76.0,63.0,60.0,79.0
1,length4_plentiful,1,2,4,2,38,88.0,62.0,84.0,73.0
1,length4_plentiful,1,3,4,3,37,69.0,76.0,65.0,90.0
1,length4_plentiful,1,4,4,1,13,39.0,61.0,64.0,54.0
1,length4_plentiful,1,5,4,2,7,72.0,57.0,18.0,71.0
1,length4_plentiful,1,6,4,2,5,63.0,29.0,60.0,75.0
1,length4_plentiful,1,7,4,1,29,60.0,71.0,84.0,81.0
1,length4_plentiful,1,8,4,4,35,95.0,52.0,59.0,36.0
1,length4_plentiful,1,9,4,1,26,17.0,65.0,44.0,96.0
1,length4_plentiful,1,10,4,2,21,72.0,38.0,62.0,86.0
1,length4_plentiful,1,11,4,2,16,70.0,76.0,91.0,82.0
1,length4_plentiful,1,12,4,1,28,68.0,90.0,59.0,60.0
1,length4_plentiful,1,13,4,1,10,68.0,38.0,33.0,47.0
1,length4_plentiful,1,14,4,4,14,83.0,79.0,84.0,66.0
1,length4_plentiful,1,15,4,3,36,60.0,59.0,35.0,67.0
1,length4_plentiful,1,16,4,1,30,54.0,68.0,72.0,89.0
1,length4_plentiful,1,17,4,2,20,93.0,55.0,62.0,57.0
1,length4_plentiful,1,18,4,2,31,85.0,87.0,71.0,48.0
1,length4_plentiful,1,19,4,2,17,90.0,79.0,72.0,89.0
1,length4_plentiful,1,20,4,4,33,73.0,74.0,87.0,55.0
1,length4_plentiful,1,21,4,1,4,59.0,66.0,72.0,76.0
1,length4_plentiful,1,22,4,1,23,97.0,80.0,69.0,43.0
1,length4_plentiful,1,23,4,2,9,68.0,42.0,33.0,92.0
1,length4_plentiful,1,24,4,2,34,54.0,44.0,88.0,87.0
1,length4_plentiful,1,25,4,2,3,39.0,64.0,68.0,57.0
1,length4_plentiful,1,26,4,4,39,74.0,79.0,68.0,66.0
1,length4_plentiful,1,27,4,2,1,83.0,64.0,85.0,97.0
1,length4_plentiful,1,28,4,2,19,76.0,39.0,35.0,72.0
1,length4_plentiful,1,29,4,1,40,62.0,88.0,77.0,71.0
1,length4_plentiful,1,30,4,1,2,57.0,77.0,72.0,85.0
1,length4_plentiful,1,31,4,1,18,65.0,87.0,48.0,77.0
1,length4_plentiful,1,32,4,3,6,51.0,52.0,66.0,84.0
1,length4_plentiful,1,33,4,3,11,89.0,87.0,85.0,49.0
1,length4_plentiful,1,34,4,3,22,79.0,57.0,61.0,74.0
1,length4_plentiful,1,35,4,3,24,73.0,70.0,50.0,88.0
1,length4_plentiful,1,36,4,4,25,76.0,74.0,95.0,89.0
1,length4_plentiful,1,37,4,4,32,91.0,60.0,80.0,79.0
1,length4_plentiful,1,38,4,2,27,82.0,43.0,78.0,58.0
1,length4_plentiful,1,39,4,4,12,75.0,81.0,90.0,92.0
1,length4_plentiful,1,40,4,2,15,71.0,61.0,74.0,84.0
1,length8_neutral,2,1,8,1,8,56.0,15.0,66.0,36.0
1,length8_neutral,2,2,8,1,38,22.0,60.0,87.0,84.0
1,length8_neutral,2,3,8,1,37,63.0,74.0,38.0,46.0
1,length8_neutral,2,4,8,3,13,21.0,42.0,84.0,66.0
1,length8_neutral,2,5,8,2,7,93.0,3.0,8.0,59.0
1,length8_neutral,2,6,8,6,5,39.0,56.0,6.0,13.0
1,length8_neutral,2,7,8,2,29,37.0,60.0,82.0,84.0
1,length8_neutral,2,8,8,1,35,77.0,19.0,97.0,65.0
1,length8_neutral,2,9,8,3,26,14.0,26.0,59.0,37.0
1,length8_neutral,2,10,8,3,21,26.0,21.0,50.0,97.0
1,length8_neutral,2,11,8,3,16,58.0,2.0,87.0,9.0
1,length8_neutral,2,12,8,2,28,31.0,81.0,84.0,16.0
1,length8_neutral,2,13,8,3,10,28.0,24.0,62.0,55.0
1,length8_neutral,2,14,8,1,14,81.0,36.0,74.0,79.0
1,length8_neutral,2,15,8,3,36,85.0,12.0,40.0,50.0
1,length8_neutral,2,16,8,1,30,88.0,45.0,7.0,44.0
1,length8_neutral,2,17,8,2,20,42.0,98.0,63.0,28.0
1,length8_neutral,2,18,8,4,31,41.0,44.0,81.0,91.0
1,length8_neutral,2,19,8,2,17,49.0,63.0,15.0,81.0
1,length8_neutral,2,20,8,1,33,77.0,51.0,10.0,37.0
1,length8_neutral,2,21,8,1,4,87.0,95.0,62.0,79.0
1,length8_neutral,2,22,8,4,23,67.0,8.0,34.0,66.0
1,length8_neutral,2,23,8,3,9,8.0,30.0,59.0,32.0
1,length8_neutral,2,24,8,3,34,8.0,50.0,88.0,47.0
1,length8_neutral,2,25,8,3,3,10.0,8.0,27.0,33.0
1,length8_neutral,2,26,8,2,39,61.0,98.0,9.0,73.0
1,length8_neutral,2,27,8,2,1,62.0,72.0,16.0,4.0
1,length8_neutral,2,28,8,2,19,63.0,79.0,32.0,8.0
1,length8_neutral,2,29,8,1,40,92.0,8.0,20.0,75.0
1,length8_neutral,2,30,8,2,2,94.0,62.0,84.0,37.0
1,length8_neutral,2,31,8,1,18,94.0,87.0,24.0,12.0
1,length8_neutral,2,32,8,1,6,45.0,80.0,19.0,64.0
1,length8_neutral,2,33,8,3,11,77.0,66.0,91.0,36.0
1,length8_neutral,2,34,8,3,22,28.0,62.0,65.0,57.0
1,length8_neutral,2,35,8,3,24,7.0,39.0,73.0,35.0
1,length8_neutral,2,36,8,2,25,5.0,75.0,64.0,20.0
1,length8_neutral,2,37,8,2,32,2.0,49.0,12.0,5.0
1,length8_neutral,2,38,8,1,27,95.0,10.0,64.0,84.0
1,length8_neutral,2,39,8,1,12,93.0,5.0,57.0,61.0
1,length8_neutral,2,40,8,1,15,83.0,52.0,96.0,53.0
1,length8_plentiful,3,1,8,3,8,50.0,44.0,45.0,43.0
1,length8_plentiful,3,2,8,2,38,51.0,62.0,93.0,33.0
1,length8_plentiful,3,3,8,3,37,27.0,36.0,79.0,81.0
1,length8_plentiful,3,4,8,1,13,79.0,40.0,37.0,95.0
1,length8_plentiful,3,5,8,3,7,80.0,66.0,70.0,84.0
1,length8_plentiful,3,6,8,2,5,57.0,72.0,63.0,58.0
1,length8_plentiful,3,7,8,1,29,80.0,73.0,61.0,77.0
1,length8_plentiful,3,8,8,1,35,88.0,75.0,80.0,82.0
1,length8_plentiful,3,9,8,2,26,31.0,89.0,67.0,86.0
1,length8_plentiful,3,10,8,1,21,84.0,32.0,59.0,89.0
1,length8_plentiful,3,11,8,1,16,78.0,97.0,53.0,55.0
1,length8_plentiful,3,12,8,3,28,30.0,52.0,54.0,60.0
1,length8_plentiful,3,13,8,2,10,69.0,85.0,44.0,93.0
1,length8_plentiful,3,14,8,3,14,49.0,57.0,62.0,73.0
1,length8_plentiful,3,15,8,1,36,82.0,86.0,52.0,87.0
1,length8_plentiful,3,16,8,1,30,94.0,51.0,79.0,78.0
1,length8_plentiful,3,17,8,1,20,93.0,94.0,26.0,54.0
1,length8_plentiful,3,18,8,1,31,91.0,35.0,56.0,87.0
1,length8_plentiful,3,19,8,1,17,71.0,80.0,36.0,31.0
1,length8_plentiful,3,20,8,1,33,70.0,63.0,53.0,91.0
1,length8_plentiful,3,21,8,1,4,82.0,80.0,18.0,56.0
1,length8_plentiful,3,22,8,2,23,75.0,35.0,79.0,89.0
1,length8_plentiful,3,23,8,4,9,68.0,38.0,35.0,69.0
1,length8_plentiful,3,24,8,3,34,43.0,66.0,74.0,80.0
1,length8_plentiful,3,25,8,3,3,57.0,71.0,97.0,81.0
1,length8_plentiful,3,26,8,1,39,79.0,61.0,62.0,90.0
1,length8_plentiful,3,27,8,2,1,49.0,73.0,57.0,58.0
1,length8_plentiful,3,28,8,3,19,49.0,38.0,81.0,69.0
1,length8_plentiful,3,29,8,3,40,54.0,78.0,52.0,65.0
1,length8_plentiful,3,30,8,4,2,41.0,69.0,63.0,55.0
1,length8_plentiful,3,31,8,2,18,59.0,85.0,46.0,78.0
1,length8_plentiful,3,32,8,2,6,93.0,85.0,92.0,62.0
1,length8_plentiful,3,33,8,2,11,65.0,69.0,88.0,42.0
1,length8_plentiful,3,34,8,2,22,68.0,48.0,71.0,45.0
1,length8_plentiful,3,35,8,2,24,64.0,57.0,75.0,76.0
1,length8_plentiful,3,36,8,1,25,72.0,52.0,49.0,61.0
1,length8_plentiful,3,37,8,1,32,86.0,64.0,24.0,52.0
1,length8_plentiful,3,38,8,2,27,41.0,59.0,25.0,75.0
1,length8_plentiful,3,39,8,2,12,52.0,76.0,67.0,55.0
1,length8_plentiful,3,40,8,2,15,63.0,86.0,82.0,55.0
2,length4_neutral,0,1,4,4,31,49.0,39.0,25.0,81.0
2,length4_neutral,0,2,4,1,26,98.0,93.0,67.0,39.0
2,length4_neutral,0,3,4,3,35,52.0,1.0,85.0,50.0
2,length4_neutral,0,4,4,4,14,63.0,21.0,43.0,28.0
2,length4_neutral,0,5,4,2,22,3.0,93.0,67.0,77.0
2,length4_neutral,0,6,4,2,4,5.0,60.0,53.0,36.0
2,length4_neutral,0,7,4,2,6,12.0,91.0,36.0,95.0
2,length4_neutral,0,8,4,3,2,23.0,40.0,86.0,5.0
2,length4_neutral,0,9,4,2,19,56.0,72.0,22.0,25.0
2,length4_neutral,0,10,4,2,13,81.0,96.0,83.0,71.0
2,length4_neutral,0,11,4,2,30,11.0,98.0,61.0,64.0
2,length4_neutral,0,12,4,3,34,17.0,62.0,80.0,7.0
2,length4_neutral,0,13,4,3,5,42.0,36.0,91.0,16.0
2,length4_neutral,0,14,4,2,1,42.0,80.0,70.0,63.0
2,length4_neutral,0,15,4,4,40,3.0,28.0,25.0,84.0
2,length4_neutral,0,16,4,3,36,35.0,9.0,91.0,24.0
2,length4_neutral,0,17,4,4,20,22.0,26.0,24.0,21.0
2,length4_neutral,0,18,4,1,15,87.0,12.0,50.0,55.0
2,length4_neutral,0,19,4,4,21,36.0,7.0,15.0,44.0
2,length4_neutral,0,20,4,4,10,67.0,63.0,7.0,30.0
2,length4_neutral,0,21,4,2,39,62.0,81.0,72.0,61.0
2,length4_neutral,0,22,4,4,7,64.0,62.0,19.0,48.0
2,length4_neutral,0,23,4,3,27,79.0,69.0,97.0,43.0
2,length4_neutral,0,24,4,4,8,46.0,42.0,6.0,26.0
2,length4_neutral,0,25,4,1,11,62.0,9.0,70.0,94.0
2,length4_neutral,0,26,4,1,29,90.0,54.0,87.0,84.0
2,length4_neutral,0,27,4,1,32,74.0,75.0,43.0,78.0
2,length4_neutral,0,28,4,1,24,85.0,76.0,22.0,16.0
2,length4_neutral,0,29,4,4,23,56.0,34.0,22.0,64.0
2,length4_neutral,0,30,4,1,38,91.0,33.0,54.0,42.0
2,length4_neutral,0,31,4,4,9,50.0,69.0,72.0,20.0
2,length4_neutral,0,32,4,4,12,60.0,57.0,22.0,46.0
2,length4_neutral,0,33,4,3,3,10.0,37.0,84.0,36.0
2,length4_neutral,0,34,4,2,28,22.0,80.0,19.0,2.0
2,length4_neutral,0,35,4,2,18,35.0,86.0,84.0,77.0
2,length4_neutral,0,36,4,1,33,81.0,93.0,69.0,11.0
2,length4_neutral,0,37,4,4,37,67.0,27.0,37.0,45.0
2,length4_neutral,0,38,4,2,25,39.0,59.0,67.0,42.0
2,length4_neutral,0,39,4,4,16,7.0,35.0,27.0,3.0
2,length4_neutral,0,40,4,3,17,42.0,9.0,95.0,26.0
2,length4_plentiful,1,1,4,1,31,76.0,63.0,60.0,79.0
2,length4_plentiful,1,2,4,1,26,88.0,62.0,84.0,73.0
2,length4_plentiful,1,3,4,4,35,69.0,76.0,65.0,90.0
2,length4_plentiful,1,4,4,2,14,39.0,61.0,64.0,54.0
2,length4_plentiful,1,5,4,4,22,72.0,57.0,18.0,71.0
2,length4_plentiful,1,6,4,4,4,63.0,29.0,60.0,75.0
2,length4_plentiful,1,7,4,3,6,60.0,71.0,84.0,81.0
2,length4_plentiful,1,8,4,1,2,95.0,52.0,59.0,36.0
2,length4_plentiful,1,9,4,4,19,17.0,65.0,44.0,96.0
2,length4_plentiful,1,10,4,4,13,72.0,38.0,62.0,86.0
2,length4_plentiful,1,11,4,3,30,70.0,76.0,91.0,82.0
2,length4_plentiful,1,12,4,2,34,68.0,90.0,59.0,60.0
2,length4_plentiful,1,13,4,1,5,68.0,38.0,33.0,47.0
2,length4_plentiful,1,14,4,1,1,83.0,79.0,84.0,66.0
2,length4_plentiful,1,15,4,4,40,60.0,59.0,35.0,67.0
2,length4_plentiful,1,16,4,4,36,54.0,68.0,72.0,89.0
2,length4_plentiful,1,17,4,1,20,93.0,55.0,62.0,57.0
2,length4_plentiful,1,18,4,2,15,85.0,87.0,71.0,48.0
2,length4_plentiful,1,19,4,1,21,90.0,79.0,72.0,89.0
2,length4_plentiful,1,20,4,3,10,73.0,74.0,87.0,55.0
2,length4_plentiful,1,21,4,3,39,59.0,66.0,72.0,76.0
2,length4_plentiful,1,22,4,1,7,97.0,80.0,69.0,43.0
2,length4_plentiful,1,23,4,4,27,68.0,42.0,33.0,92.0
2,length4_plentiful,1,24,4,3,8,54.0,44.0,88.0,87.0
2,length4_plentiful,1,25,4,4,11,39.0,64.0,68.0,57.0
2,length4_plentiful,1,26,4,4,29,74.0,79.0,68.0,66.0
2,length4_plentiful,1,27,4,1,32,83.0,64.0,85.0,97.0
2,length4_plentiful,1,28,4,4,24,76.0,39.0,35.0,72.0
2,length4_plentiful,1,29,4,3,23,62.0,88.0,77.0,71.0
2,length4_plentiful,1,30,4,4,38,57.0,77.0,72.0,85.0
2,length4_plentiful,1,31,4,2,9,65.0,87.0,48.0,77.0
2,length4_plentiful,1,32,4,4,3,51.0,52.0,66.0,84.0
2,length4_plentiful,1,33,4,1,12,89.0,87.0,85.0,49.0
2,length4_plentiful,1,34,4,1,28,79.0,57.0,61.0,74.0
2,length4_plentiful,1,35,4,4,18,73.0,70.0,50.0,88.0
2,length4_plentiful,1,36,4,3,33,76.0,74.0,95.0,89.0
2,length4_plentiful,1,37,4,1,37,91.0,60.0,80.0,79.0
2,length4_plentiful,1,38,4,1,25,82.0,43.0,78.0,58.0
2,length4_plentiful,1,39,4,1,16,75.0,81.0,90.0,92.0
2,length4_plentiful,1,40,4,1,17,71.0,61.0,74.0,84.0
2,length8_neutral,2,1,8,5,31,56.0,15.0,66.0,36.0
2,length8_neutral,2,2,8,3,26,22.0,60.0,87.0,84.0
2,length8_neutral,2,3,8,8,35,63.0,74.0,38.0,46.0
2,length8_neutral,2,4,8,3,14,21.0,42.0,84.0,66.0
2,length8_neutral,2,5,8,1,22,93.0,3.0,8.0,59.0
2,length8_neutral,2,6,8,8,4,39.0,56.0,6.0,13.0
2,length8_neutral,2,7,8,8,6,37.0,60.0,82.0,84.0
2,length8_neutral,2,8,8,3,2,77.0,19.0,97.0,65.0
2,length8_neutral,2,9,8,8,19,14.0,26.0,59.0,37.0
2,length8_neutral,2,10,8,4,13,26.0,21.0,50.0,97.0
2,length8_neutral,2,11,8,3,30,58.0,2.0,87.0,9.0
2,length8_neutral,2,12,8,2,34,31.0,81.0,84.0,16.0
2,length8_neutral,2,13,8,8,5,28.0,24.0,62.0,55.0
2,length8_neutral,2,14,8,1,1,81.0,36.0,74.0,79.0
2,length8_neutral,2,15,8,1,40,85.0,12.0,40.0,50.0
2,length8_neutral,2,16,8,1,36,88.0,45.0,7.0,44.0
2,length8_neutral,2,17,8,2,20,42.0,98.0,63.0,28.0
2,length8_neutral,2,18,8,3,15,41.0,44.0,81.0,91.0
2,length8_neutral,2,19,8,4,21,49.0,63.0,15.0,81.0
2,length8_neutral,2,20,8,8,10,77.0,51.0,10.0,37.0
2,length8_neutral,2,21,8,1,39,87.0,95.0,62.0,79.0
2,length8_neutral,2,22,8,5,7,67.0,8.0,34.0,66.0
2,length8_neutral,2,23,8,8,27,8.0,30.0,59.0,32.0
2,length8_neutral,2,24,8,3,8,8.0,50.0,88.0,47.0
2,length8_neutral,2,25,8,7,11,10.0,8.0,27.0,33.0
2,length8_neutral,2,26,8,2,29,61.0,98.0,9.0,73.0
2,length8_neutral,2,27,8,6,32,62.0,72.0,16.0,4.0
2,length8_neutral,2,28,8,2,24,63.0,79.0,32.0,8.0
2,length8_neutral,2,29,8,1,23,92.0,8.0,20.0,75.0
2,length8_neutral,2,30,8,1,38,94.0,62.0,84.0,37.0
2,length8_neutral,2,31,8,1,9,94.0,87.0,24.0,12.0
2,length8_neutral,2,32,8,8,3,45.0,80.0,19.0,64.0
2,length8_neutral,2,33,8,3,12,77.0,66.0,91.0,36.0
2,length8_neutral,2,34,8,5,28,28.0,62.0,65.0,57.0
2,length8_neutral,2,35,8,3,18,7.0,39.0,73.0,35.0
2,length8_neutral,2,36,8,5,33,5.0,75.0,64.0,20.0
2,length8_neutral,2,37,8,8,37,2.0,49.0,12.0,5.0
2,length8_neutral,2,38,8,1,25,95.0,10.0,64.0,84.0
2,length8_neutral,2,39,8,1,16,93.0,5.0,57.0,61.0
2,length8_neutral,2,40,8,8,17,83.0,52.0,96.0,53.0
2,length8_plentiful,3,1,8,8,31,50.0,44.0,45.0,43.0
2,length8_plentiful,3,2,8,3,26,51.0,62.0,93.0,33.0
2,length8_plentiful,3,3,8,4,35,27.0,36.0,79.0,81.0
2,length8_plentiful,3,4,8,4,14,79.0,40.0,37.0,95.0
2,length8_plentiful,3,5,8,6,22,80.0,66.0,70.0,84.0
2,length8_plentiful,3,6,8,6,4,57.0,72.0,63.0,58.0
2,length8_plentiful,3,7,8,5,6,80.0,73.0,61.0,77.0
2,length8_plentiful,3,8,8,1,2,88.0,75.0,80.0,82.0
2,length8_plentiful,3,9,8,2,19,31.0,89.0,67.0,86.0
2,length8_plentiful,3,10,8,6,13,84.0,32.0,59.0,89.0
2,length8_plentiful,3,11,8,2,30,78.0,97.0,53.0,55.0
2,length8_plentiful,3,12,8,5,34,30.0,52.0,54.0,60.0
2,length8_plentiful,3,13,8,4,5,69.0,85.0,44.0,93.0
2,length8_plentiful,3,14,8,4,1,49.0,57.0,62.0,73.0
2,length8_plentiful,3,15,8,4,40,82.0,86.0,52.0,87.0
2,length8_plentiful,3,16,8,1,36,94.0,51.0,79.0,78.0
2,length8_plentiful,3,17,8,1,20,93.0,94.0,26.0,54.0
2,length8_plentiful,3,18,8,1,15,91.0,35.0,56.0,87.0
2,length8_plentiful,3,19,8,6,21,71.0,80.0,36.0,31.0
2,length8_plentiful,3,20,8,4,10,70.0,63.0,53.0,91.0
2,length8_plentiful,3,21,8,8,39,82.0,80.0,18.0,56.0
2,length8_plentiful,3,22,8,3,7,75.0,35.0,79.0,89.0
2,length8_plentiful,3,23,8,5,27,68.0,38.0,35.0,69.0
2,length8_plentiful,3,24,8,4,8,43.0,66.0,74.0,80.0
2,length8_plentiful,3,25,8,3,11,57.0,71.0,97.0,81.0
2,length8_plentiful,3,26,8,4,29,79.0,61.0,62.0,90.0
2,length8_plentiful,3,27,8,8,32,49.0,73.0,57.0,58.0
2,length8_plentiful,3,28,8,6,24,49.0,38.0,81.0,69.0
2,length8_plentiful,3,29,8,8,23,54.0,78.0,52.0,65.0
2,length8_plentiful,3,30,8,8,38,41.0,69.0,63.0,55.0
2,length8_plentiful,3,31,8,2,9,59.0,85.0,46.0,78.0
2,length8_plentiful,3,32,8,8,3,93.0,85.0,92.0,62.0
2,length8_plentiful,3,33,8,8,12,65.0,69.0,88.0,42.0
2,length8_plentiful,3,34,8,6,28,68.0,48.0,71.0,45.0
2,length8_plentiful,3,35,8,6,18,64.0,57.0,75.0,76.0
2,length8_plentiful,3,36,8,8,33,72.0,52.0,49.0,61.0
2,length8_plentiful,3,37,8,8,37,86.0,64.0,24.0,52.0
2,length8_plentiful,3,38,8,5,25,41.0,59.0,25.0,75.0
2,length8_plentiful,3,39,8,5,16,52.0,76.0,67.0,55.0
2,length8_plentiful,3,40,8,8,17,63.0,86.0,82.0,55.0
3,length4_neutral,0,1,4,1,26,95.0,66.0,15.0,13.0
3,length4_neutral,0,2,4,3,38,38.0,9.0,73.0,48.0
3,length4_neutral,0,3,4,2,31,51.0,77.0,12.0,2.0
3,length4_neutral,0,4,4,2,15,7.0,82.0,11.0,32.0
3,length4_neutral,0,5,4,2,3,16.0,84.0,17.0,89.0
3,length4_neutral,0,6,4,3,1,42.0,7.0,96.0,56.0
3,length4_neutral,0,7,4,4,9,75.0,29.0,37.0,26.0
3,length4_neutral,0,8,4,1,12,90.0,79.0,69.0,31.0
3,length4_neutral,0,9,4,3,36,4.0,10.0,13.0,8.0
3,length4_neutral,0,10,4,1,16,94.0,60.0,86.0,11.0
3,length4_neutral,0,11,4,1,4,95.0,10.0,97.0,77.0
3,length4_neutral,0,12,4,4,6,53.0,42.0,11.0,60.0
3,length4_neutral,0,13,4,1,14,72.0,83.0,90.0,94.0
3,length4_neutral,0,14,4,3,24,39.0,45.0,59.0,20.0
3,length4_neutral,0,15,4,1,5,84.0,98.0,24.0,26.0
3,length4_neutral,0,16,4,1,8,95.0,37.0,42.0,11.0
3,length4_neutral,0,17,4,2,39,9.0,89.0,1.0,12.0
3,length4_neutral,0,18,4,2,37,18.0,67.0,34.0,41.0
3,length4_neutral,0,19,4,3,27,7.0,19.0,67.0,1.0
3,length4_neutral,0,20,4,1,35,44.0,81.0,34.0,28.0
3,length4_neutral,0,21,4,2,13,19.0,61.0,91.0,40.0
3,length4_neutral,0,22,4,3,33,37.0,46.0,87.0,15.0
3,length4_neutral,0,23,4,2,11,9.0,62.0,2.0,36.0
3,length4_neutral,0,24,4,1,29,72.0,93.0,84.0,17.0
3,length4_neutral,0,25,4,2,7,49.0,75.0,71.0,13.0
3,length4_neutral,0,26,4,1,20,93.0,79.0,18.0,97.0
3,length4_neutral,0,27,4,1,22,88.0,70.0,72.0,52.0
3,length4_neutral,0,28,4,3,25,21.0,22.0,59.0,61.0
3,length4_neutral,0,29,4,1,18,83.0,7.0,13.0,96.0
3,length4_neutral,0,30,4,2,17,47.0,92.0,62.0,32.0
3,length4_neutral,0,31,4,3,2,5.0,4.0,68.0,52.0
3,length4_neutral,0,32,4,3,34,5.0,36.0,90.0,50.0
3,length4_neutral,0,33,4,1,40,86.0,92.0,15.0,12.0
3,length4_neutral,0,34,4,1,19,79.0,29.0,65.0,58.0
3,length4_neutral,0,35,4,3,32,7.0,21.0,54.0,40.0
3,length4_neutral,0,36,4,2,10,23.0,81.0,71.0,46.0
3,length4_neutral,0,37,4,2,30,25.0,88.0,13.0,79.0
3,length4_neutral,0,38,4,4,28,18.0,59.0,31.0,52.0
3,length4_neutral,0,39,4,3,23,9.0,42.0,53.0,25.0
3,length4_neutral,0,40,4,1,21,79.0,29.0,38.0,12.0
3,length4_plentiful,1,1,4,1,26,80.0,57.0,26.0,63.0
3,length4_plentiful,1,2,4,4,38,59.0,69.0,71.0,55.0
3,length4_plentiful,1,3,4,4,31,70.0,69.0,61.0,43.0
3,length4_plentiful,1,4,4,2,15,64.0,94.0,71.0,90.0
3,length4_plentiful,1,5,4,3,3,60.0,46.0,81.0,66.0
3,length4_plentiful,1,6,4,3,1,58.0,64.0,87.0,53.0
3,length4_plentiful,1,7,4,2,9,61.0,77.0,46.0,64.0
3,length4_plentiful,1,8,4,2,12,26.0,89.0,69.0,48.0
3,length4_plentiful,1,9,4,2,36,52.0,86.0,76.0,93.0
3,length4_plentiful,1,10,4,1,16,88.0,64.0,83.0,41.0
3,length4_plentiful,1,11,4,1,4,80.0,57.0,55.0,89.0
3,length4_plentiful,1,12,4,1,6,79.0,82.0,97.0,62.0
3,length4_plentiful,1,13,4,1,14,97.0,63.0,69.0,68.0
3,length4_plentiful,1,14,4,4,24,59.0,55.0,47.0,77.0
3,length4_plentiful,1,15,4,3,5,52.0,53.0,90.0,62.0
3,length4_plentiful,1,16,4,2,8,46.0,85.0,55.0,87.0
3,length4_plentiful,1,17,4,1,39,65.0,86.0,48.0,59.0
3,length4_plentiful,1,18,4,4,37,56.0,51.0,50.0,89.0
3,length4_plentiful,1,19,4,1,27,85.0,39.0,50.0,53.0
3,length4_plentiful,1,20,4,4,35,52.0,64.0,56.0,81.0
3,length4_plentiful,1,21,4,2,13,68.0,88.0,84.0,49.0
3,length4_plentiful,1,22,4,1,33,85.0,65.0,80.0,78.0
3,length4_plentiful,1,23,4,1,11,89.0,52.0,80.0,55.0
3,length4_plentiful,1,24,4,1,29,81.0,73.0,66.0,80.0
3,length4_plentiful,1,25,4,2,7,44.0,84.0,89.0,69.0
3,length4_plentiful,1,26,4,2,20,76.0,51.0,82.0,64.0
3,length4_plentiful,1,27,4,3,22,36.0,43.0,79.0,76.0
3,length4_plentiful,1,28,4,4,25,32.0,66.0,63.0,95.0
3,length4_plentiful,1,29,4,1,18,96.0,82.0,85.0,93.0
3,length4_plentiful,1,30,4,3,17,64.0,39.0,84.0,82.0
3,length4_plentiful,1,31,4,1,2,90.0,81.0,61.0,39.0
